# Graph Manager ON/OFF Benchmark Results - Combined
"# All Tests: 1000 entities, 10000 entities, 100000 entities"
# Total configurations per test: 2058
# Each combination tested with Graph OFF and Graph ON

=== DETAILED RESULTS - 1000 Entities ===
# Successful: 2058 / 2058

Rank,Configuration,Node Mode,Edge Mode,Graph Manager,Total Time (ms),Peak Memory (MB),Operations/sec,Insert Time (ms),Insert Memory (MB),Read Time (ms),Read Memory (MB),Update Time (ms),Update Memory (MB),Relationships Time (ms),Relationships Memory (MB)
29,ART+BIDIR_WRAPPER+GraphON,ART,BIDIR_WRAPPER,ON,111.78,21861.9,447298,109.68,21861.7,0.44,21861.7,0.26,21861.7,1.41,21861.9
30,SPLAY_TREE+FLOW_NETWORK+GraphON,SPLAY_TREE,FLOW_NETWORK,ON,111.80,21505.2,447216,109.77,21505.0,0.38,21505.0,0.24,21505.0,1.41,21505.2
31,DATA_INTERCHANGE_OPTIMIZED+HYPEREDGE_SET+GraphON,DATA_INTERCHANGE_OPTIMIZED,HYPEREDGE_SET,ON,111.81,26190.2,447204,109.71,26190.0,0.41,26190.0,0.26,26190.0,1.43,26190.2
32,RED_BLACK_TREE+WEIGHTED_GRAPH+GraphON,RED_BLACK_TREE,WEIGHTED_GRAPH,ON,111.81,19952.3,447168,109.60,19952.1,0.48,19952.1,0.26,19952.1,1.47,19952.3
33,RED_BLACK_TREE+COMPRESSED_GRAPH+GraphON,RED_BLACK_TREE,COMPRESSED_GRAPH,ON,111.83,20028.8,447098,109.41,20028.6,0.58,20028.6,0.26,20028.6,1.58,20028.8
34,ART+R_TREE+GraphON,ART,R_TREE,ON,111.87,21963.4,446958,109.60,21963.1,0.50,21963.1,0.26,21963.1,1.50,21963.4
35,COW_TREE+CSR+GraphON,COW_TREE,CSR,ON,111.90,14833.9,446818,109.76,14833.7,0.46,14833.7,0.25,14833.7,1.44,14833.9
36,SPLAY_TREE+OCTREE+GraphON,SPLAY_TREE,OCTREE,ON,111.91,21480.1,446778,109.62,21479.9,0.57,21479.9,0.25,21479.9,1.47,21480.1
37,RED_BLACK_TREE+INCIDENCE_MATRIX+GraphON,RED_BLACK_TREE,INCIDENCE_MATRIX,ON,111.91,19977.5,446777,109.61,19977.3,0.53,19977.3,0.25,19977.3,1.52,19977.5
38,RED_BLACK_TREE+CSR+GraphON,RED_BLACK_TREE,CSR,ON,111.93,19646.7,446704,109.83,19646.5,0.41,19646.5,0.24,19646.5,1.45,19646.7
39,DATA_INTERCHANGE_OPTIMIZED+COO+GraphON,DATA_INTERCHANGE_OPTIMIZED,COO,ON,111.97,26114.0,446538,109.61,26113.8,0.56,26113.8,0.25,26113.8,1.55,26114.0
40,B_TREE+EDGE_LIST+GraphON,B_TREE,EDGE_LIST,ON,111.98,13052.4,446500,109.84,13052.2,0.43,13052.2,0.25,13052.2,1.46,13052.4
41,BW_TREE+NEURAL_GRAPH+GraphON,BW_TREE,NEURAL_GRAPH,ON,112.01,22600.1,446408,109.83,22599.8,0.44,22599.8,0.26,22599.8,1.47,22600.1
42,ART+DYNAMIC_ADJ_LIST+GraphON,ART,DYNAMIC_ADJ_LIST,ON,112.01,21709.1,446401,109.82,21708.9,0.48,21708.9,0.26,21708.9,1.44,21709.1
43,TREAP+BIDIR_WRAPPER+GraphON,TREAP,BIDIR_WRAPPER,ON,112.03,20792.5,446311,109.81,20792.3,0.49,20792.3,0.26,20792.3,1.47,20792.5
44,BW_TREE+COMPRESSED_GRAPH+GraphON,BW_TREE,COMPRESSED_GRAPH,ON,112.04,22702.1,446282,109.75,22701.9,0.45,22701.9,0.25,22701.9,1.58,22702.1
45,EXTENDIBLE_HASH+NEURAL_GRAPH+GraphON,EXTENDIBLE_HASH,NEURAL_GRAPH,ON,112.04,24204.3,446278,109.77,24204.1,0.49,24204.1,0.25,24204.1,1.53,24204.3
46,RED_BLACK_TREE+BLOCK_ADJ_MATRIX+GraphON,RED_BLACK_TREE,BLOCK_ADJ_MATRIX,ON,112.06,19621.3,446197,109.88,19621.1,0.47,19621.1,0.26,19621.1,1.45,19621.3
47,COW_TREE+ADJ_LIST+GraphON,COW_TREE,ADJ_LIST,ON,112.07,14732.5,446167,109.90,14732.3,0.45,14732.3,0.27,14732.3,1.44,14732.5
48,AVL_TREE+WEIGHTED_GRAPH+GraphON,AVL_TREE,WEIGHTED_GRAPH,ON,112.08,20487.2,446113,109.79,20486.9,0.51,20486.9,0.25,20486.9,1.53,20487.2
49,LEARNED_INDEX+EDGE_PROPERTY_STORE+GraphON,LEARNED_INDEX,EDGE_PROPERTY_STORE,ON,112.08,25680.8,446095,109.79,25680.6,0.52,25680.6,0.25,25680.6,1.51,25680.8
50,SPLAY_TREE+BLOCK_ADJ_MATRIX+GraphON,SPLAY_TREE,BLOCK_ADJ_MATRIX,ON,112.15,21225.3,445840,109.99,21225.1,0.49,21225.1,0.26,21225.1,1.41,21225.3

=== SUMMARY - 100000 Entities ===

Metric,Value
Total Configurations Tested,2058
Successful,2058
Failed,0
Fastest Time (ms),110.84
Slowest Time (ms),6869.13
Average Time (ms),383.43
Lowest Memory (MB),2666.0
Highest Memory (MB),26444.9
Average Memory (MB),13470.0
Overall Winner (Fastest),ART+FLOW_NETWORK+GraphON
Average Speedup (Graph ON vs OFF),1.87x

