TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,HB,EB-B,CDS,PST,PH,PTE-UC,FE-JONS,PORE,PDP,POSI,UCE,F.N.,PNCL-PANCAL,AP,PAR,PED,CIU,BNG,AIC,UV,LA,P.A.,EA...(E87),PNV...(E87),ANEMYA,LV,C.V.,EE...(E87),E.U.,PCV,AS,CSD
Bizkaia,GIZABURUAGA,,47,4,118,77,2,75,1,74,41,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,30,0,0,0,4,0,0,0,0
Bizkaia,GORDEXOLA,,42,2,1280,1095,12,1083,51,1032,185,30,70,0,31,0,0,1,0,1,2,0,0,4,0,113,0,1,0,0,0,0,0,1,187,530,3,2,1,53,0,1,1,0
Bizkaia,GORLIZ,,43,4,1992,1515,8,1507,11,1496,477,56,263,3,24,4,0,2,0,0,3,2,0,0,0,47,0,1,0,1,0,1,0,1,265,584,5,8,6,217,0,0,1,2
Bizkaia,GÜEÑES,,45,2,4836,4063,32,4031,30,4001,773,475,798,19,40,5,4,11,2,4,3,2,0,0,0,46,1,1,1,2,1,3,0,0,846,1594,13,8,9,100,5,1,1,6
Álava,HARANA/VALLE DE ARANA,,56,2,375,159,1,158,6,152,216,3,23,1,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,103,0,1,0,3,0,0,0,3
Gipuzkoa,HERNANI,,40,1,14208,9603,88,9515,78,9437,4605,1833,3647,39,137,5,6,143,4,8,6,7,3,5,9,186,2,0,1,5,0,0,5,6,1682,682,0,14,12,971,9,0,3,7
Gipuzkoa,HERNIALDE,,41,3,221,127,,127,,127,94,1,31,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,47,26,0,0,0,17,0,0,0,1
Gipuzkoa,HONDARRIBIA,,36,2,9661,6294,67,6227,54,6173,3367,606,1765,13,128,5,3,17,3,5,7,2,2,11,1,301,1,1,3,1,1,0,1,0,1858,609,6,18,14,764,3,1,6,17
Gipuzkoa,IBARRA,,42,3,3210,2245,27,2218,28,2190,965,360,604,7,23,10,2,4,2,3,0,4,2,0,2,65,1,1,1,2,0,0,1,1,653,123,3,15,4,291,1,1,0,4
Bizkaia,IBARRANGELU,,48,4,463,372,1,371,4,367,91,0,70,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,28,253,0,0,0,14,0,0,0,0
Gipuzkoa,IDIAZABAL,,43,3,1524,1269,6,1263,9,1254,255,19,230,0,5,2,0,1,0,0,1,1,0,0,0,25,0,0,0,0,0,1,1,0,550,290,0,0,1,127,0,0,0,0
Bizkaia,IGORRE,,94,3,2669,2174,19,2155,13,2142,495,51,607,7,5,7,0,0,1,0,0,3,1,0,0,25,1,0,0,0,1,1,0,0,482,877,5,1,0,64,0,1,0,2
Gipuzkoa,IKAZTEGIETA,,44,3,527,371,8,363,5,358,156,2,218,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,91,32,0,0,0,11,0,0,0,0
Gipuzkoa,IRUN,,45,2,39745,25314,274,25040,332,24708,14431,7613,3989,182,1534,167,26,213,9,10,38,31,28,53,22,1813,5,5,14,9,8,1,7,2,3961,1816,52,68,80,2867,19,6,29,31
Gipuzkoa,IRURA,,46,3,498,379,4,375,5,370,119,13,126,1,2,0,0,0,0,0,2,1,0,0,0,2,1,1,0,1,0,0,0,0,92,105,0,6,1,1,14,0,0,1
Álava,IRURAIZ-GAUNA,,27,2,374,265,2,263,5,258,109,2,43,1,6,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,1,0,0,4,164,0,1,0,18,1,0,0,0
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1127,871,9,862,12,850,256,317,62,2,33,0,1,3,0,0,13,1,0,0,0,112,0,0,0,0,0,1,0,10,65,145,0,3,1,74,1,0,4,0
Bizkaia,ISPASTER,,49,4,525,433,1,432,4,428,92,1,73,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,100,241,0,0,0,9,0,0,0,0
Gipuzkoa,ITSASONDO,,47,3,628,459,2,457,9,448,169,5,195,1,3,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,1,0,139,44,0,1,0,38,0,0,0,0
Bizkaia,IZURTZA,,50,3,212,194,5,189,1,188,18,0,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,86,0,0,0,1,0,0,0,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2809,1881,20,1861,31,1830,928,71,247,46,34,6,3,9,5,1,7,0,4,4,0,69,2,1,2,2,1,2,1,1,389,816,3,6,6,84,2,2,4,0
Bizkaia,KORTEZUBI,,907,4,317,264,1,263,1,262,53,0,59,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,24,166,0,0,0,9,0,0,0,0
Álava,KRIPAN,,19,2,167,108,,108,,108,59,1,12,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,79,0,0,0,6,0,0,0,0
Álava,KUARTANGO,,20,2,293,149,2,147,2,145,144,12,33,0,21,2,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,1,0,0,15,42,0,1,0,8,0,0,2,0
Álava,LABASTIDA/BASTIDA,,28,2,765,574,5,569,4,565,191,103,69,2,12,4,0,21,0,0,2,0,0,10,0,205,0,0,0,0,0,1,0,0,38,92,0,1,3,21,0,0,0,0
Álava,LAGRÁN,,30,2,175,99,3,96,,96,76,17,5,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,43,0,0,0,8,0,0,0,2
Álava,LAGUARDIA,,31,2,1215,963,11,952,37,915,252,138,90,0,42,1,1,2,0,1,0,0,1,2,0,273,1,0,0,0,1,0,0,0,102,204,0,6,2,41,1,0,5,1
Álava,LANCIEGO/LANTZIEGO,,32,2,515,403,6,397,12,385,112,106,19,0,17,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,3,171,0,1,0,10,0,0,0,0
Bizkaia,LANESTOSA,,51,2,257,214,,214,1,213,43,56,11,1,0,0,1,0,0,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,1,114,0,1,0,7,0,0,0,0
Álava,LANTARÓN,,902,2,705,552,11,541,3,538,153,52,36,0,23,2,1,0,2,0,2,1,0,0,0,104,0,0,0,1,0,0,0,0,4,254,1,2,2,20,0,1,3,0
Álava,LAPUEBLA DE LABARCA,,33,2,640,577,1,576,5,571,63,67,19,1,3,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,84,279,1,0,1,9,0,0,0,0
Bizkaia,LARRABETZU,,52,4,1246,1054,3,1051,7,1044,192,12,346,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,38,607,0,2,0,32,0,0,0,0
Gipuzkoa,LARRAUL,,48,3,140,77,,77,,77,63,0,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14,16,0,0,0,5,1,0,0,0
Gipuzkoa,LASARTE-ORIA,,902,1,12995,9284,64,9220,100,9120,3711,3668,1824,69,269,15,7,107,1,8,7,17,6,6,7,203,2,1,1,8,0,1,2,3,1608,441,14,19,14,774,10,1,1,6
Álava,LAUDIO/LLODIO,,36,3,15554,11049,102,10947,150,10797,4505,1814,2971,51,471,19,4,25,12,21,28,12,9,5,18,993,2,3,4,10,4,6,10,4,1532,1836,24,37,27,835,12,3,15,12
Bizkaia,LAUKIZ,,53,4,772,609,2,607,7,600,163,11,102,0,4,0,0,1,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,148,275,6,0,0,24,0,0,3,0
Gipuzkoa,LAZKAO,,49,3,3881,2934,18,2916,21,2895,947,469,831,0,18,0,3,23,0,0,1,0,1,0,1,86,0,1,1,1,0,1,0,0,536,651,0,6,5,236,18,0,1,5
Gipuzkoa,LEABURU,,50,3,477,340,8,332,4,328,137,1,236,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,53,17,0,2,0,13,0,0,0,0
Gipuzkoa,LEGAZPI,,51,3,7912,6093,71,6022,47,5975,1819,856,1156,16,48,5,6,67,2,16,12,7,4,2,1,102,1,2,2,2,2,2,2,2,1962,711,2,9,8,953,2,2,5,6
