TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PH,EK-PCPE,POSI,PSE-EE/PSOE,ATTKA/PACMA,URE-EEB,UPYD,Cs,PSYV,EQUO,EB-AZ,O.E.,EH BILDU,RECORTES CERO,VOX,IRABAZI,GVG,GUK BAI,AHORA AMURRIO/ORAIN ,OMNIA,PLAZ!,ABOTSANITZ,VOX / PFYV,SUMANDO-HEMEN GAUDE,GANEMOS,I.N.D.A.Z.,BD,AHORA SOPELA-BARRIKA,DB-TU,G.I.GORLIZ,XMKB,PXL-CON LA MANOS LIM,SQ-2D,CLI,K.Z.,CMB,UDALBERRI-BILBAO,IND. ALEGRIA-DUL. 15,IND. 1 ASPARRENA 15,IND. 2 ASPARRENA 15,IND. BERANTEVILLA 15,IND. BERNEDO 15,IND. KANPEZU 15,IND. ELCIEGO 15,IND. RIBERA ALTA 15 ,IND. 1 IRUÑA OKA 15,IND. 2 IRUÑA OKA 15,IND. LAPUEBLA 15,IND. LEZA 15,IND. NAVARIDAS 15,IND. OION 15,IND. PEÑACERRADA 15,IND. RIBERA BAJA 15,IND. DONEMILIAGA 15,IND. AÑANA 15,IND. IEKORA 15,IND. ZAMBRANA 15,IND. ZIGOITIA 15,IND. ZUIA 15,IND. AIARA 15,IND. OKONDO 15,IND. URKABUSTAIZ 15,IND. VALDEGOVÍA 15,IND. BEIZAMA 15,IND. BIDANIA-GOI. 15,IND. DEBA 15,IND. EZKIO-ITSASO 15,IND. GABIRIA 15,IND. MUTILOA 15,IND. ORMAIZTEGI 15,IND. ZEGAMA 15,IND. ZERAIN 15,IND. ARRASATE 15,IND. ELGETA 15,IND. ESKORIATZA 15,IND. LEINTZ-GATZ. 15,IND. MUTRIKU 15,IND. ERRENTERIA 15,IND. HERNANI 15,IND. IRUN 15,IND. LASARTE-ORIA 15,IND. ORIO 15,IND. PASAIA 15,IND. ABALTZISKETA 15,IND. ALKIZA 15,IND. 1 ALTZAGA 15,IND. 2 ALTZAGA 15,IND. AMEZKETA 15,IND. 1 ARAMA 15,IND. 2 ARAMA 15,IND. ASTEASU 15,IND. ATAUN 15,IND. 1 BELAUNTZA 15,IND. 2 BELAUNTZA 15,IND. GAINTZA 15,IND. GAZTELU 15,IND. HERNIALDE 15,IND. IDIAZABAL 15,IND. LARRAUL 15,IND. LEABURU 15,IND. 1 OLABERRIA 15,IND. 2 OLABERRIA 15,IND. ORDIZIA 15,IND. ZALDIBIA 15,IND. ARRIGORRIAGA 15,IND. BARRIKA 15,IND. BASAURI 15,IND. OROZKO 15,IND. ETXEBARRI 15,IND. 1 GALDAKAO 15,IND. 2 GALDAKAO 15,IND. GETXO 15,IND. GORLIZ 15,IND. LEIOA 15,IND. ORTUELLA 15,IND. PORTUGALETE 15,IND. 1 SANTURTZI 15,IND. 2 SANTURTZI 15,IND. SESTAO 15,IND. PLENTZIA 15,IND. TRAPAGA 15,IND. ZARATAMO 15,IND. ABADIÑO 15,IND. AMOREBIETA 15,IND. ARTEA 15,IND. ERMUA 15,IND. GARAI 15,IND. UBIDE 15,IND. GORDEXOLA 15,IND. SOPUERTA 15,IND. AMOROTO 15,IND. BAKIO 15,IND. 1 BERMEO 15,IND. 2 BERMEO 15,IND. GATIKA 15,IND. GIZABURUAGA 15,IND. IBARRANGELU 15,IND. ISPASTER 15,IND. MURUETA 15,IND. SUKARRIETA 15,IND. ZALLA 15,IND. BUSTURIA 15,IND. BALIARRAIN 15
Gipuzkoa,LEZO,,53,2,4819,2897,72,2825,136,2689,1922,1186,62,,,,300,,,,,,,,,1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LIZARTZA,,54,3,454,317,16,301,49,252,137,,12,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LOIU,,903,4,1849,1264,41,1223,42,1181,585,785,106,,,,56,,,,,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MALLABIA,,58,3,989,702,16,686,13,673,287,325,,,,,26,,,,,,,,,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MARKINA-XEMEIN,,60,4,3687,2458,36,2422,35,2387,1229,1156,19,,,,21,,,,,,,,,1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MARURI-JATABE,,61,4,765,553,14,539,20,519,212,341,16,,,,16,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MAÑARIA,,59,3,416,351,3,348,7,341,65,169,1,,,,0,,,,,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,MENDARO,,901,4,1447,906,17,889,59,830,541,334,15,,,,67,,,,,,,,,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MENDATA,,62,4,300,252,1,251,3,248,48,172,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MENDEXA,,63,4,379,331,2,329,3,326,48,197,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MEÑAKA,,64,4,593,468,4,464,7,457,125,144,,,,,,,,,,,,,,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,206,165,5,160,3,157,41,72,23,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MORGA,,66,4,355,280,1,279,6,273,75,153,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUNDAKA,,68,4,1569,1198,42,1156,43,1113,371,654,6,,,,18,,,,,,,,,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUNGIA,,69,4,12798,8052,162,7890,207,7683,4746,3511,184,,,,484,,,,,,,,,2267,,,,,,,,,,,,,,,,,,,,,,,1237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,371,276,4,272,,272,95,118,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MURUETA,,908,4,246,225,6,219,10,209,21,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,
Bizkaia,MUSKIZ,,71,2,6127,4226,97,4129,85,4044,1901,1859,69,,,,708,,,,,,,,,847,,,,,,,,,,,,,,,,,,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,MUTILOA,,57,3,202,124,,124,5,119,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,MUTRIKU,,56,4,4111,2626,51,2575,74,2501,1485,1041,,,,,78,,,,,,,,,1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUXIKA,,67,4,1185,828,11,817,17,800,357,367,,,,,14,,,,,,,,,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,NABARNIZ,,909,4,194,157,8,149,7,142,37,70,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,NAVARIDAS,,41,2,155,137,4,133,1,132,18,62,70,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,OIARTZUN,,63,2,7993,5108,90,5018,212,4806,2885,1358,76,,,,203,,,,,,,,,3169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,OKONDO,,42,3,909,753,23,730,8,722,156,280,1,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,OLABERRIA,,58,3,766,582,6,576,12,564,184,,,,,,19,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ONDARROA,,73,4,7043,4210,95,4112,112,4000,2833,1616,109,,,,66,,,,,,,,,2209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ORDIZIA,,76,3,7051,4801,45,4756,97,4659,2250,1754,81,,,,413,,,,,,,,,1672,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ORENDAIN,,905,3,142,111,5,106,22,84,31,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,OREXA,,60,3,91,78,1,77,3,74,13,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ORIO,,61,4,4265,2827,46,2781,70,2711,1438,1133,19,,,,236,,,,,,,,,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ORMAIZTEGI,,62,3,982,743,11,732,26,706,239,,,,,,10,,,,,,,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,OROZKO,,75,3,1989,1514,42,1472,15,1457,475,385,23,,,,4,,,,,,,,,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ORTUELLA,,83,2,6986,4615,66,4549,53,4496,2371,1875,85,,,,662,,,,,,,,,512,,,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,OTXANDIO,,72,3,988,755,12,743,13,730,233,273,6,,,,8,,,,,,,,,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,OYÓN-OION,,43,2,2346,1681,42,1639,27,1612,665,557,578,,,,144,,,,,,,,,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,OÑATI,,59,4,8883,6088,53,6035,123,5912,2795,2475,86,,,,214,,,,,,,,,3137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,PASAIA,,64,2,12516,7935,138,7797,132,7665,4581,2001,327,,,,2146,,,,,,,,,1834,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,235,187,5,182,1,181,48,69,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,PLENTZIA,,77,4,3404,2292,42,2250,43,2207,1112,968,77,,,,32,,,,,,,,,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,PORTUGALETE,,78,2,39006,24172,371,23801,310,23491,14834,5295,1743,,164,,8020,,,,,,,,,2865,,,1157,,,,,,,,,,,,,,,,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3477,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,988,655,21,634,13,621,333,238,73,,,,108,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,SAMANIEGO,,52,2,239,199,6,193,3,190,40,81,2,,,,39,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,592,369,4,365,7,358,223,106,31,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SANTURTZI,,82,2,37944,22948,277,22671,324,22347,14996,9104,1354,,,,3465,,,,,,,,,3535,,,902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3681,306,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,SEGURA,,70,3,1109,832,20,812,47,765,277,355,,,,,6,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SESTAO,,84,2,22787,13942,229,13713,161,13552,8845,6997,686,,,,1922,,,,,346,,,,1563,,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SONDIKA,,904,4,3538,2421,37,2384,83,2301,1117,1351,125,,,,176,,,,,,,,,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SOPELA,,85,4,10262,6637,93,6544,153,6391,3625,2565,218,,,,342,,,,,,,,,1977,,,311,,,,,,,,,,,,336,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SOPUERTA,,86,2,2085,1566,36,1530,50,1480,519,294,38,,,,40,,,,,,,,,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,,,,,,,,,,,,,
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3045,1980,32,1948,46,1902,1065,615,80,,,,349,,,,,,,,,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SUKARRIETA,,76,4,322,252,5,247,5,242,70,128,,,,,2,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,
Gipuzkoa,TOLOSA,,71,3,14830,9762,99,9663,250,9413,5068,4723,274,,,,637,,,,,,,,,3779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,437,372,12,360,2,358,65,246,3,,,,4,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,UBIDE,,88,3,138,112,3,109,8,101,26,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,
Bizkaia,UGAO-MIRABALLES,,65,3,3349,2215,43,2172,51,2121,1134,1324,58,,,,118,,,,,,,,,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,URDULIZ,,89,4,3260,2149,41,2108,37,2071,1111,1042,62,,,,107,,,,,,,,,584,,,,,,,,,,,,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,URDUÑA/ORDUÑA,,74,3,3355,2395,46,2349,32,2317,960,844,91,,,,136,,145,,,,,,,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,URKABUSTAIZ,,54,2,969,729,4,725,19,706,240,299,16,,,,6,,,,,,,,,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,URNIETA,,72,1,4732,2898,45,2853,49,2804,1834,1428,62,,,,391,,,,,,,166,,757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,URRETXU,,77,3,5317,3510,24,3486,85,3401,1807,1238,99,,,,558,,,,,,,,,1223,,,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,USURBIL,,73,1,4696,3032,54,2978,106,2872,1664,866,58,,,,234,,,,,,,,,1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VALDEGOVÍA/GAUBEA,,55,2,847,595,9,586,15,571,252,261,96,,,,25,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10023,6343,100,6243,101,6142,3680,2429,224,,,,1419,,,,,,,,,1253,,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,,,,,,,,,,,,,,,,,,,,,,
