TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EB-B,CDS,PST,FE-JONS,POSI,UPR,PCE-EPK,UCE,AP-PDP-PL
Bizkaia,ZEANURI,,24,3,1092,786,9,777,3,774,306,495,9,203,21,2,3,0,0,0,0,1,0,40
Bizkaia,ZEBERIO,,25,3,877,633,3,630,2,628,244,389,23,164,33,2,4,1,0,0,0,0,0,12
Gipuzkoa,ZEGAMA,,25,3,1214,760,6,754,,754,454,324,26,296,64,0,5,0,,0,0,2,0,37
Gipuzkoa,ZERAIN,,26,3,206,119,1,118,,118,87,61,0,41,6,0,4,0,,0,1,1,0,4
Gipuzkoa,ZESTOA,,27,4,2927,1888,6,1882,7,1875,1039,867,173,625,142,6,11,5,,0,2,3,1,40
Álava,ZIGOITIA,,18,2,601,413,11,402,3,399,188,162,50,78,60,3,14,1,,1,0,0,0,30
Gipuzkoa,ZIZURKIL,,28,3,2029,1406,21,1385,8,1377,623,463,320,404,79,5,29,10,,0,4,3,3,57
Álava,ZUIA,,63,2,1075,777,19,758,16,742,298,349,58,91,63,1,36,3,,3,1,1,3,133
Gipuzkoa,ZUMAIA,,81,4,5850,4032,54,3978,15,3963,1818,1531,836,760,361,29,248,8,,3,1,34,4,148
Gipuzkoa,ZUMARRAGA,,80,3,9067,6338,54,6284,29,6255,2729,1698,2014,849,584,236,273,17,,7,7,185,4,381
