TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,U.AL.,EA,EB-B,EHB,PH,PSE-EE/PSOE,BERDEAK-LV,ICV-EHE/GORORDO,PLAZANDREOK,EH,EAJ-PNV / EA,IND. BARRUNDIA 99,IND. BERANTEVILLA 99,IND. KANPEZU 99,IND. LABASTIDA 99,IND. ARRAIA-MAEZ. 99,IND. AÑANA 99,IND. VALDEGOVIA 99,IND. IRUÑA OKA 99,IND. DEBA 99,IND. ERREZIL 99,IND. EZKIO-ITSASO 99,IND. ESKORIATZA 99,IND. LEINTZ-GATZ. 99,IND. MENDARO 99,IND. ADUNA 99,IND. ALKIZA 99,IND. AMEZKETA 99,IND. ATAUN 99,IND. HERNIALDE 99,IND. IKAZTEGIETA 99,IND. OLABERRIA 99,IND. BERROBI 99,IND. ABALTZISKETA 99,IND. IRURA 99,IND. BELAUNTZA 99,IND. AZKOITIA 99,IND. GABIRIA 99,IND. LARRAUL 99,IND. GAZTELU 99,IND. MUTILOA 99,IND. ARAMA 99,IND. BALIARRAIN 99,IND. ZERAIN 99,IND. ALTZAGA 99,IND. KARRANTZA 99,IND. SOPUERTA 99,IND. 1 BALMASEDA 99,IND. 2 BALMASEDA 99,IND. ABADIÑO 99,IND. ARAKALDO 99,IND. ARANTZAZU 99,IND. BERRIZ 99,IND. ELORRIO 99,IND. ZALDIBAR 99,IND. GARAI 99,IND. UBIDE 99,IND. ABANTO-ZIER. 99,IND. ARRIGORRIAGA 99,IND. ALONSOTEGI 99,IND. GORLIZ 99,IND. 2 PLENTZIA 99,IND. 1 PLENTZIA 99,IND. ETXEBARRI 99,IND. AMOROTO 99,IND. EREÑO 99,IND. BERRIATUA 99,IND. GIZABURUAGA 99,IND. LEMOIZ 99,IND. MURUETA 99,IND. ASPARRENA 99,IND. ALBIZTUR 99,IND. GAINTZA 99
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3770,2682,34,2648,26,2622,1088,966,282,,247,,,,370,,,,757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SUKARRIETA,,76,4,297,237,3,234,2,232,60,129,13,,37,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,TOLOSA,,71,3,15757,9797,122,9675,180,9495,5960,,1164,,,420,162,,750,,,,3650,3349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,475,394,10,384,2,382,81,150,9,,218,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,UBIDE,,88,3,146,117,4,113,9,104,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,
Bizkaia,UGAO-MIRABALLES,,65,3,3506,2314,29,2285,29,2256,1192,,185,,,,,,415,,,,601,1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,URDULIZ,,89,4,2505,1781,32,1749,25,1724,724,727,153,,151,47,,,154,,,,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,URDUÑA/ORDUÑA,,74,3,3369,2451,25,2426,31,2395,918,1013,289,,224,,,,212,,,,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,URKABUSTAIZ,,54,2,739,539,3,536,5,531,200,210,107,,47,,,,15,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,URNIETA,,72,1,4377,2853,31,2822,58,2764,1524,,198,,,172,,,455,,,,698,1241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,URRETXU,,77,3,5452,3981,41,3940,68,3872,1471,,251,,,182,,,720,,,,995,1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,USURBIL,,73,1,4420,3157,10,3147,48,3099,1263,,179,,,,,,287,,,,1669,964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VALDEGOVÍA/GAUBEA,,55,2,886,671,5,666,7,659,215,205,78,5,,,,,12,,,,51,,,,,,,,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10850,7115,45,7070,87,6983,3735,,491,,,520,,,2965,,,,995,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,VILLABONA,,75,3,4522,3199,12,3187,34,3153,1323,516,150,,1160,25,,,118,,,,1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,289,243,4,239,3,236,46,,21,,,,,,36,,,,49,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VITORIA-GASTEIZ,,59,1,184452,114175,1048,113127,1634,111493,70277,,34847,8484,,5808,,437,21069,,,,13088,27760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,YÉCORA/IEKORA,,60,2,235,188,1,187,8,179,47,88,64,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZALDIBAR,,95,3,2445,1639,27,1612,31,1581,806,,,,,76,,,271,,,,396,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZALDIBIA,,78,3,1302,935,105,830,73,757,367,,21,,,,,,53,,,,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZALDUONDO,,61,2,120,110,3,107,2,105,10,59,3,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZALLA,,96,2,6507,4960,121,4834,86,4748,1547,2622,365,,388,98,,,731,,,,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZAMBRANA,,62,2,333,275,2,273,2,271,58,141,73,5,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZAMUDIO,,905,4,2557,1836,41,1795,39,1756,721,822,131,,50,,,,240,,,,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZARATAMO,,97,3,1384,1032,18,1014,12,1002,352,253,33,,382,33,,,74,,,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZARAUTZ,,79,4,16764,11899,121,11778,123,11655,4865,1997,1410,,4078,200,,,1192,,,,2778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEANURI,,24,3,1049,851,7,844,6,838,198,448,23,,201,,,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEBERIO,,25,3,833,692,6,686,7,679,141,383,2,,,,,,,,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZEGAMA,,25,3,1133,916,5,911,7,904,217,,9,,,,,,,,,,367,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZERAIN,,26,3,209,175,17,158,6,152,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZESTOA,,27,4,2686,2048,41,2007,38,1969,638,,36,,,,,,50,,,,986,897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZIERBENA,,913,2,1021,808,11,797,7,790,213,425,28,,31,53,,,96,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZIGOITIA,,18,2,1021,708,5,703,13,690,313,219,81,29,120,,,,39,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZIZURKIL,,28,3,2361,1576,16,1560,32,1528,785,,128,,,,,,195,,,,620,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZUIA,,63,2,1376,1040,11,1029,22,1007,336,328,234,30,95,,,,48,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMAIA,,81,4,6850,4787,34,4753,64,4689,2063,1777,231,,636,,,,625,,,,1420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMARRAGA,,80,3,8834,6093,59,6034,90,5944,2741,,636,,,348,,,1835,,,,1084,2041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
