TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,U.AL.,EA,EB-B,EKA,PH,POSI,PSE-EE/PSOE,PLAZANDREOK,EAJ-PNV / EA,PKD,FEI-FE 2000,ARALAR,FRENTE.ESPAÑOL,ATTKA/PACMA,EB-IU/ IND/ARALAR,IND. ABANTO-ZIER. 03,IND. 1 AÑANA 03,IND. 2 AÑANA 03,IND. 1 OKONDO 03,IND. 2 OKONDO 03,IND. 1 VALDEGOVIA 03,IND. 2 VALDEGOVIA 03,IND. ARMIÑON 03,IND. ARRAIA-MAEZ. 03,IND. ASPARRENA 03,IND. BARRUNDIA 03,IND. BERANTEVILLA 03,IND. 1 IRUÑA OKA 03,IND. 2 IRUÑA OKA 03,IND. LABASTIDA 03,IND. 1 LAGRAN 03,IND. 2 LAGRAN 03,IND. LAPUEBLA  03,IND. LEGUTIO 03,IND. PEÑACERRADA 03,IND. RIBERA ALTA 03,IND. RIBERA BAJA 03,IND. AGURAIN 03,IND. ALONSOTEGI 03,IND. ARRIGORRIAGA 03,IND. 1 ETXEBARRI 03,IND. 2 ETXEBARRI 03,IND. GORLIZ 03,IND. LAUKIZ 03,IND. ORDUÑA 03,IND. PLENTZIA 03,IND. SESTAO 03,IND. SOPELANA 03,IND. ABADIÑO 03,IND. AMOREBIETA 03,IND. ARANTZAZU 03,IND. AREATZA 03,IND. BEDIA 03,IND. DURANGO 03,IND. GARAI 03,IND. IGORRE 03,IND. IZURTZA 03,IND. OTXANDIO 03,IND. ZALDIBAR 03,IND. AMOROTO 03,IND. AULESTI 03,IND. BERRIATUA 03,IND. BUSTURIA 03,IND. ERRIGOITI 03,IND. GATIKA 03,IND. GAUT.ARTEAGA 03,IND. GIZABURUAGA 03,IND. MUNDAKA 03,IND. MUNITIBAR 03,IND. MURUETA 03,IND. 1 BALMASEDA 03,IND. 2 BALMASEDA 03,IND. KARRANTZA 03,IND. SOPUERTA 03,IND. AZKOITIA 03,IND. DEBA 03,IND. 1 ERREZIL 03,IND. 2 ERREZIL 03,IND. EZKIO-ITSASO 03,IND. 1 GABIRIA 03,IND. 2 GABIRIA 03,IND. MUTILOA 03,IND. ORMAIZTEGI 03,IND. ZERAIN 03,IND. ZESTOA 03,IND. ESKORIATZA 03,IND. LEINTZ-GATZ. 03,IND. MENDARO 03,IND. SORALUCE 03,IND. ADUNA 03,IND. HONDARRIBIA 03,IND. IRUN 03,IND. ABALTZISKETA 03,IND. ALBIZTUR 03,IND. ALEGIA 03,IND. ALKIZA 03,IND. ALTZAGA 03,IND. 1 AMEZKETA 03,IND. 2 AMEZKETA 03,IND. ARAMA 03,IND. ATAUN 03,IND. BALIARRAIN 03,IND. 1 BELAUNTZA 03,IND. 2 BELAUNTZA 03,IND. 1 BERROBI 03,IND. 2 BERROBI 03,IND. 3 BERROBI 03,IND. GAINTZA 03,IND. 1 GAZTELU 03,IND. 2 GAZTELU 03,IND. LARRAUL 03,IND. OLABERRIA 03,IND. OREXA 03
Gipuzkoa,BERROBI,,23,3,452,388,2,386,2,384,64,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,219,69,,,,,,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,364,290,132,158,9,149,74,,3,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BILBAO,,20,1,307198,209867,11018,198849,2207,196642,97331,,51499,,,20308,66,456,315,37206,,82176,1285,61,2701,85,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BUSTURIA,,21,4,1541,1203,11,1189,8,1181,338,566,34,,250,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,CAMPEZO/KANPEZU,,17,2,945,716,84,632,7,625,229,,175,2,,48,,,,29,,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,DEBA,,29,4,4436,3310,571,2739,52,2687,1126,,105,,,177,,,,116,,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,DERIO,,901,4,4243,3096,211,2885,52,2833,1147,1392,360,,196,197,,,,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,DIMA,,26,3,966,818,385,433,9,424,148,411,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,157006,104343,10665,93678,1402,92276,52663,,22260,,,4895,,,,33349,611,27855,,66,3214,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,DURANGO,,27,3,21533,15569,101,15448,117,15331,5964,,2556,,,1097,,,,1851,,6836,,,914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,EA,,28,4,754,615,167,446,6,440,139,348,7,,84,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,EIBAR,,30,4,24753,17606,1801,15805,194,15611,7147,,1397,,,932,,,,7730,,5552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ELANTXOBE,,31,4,446,365,87,278,3,275,81,219,2,,53,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ELBURGO/BURGELU,,21,2,364,270,19,251,8,243,94,168,49,3,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ELCIEGO,,22,2,823,717,13,704,10,694,106,,166,1,,,,,,250,,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ELDUAIN,,31,3,190,160,104,56,3,56,30,,0,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ELGETA,,33,4,843,692,129,563,4,559,151,,11,,,,,,,11,,271,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ELGOIBAR,,32,4,9259,6720,1009,5711,81,5630,2539,,749,,,338,,,,860,,3683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ELORRIO,,32,3,6179,4517,1430,3089,120,2969,1662,,495,,,282,,,,472,,1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ELVILLAR/BILAR,,23,2,325,271,5,266,11,255,54,128,120,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ERANDIO,,902,4,19651,13272,1025,12247,179,12068,6379,,1561,,,1036,,,,2835,,6636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,EREÑO,,33,4,247,200,13,187,6,181,47,,16,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ERMUA,,34,3,14125,9776,534,9246,127,9119,4349,,1962,,,928,,,,4700,,1529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ERRENTERIA,,67,2,33331,20899,3560,17339,323,17016,12432,,2110,,,1938,,,,7512,,5456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ERREZIL,,66,4,519,452,4,448,4,444,67,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,515,416,34,382,14,368,99,194,122,4,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ERRIGOITI,,79,4,463,394,4,390,8,382,69,240,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ESKORIATZA,,34,4,3330,2311,586,1725,12,1713,1019,,123,,,291,,,,323,,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ETXEBARRI,,29,3,6281,4594,173,4421,21,4400,1687,688,169,,288,57,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2693,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ETXEBARRIA,,30,4,711,552,179,373,8,365,159,359,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,EZKIO-ITSASO,,35,3,464,366,156,210,10,200,98,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,FORUA,,906,4,904,723,177,543,1,542,181,472,22,,42,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,FRUIZ,,35,4,313,260,54,206,9,197,53,179,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,GABIRIA,,38,3,355,299,5,294,3,291,56,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,GAINTZA,,37,3,108,92,1,91,,91,16,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,
Bizkaia,GALDAKAO,,36,3,24922,17171,1808,15363,232,15131,7751,,2228,,,2400,,,,2807,,7696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GALDAMES,,37,2,776,593,99,494,14,480,183,338,22,,86,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GAMIZ-FIKA,,38,4,1008,804,127,677,19,658,204,600,41,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GARAI,,39,3,252,226,1,225,1,224,26,153,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GATIKA,,40,4,1128,949,4,946,17,929,179,388,23,,149,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,736,626,7,619,4,615,110,358,21,,66,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,GAZTELU,,907,3,133,126,2,124,,124,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,53,,,
Bizkaia,GERNIKA-LUMO,,46,4,13260,10212,1753,8452,81,8371,3048,4703,631,,2146,314,,,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,GETARIA,,39,4,2027,1675,426,1249,15,1234,352,,27,,,,,,,27,,852,,,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GETXO,,44,4,69381,52014,2966,49048,832,48216,17367,,16106,,,3538,,,,6355,,20923,,,1294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GIZABURUAGA,,47,4,124,90,3,68,,68,34,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GORDEXOLA,,42,2,1355,1166,74,1092,6,1086,189,605,203,,138,111,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GORLIZ,,43,4,3808,2958,270,2688,33,2655,850,,199,,,156,,,,115,,1581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GÜEÑES,,45,2,5145,4024,287,3737,40,3697,1121,2063,264,,670,130,,,,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,HARANA/VALLE DE ARANA,,56,2,315,225,20,205,2,203,90,131,66,0,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,HERNANI,,40,1,15706,9904,3657,6247,231,6016,5802,,671,,,958,,,,1547,,2840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,HERNIALDE,,41,3,248,172,90,82,12,70,76,,2,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,HONDARRIBIA,,36,2,12879,8816,104,8712,212,8500,4063,,893,,,525,,,,714,,5009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,IBARRA,,42,3,3682,2447,855,1592,50,1542,1235,,157,,,137,,,,279,,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,IBARRANGELU,,48,4,509,418,79,339,6,333,91,320,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,IDIAZABAL,,43,3,1820,1393,323,1070,29,1041,427,,37,,,,,,,20,,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,IGORRE,,94,3,3292,2656,34,2622,24,2598,636,1437,84,,270,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,IKAZTEGIETA,,44,3,322,260,97,163,1,162,62,,0,,,,,,,2,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,IRUN,,45,2,49795,32522,284,32238,535,31703,17273,,6042,,,2400,,,,11101,,9663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,IRURA,,46,3,859,596,353,243,19,224,263,,21,,,,,,,27,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,IRURAIZ-GAUNA,,27,2,415,281,50,231,9,222,134,148,55,4,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1677,1244,29,1215,24,1191,433,,190,23,,22,,,,240,,280,,,,,,,,,,,,,,,,,,,180,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ISPASTER,,49,4,574,452,39,413,19,394,122,360,12,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ITSASONDO,,47,3,481,330,159,171,8,153,151,,13,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,IURRETA,,910,3,3549,2476,462,2014,41,1973,1073,,354,,,161,,,,464,,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,IZURTZA,,50,3,254,208,,208,3,205,46,123,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2685,1970,186,1784,25,1759,715,,30,,,,,,,17,,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,KORTEZUBI,,907,4,326,276,63,213,2,211,50,202,6,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,KRIPAN,,19,2,168,149,,144,5,144,19,102,23,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,KUARTANGO,,20,2,339,263,45,218,4,214,76,178,30,0,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LABASTIDA/BASTIDA,,28,2,1077,844,61,783,15,768,233,,368,4,,49,,,,91,,234,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LAGRÁN,,30,2,191,156,7,149,1,148,35,72,,4,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,23,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LAGUARDIA,,31,2,1264,1107,24,1083,11,1072,157,,572,3,,,,,,46,,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LANCIEGO/LANTZIEGO,,32,2,555,470,15,455,6,449,85,230,155,2,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LANESTOSA,,51,2,290,242,6,236,2,234,48,155,15,,60,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LANTARÓN,,902,2,844,628,19,609,6,603,216,323,203,22,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LAPUEBLA DE LABARCA,,33,2,717,629,7,622,5,617,88,,128,0,,,,,,53,,353,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LARRABETZU,,52,4,1363,1154,405,749,21,728,209,644,22,,43,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LARRAUL,,48,3,137,94,1,93,,62,43,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,
