TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PP,U.AL.,EB-B,EKA,PH,POSI,PSE-EE/PSOE,EAJ-PNV / EA,ARALAR,PUM+J,BERDEAK-PACMA,PCTV-EHAK
Gipuzkoa,URNIETA,,72,1,4543,2951,14,2937,18,2919,1592,340,1,168,,5,2,778,1025,115,,6,479
Gipuzkoa,URRETXU,,77,3,5544,4091,7,4084,31,4053,1453,377,2,218,,1,2,849,1750,158,,11,685
Gipuzkoa,USURBIL,,73,1,4663,3287,7,3280,20,3260,1376,180,1,113,,5,3,378,1282,206,,5,1087
Álava,VALDEGOVÍA/GAUBEA,,55,2,954,671,5,666,7,659,283,200,20,27,,3,2,81,251,9,,6,60
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10800,7219,31,7188,52,7136,3581,702,0,501,2,9,21,2421,2715,72,22,23,648
Gipuzkoa,VILLABONA,,75,3,4634,3190,,3190,16,3174,1444,267,2,150,,4,3,402,1300,141,,12,893
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,273,234,,234,,234,39,50,0,3,,0,0,12,134,0,,1,34
Álava,VITORIA-GASTEIZ,,59,1,183324,126491,471,126020,1008,125012,56833,35218,3180,6669,,276,187,35896,32451,1744,,698,8693
Álava,YÉCORA/IEKORA,,60,2,231,195,1,194,5,189,36,91,6,2,,0,0,29,59,0,,1,1
Bizkaia,ZALDIBAR,,95,3,2358,1601,5,1596,13,1583,757,223,1,55,1,0,4,369,602,40,1,1,286
Gipuzkoa,ZALDIBIA,,78,3,1210,922,,922,3,919,288,23,0,16,,0,1,40,269,110,,0,460
Álava,ZALDUONDO,,61,2,143,111,,111,1,110,32,8,0,13,,0,0,16,51,4,,0,18
Bizkaia,ZALLA,,96,2,6642,5195,49,5146,38,5108,1447,368,2,239,1,4,9,801,3247,79,8,14,336
Álava,ZAMBRANA,,62,2,320,223,1,222,,222,97,78,6,5,,0,1,30,92,4,,0,6
Bizkaia,ZAMUDIO,,905,4,2698,1998,8,1990,16,1974,700,196,1,61,1,0,1,245,1123,30,0,6,310
Bizkaia,ZARATAMO,,97,3,1351,952,2,950,9,941,399,79,0,25,1,1,1,166,470,17,2,2,177
Gipuzkoa,ZARAUTZ,,79,4,17253,12676,37,12639,82,12557,4577,1282,4,675,,16,19,1775,6068,665,,33,2020
Bizkaia,ZEANURI,,24,3,1020,862,,862,7,855,158,29,0,11,1,0,1,19,602,36,0,0,156
Bizkaia,ZEBERIO,,25,3,873,685,1,684,4,680,188,18,0,17,0,3,0,25,435,12,0,0,170
Gipuzkoa,ZEGAMA,,25,3,1088,873,,873,2,871,215,12,0,10,,0,0,10,550,36,,0,253
Gipuzkoa,ZERAIN,,26,3,213,181,1,180,,180,32,0,0,2,,0,0,1,100,9,,0,68
Gipuzkoa,ZESTOA,,27,4,2696,2041,3,2038,11,2027,655,45,0,57,,1,0,92,1063,105,,4,660
Bizkaia,ZIERBENA,,913,2,1110,843,8,835,10,825,267,50,0,29,0,0,2,97,508,11,5,2,121
Álava,ZIGOITIA,,18,2,1143,830,3,827,15,812,313,101,13,33,,0,0,128,353,21,,1,162
Gipuzkoa,ZIZURKIL,,28,3,2267,1464,6,1458,11,1447,803,122,1,64,,2,0,207,569,57,,5,420
Álava,ZUIA,,63,2,1708,1289,4,1285,8,1277,419,225,14,42,,2,0,173,608,28,,9,176
Gipuzkoa,ZUMAIA,,81,4,7043,4913,15,4898,24,4874,2130,347,1,220,,6,4,809,2318,269,,18,882
Gipuzkoa,ZUMARRAGA,,80,3,8435,5898,23,5875,56,5819,2537,722,4,354,,9,10,1765,2046,136,,25,748
