TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EKA,PST,FE-JONS,EMK-MCE,LKI-LCR,PCE-EPK,UC,UCD,ORT-PTE,ESEI,AP,PSOE(H)
Álava,URKABUSTAIZ,,54,2,678,320,2,316,2,316,358,122,9,72,10,0,,,5,1,6,1,66,0,5,19,
Gipuzkoa,URNIETA,,72,1,8016,4457,31,4412,14,4412,3559,1229,1362,636,375,7,,,95,18,206,8,356,20,33,67,
Gipuzkoa,URRETXU,,77,3,4865,3375,9,3357,9,3357,1490,1302,484,374,480,7,,,77,4,389,9,176,4,32,19,
Gipuzkoa,USURBIL,,73,1,4061,2410,11,2394,5,2394,1651,801,241,782,306,21,,,4,0,55,1,71,4,56,52,
Álava,VALDEGOVÍA/GAUBEA,,55,2,987,533,10,522,1,522,454,229,14,77,15,1,,,2,4,3,1,140,1,9,26,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10067,6342,30,6280,22,6290,3725,1874,1560,976,695,4,18,19,39,23,719,43,132,9,7,150,22
Gipuzkoa,VILLABONA,,75,3,3410,2040,6,2033,1,2033,1370,855,179,376,341,9,,,34,2,7,1,81,104,9,35,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,265,228,,227,1,227,37,104,4,31,3,6,,,0,0,0,0,75,0,1,3,
Álava,VITORIA-GASTEIZ,,59,1,127568,75272,649,74178,445,74178,52296,19914,11536,10266,8104,232,,,617,300,2561,119,14061,622,1077,4769,
Álava,YÉCORA/IEKORA,,60,2,234,134,3,130,1,130,100,20,1,8,5,0,,,0,1,0,0,86,0,0,9,
Bizkaia,ZALDIBAR,,95,3,2232,1217,9,1204,4,1204,1015,625,122,205,85,4,7,3,1,18,23,4,54,4,3,36,10
Gipuzkoa,ZALDIBIA,,78,3,1387,739,8,726,5,726,648,146,27,289,130,2,,,4,14,50,1,49,2,3,9,
Álava,ZALDUONDO,,61,2,120,94,,94,,94,26,26,4,40,14,0,,,0,0,1,0,9,0,0,0,
Bizkaia,ZALLA,,96,2,4849,3168,40,3121,7,3121,1681,1883,268,583,91,3,5,2,5,5,72,1,134,14,10,34,11
Álava,ZAMBRANA,,62,2,288,194,2,187,5,187,94,71,13,25,13,1,,,0,0,1,0,47,1,1,14,
Bizkaia,ZARATAMO,,97,3,1285,852,5,844,3,844,433,403,38,253,58,6,9,1,6,8,14,0,25,3,5,10,5
Gipuzkoa,ZARAUTZ,,79,4,12409,6954,73,6866,15,6830,5455,3254,590,876,1024,53,,,20,72,217,4,271,0,175,274,
Bizkaia,ZEANURI,,24,3,1140,842,5,836,1,836,298,503,2,257,35,2,0,0,0,0,1,0,8,0,0,28,0
Bizkaia,ZEBERIO,,25,3,1030,637,,636,1,636,393,389,5,140,77,0,0,1,0,0,1,0,7,0,2,14,0
Gipuzkoa,ZEGAMA,,25,3,1241,774,6,767,1,767,467,329,4,259,137,1,,,0,2,4,0,9,5,3,14,
Gipuzkoa,ZERAIN,,26,3,235,124,3,121,,121,111,49,2,53,13,0,,,1,1,0,0,0,0,2,0,
Gipuzkoa,ZESTOA,,27,4,2958,1836,6,1825,5,1825,1122,922,92,423,121,3,,,73,41,61,1,21,3,30,34,
Álava,ZIGOITIA,,18,2,572,317,4,313,,313,255,179,18,34,28,0,,,2,1,0,0,42,2,2,5,
Gipuzkoa,ZIZURKIL,,28,3,1884,1180,9,1169,2,1169,704,563,106,278,100,0,,,10,1,7,3,39,47,3,12,
Álava,ZUIA,,63,2,1042,721,13,701,7,701,321,456,8,56,29,0,,,2,0,2,1,102,1,10,34,
Gipuzkoa,ZUMAIA,,81,4,5334,3542,91,3443,8,3443,1792,1587,541,542,283,71,,,105,4,68,2,140,8,42,50,
Gipuzkoa,ZUMARRAGA,,80,3,8668,5653,43,5597,13,5597,3015,1790,1127,667,626,22,,,54,8,839,4,397,3,20,40,
