TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,EKA,PH,POSI,PSE-EE/PSOE,BERDEAK-LV,ARALAR,ATTKA/PACMA,PUM+J,PFYV,UPYD
Bizkaia,SOPUERTA,,86,2,2058,1435,80,1355,18,1337,623,717,92,202,40,0,0,0,207,6,58,0,0,1,14
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3255,2141,367,1774,16,1758,1114,623,194,145,44,,,,567,6,166,,2,,11
Bizkaia,SUKARRIETA,,76,4,298,251,39,212,1,211,47,138,11,21,2,2,0,1,18,0,17,0,0,1,0
Gipuzkoa,TOLOSA,,71,3,14385,8705,1364,7341,81,7260,5680,3457,577,457,259,,,,1409,20,1002,,30,,49
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,455,345,13,332,,332,110,217,22,10,0,0,0,0,52,0,27,1,0,0,3
Bizkaia,UBIDE,,88,3,131,97,38,59,,59,34,42,7,1,2,0,0,0,2,0,5,0,0,0,0
Bizkaia,UGAO-MIRABALLES,,65,3,3316,2251,301,1950,15,1935,1065,1033,172,85,66,0,3,6,423,8,96,7,4,5,27
Bizkaia,URDULIZ,,89,4,2679,1897,207,1690,19,1671,782,945,95,97,54,0,2,4,320,21,103,6,2,2,20
Bizkaia,URDUÑA/ORDUÑA,,74,3,3406,2402,333,2069,15,2054,1004,1064,221,95,73,3,2,8,384,13,153,0,8,5,25
Álava,URKABUSTAIZ,,54,2,897,595,130,465,5,460,302,227,47,28,19,,,0,103,4,27,,1,,4
Gipuzkoa,URNIETA,,72,1,4652,2689,297,2392,34,2358,1963,828,193,69,86,,,,875,9,251,,7,,40
Gipuzkoa,URRETXU,,77,3,5453,3809,495,3314,39,3275,1644,1311,227,272,108,,,,990,14,329,,11,,13
Gipuzkoa,USURBIL,,73,1,4669,2921,768,2153,23,2130,1748,895,126,132,82,,,,477,10,373,,19,,16
Álava,VALDEGOVÍA/GAUBEA,,55,2,935,652,30,622,7,615,283,257,160,9,19,,,0,131,4,24,,3,,8
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10388,6905,416,6489,59,6430,3483,2637,478,84,275,1,7,7,2598,29,185,18,10,11,90
Gipuzkoa,VILLABONA,,75,3,4506,2633,628,2005,39,1966,1873,888,150,102,61,,,,452,9,275,,5,,24
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,269,211,23,188,2,186,58,113,36,13,3,,,0,14,0,4,,0,,3
Álava,VITORIA-GASTEIZ,,59,1,182127,118594,5259,113335,1371,111964,63533,28295,25889,3387,3915,,,167,38778,995,4536,,644,,5358
Álava,YÉCORA/IEKORA,,60,2,236,170,4,166,4,162,66,68,65,0,3,,,0,18,0,4,,0,,4
Bizkaia,ZALDIBAR,,95,3,2378,1522,214,1308,13,1295,856,519,164,49,32,0,0,5,423,3,71,6,6,1,16
Gipuzkoa,ZALDIBIA,,78,3,1180,864,391,473,4,469,316,224,16,10,10,,,,56,0,153,,0,,0
Álava,ZALDUONDO,,61,2,158,123,15,108,3,105,35,58,5,3,9,,,0,20,2,6,,0,,2
Bizkaia,ZALLA,,96,2,6581,5180,293,4887,54,4833,1401,3013,251,158,131,0,4,3,998,21,206,11,5,7,25
Álava,ZAMBRANA,,62,2,318,212,5,207,1,206,106,79,59,3,6,,,1,42,2,5,,1,,8
Bizkaia,ZAMUDIO,,905,4,2613,1889,213,1676,25,1651,724,1018,112,53,46,0,1,0,334,1,68,6,2,0,10
Bizkaia,ZARATAMO,,97,3,1406,959,95,864,8,856,447,448,61,52,16,0,0,4,212,4,48,1,0,2,8
Gipuzkoa,ZARAUTZ,,79,4,17187,11549,1314,10235,126,10109,5638,4217,831,817,324,,,,2284,42,1476,,21,,97
Bizkaia,ZEANURI,,24,3,1057,829,143,686,3,683,228,489,15,58,5,0,0,1,33,0,77,1,0,2,2
Bizkaia,ZEBERIO,,25,3,864,628,140,488,5,483,236,379,7,9,10,0,0,1,29,2,42,0,1,2,1
Gipuzkoa,ZEGAMA,,25,3,1159,812,191,621,6,615,347,302,3,200,10,,,,21,0,78,,1,,0
Gipuzkoa,ZERAIN,,26,3,206,158,53,105,,105,48,83,1,3,1,,,,1,0,16,,0,,0
Gipuzkoa,ZESTOA,,27,4,2762,1796,429,1367,10,1357,966,795,21,138,40,,,,108,5,243,,3,,4
Bizkaia,ZIERBENA,,913,2,1177,900,94,806,8,798,277,527,26,12,23,0,2,0,160,9,36,0,0,1,2
Álava,ZIGOITIA,,18,2,1325,893,120,773,9,764,432,327,92,65,25,,,0,170,3,53,,0,,29
Bizkaia,ZIORTZA - BOLIBAR,,915,4,347,260,76,184,,184,87,161,2,3,3,0,0,0,3,1,11,0,0,0,0
Gipuzkoa,ZIZURKIL,,28,3,2183,1297,308,989,8,981,886,442,59,53,33,,,,267,6,111,,2,,8
Álava,ZUIA,,63,2,1727,1246,102,1144,16,1128,481,550,158,52,20,,,1,212,14,79,,8,,34
Gipuzkoa,ZUMAIA,,81,4,7260,4736,674,4062,45,4017,2524,1704,189,445,132,,,,982,21,509,,9,,26
Gipuzkoa,ZUMARRAGA,,80,3,8155,5496,455,5041,65,4976,2659,1581,456,254,188,,,,2079,22,342,,24,,30
