TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PH,EK-PCPE,PSE-EE/PSOE,ATTKA/PACMA,UPYD,Cs,EH BILDU,VOX,PODEMOS-AHAL DUGU,IRABAZI,IKUNE,VOX / PFYV
Álava,VALDEGOVÍA/GAUBEA,,55,2,834,578,15,563,11,552,256,233,130,,,36,,,12,82,1,49,9,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10003,6319,93,6226,94,6132,3684,2285,238,,23,1294,,22,77,1116,10,869,163,35,
Gipuzkoa,VILLABONA,,75,3,4359,2789,34,2755,51,2704,1570,1032,71,,,225,,,,1059,,279,38,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,246,224,2,222,1,221,22,97,18,,,3,,,2,79,0,22,0,,
Álava,VITORIA-GASTEIZ,,59,1,186362,120884,1754,119130,1791,117339,65478,20808,30330,,,14562,,1079,4259,21623,,18635,5324,719,
Álava,YÉCORA/IEKORA,,60,2,203,161,3,158,2,156,42,61,54,,,15,,,2,8,0,12,4,,
Bizkaia,ZALDIBAR,,95,3,2359,1447,26,1421,24,1397,912,388,94,0,,206,7,12,,514,5,154,17,,
Gipuzkoa,ZALDIBIA,,78,3,1154,874,11,863,13,850,280,179,4,,,15,,,,600,,48,4,,
Álava,ZALDUONDO,,61,2,159,139,2,137,4,133,20,47,2,,,5,,,5,57,0,15,2,,
Bizkaia,ZALLA,,96,2,6623,5092,168,4924,118,4806,1531,2600,133,,10,457,,15,67,759,7,629,57,72,
Álava,ZAMBRANA,,62,2,323,241,7,234,8,226,82,61,85,,,11,,,7,28,0,29,5,,
Bizkaia,ZAMUDIO,,905,4,2546,1833,29,1804,16,1788,713,926,47,,,84,11,6,13,539,,150,10,,2
Bizkaia,ZARATAMO,,97,3,1309,878,14,864,14,850,431,353,25,2,,68,14,6,,256,2,119,5,,
Gipuzkoa,ZARAUTZ,,79,4,17785,11583,97,11486,199,11287,6202,4658,469,,,1125,,,,3486,,1205,344,,
Bizkaia,ZEANURI,,24,3,1010,820,10,810,6,804,190,406,7,1,,2,1,0,,357,0,24,6,,
Bizkaia,ZEBERIO,,25,3,882,704,5,699,6,693,178,361,6,1,,3,4,0,,282,0,35,1,,
Gipuzkoa,ZEGAMA,,25,3,1161,860,13,847,17,830,301,373,2,,,7,,,,409,,34,5,,
Gipuzkoa,ZERAIN,,26,3,202,136,10,126,5,121,66,56,0,,,1,,,,61,,1,2,,
Gipuzkoa,ZESTOA,,27,4,2814,1929,12,1917,34,1883,885,851,16,,,66,,,,852,,86,12,,
Bizkaia,ZIERBENA,,913,2,1250,918,30,888,18,870,332,452,16,,1,49,,2,6,239,2,87,6,10,
Álava,ZIGOITIA,,18,2,1403,889,17,872,21,851,514,258,75,,,49,,,14,324,3,108,20,,
Bizkaia,ZIORTZA - BOLIBAR,,915,4,363,288,1,287,3,284,75,124,1,,,1,1,0,0,153,,2,2,,0
Gipuzkoa,ZIZURKIL,,28,3,2293,1533,9,1524,33,1491,760,533,33,,,139,,,,669,,107,10,,
Álava,ZUIA,,63,2,1788,1280,22,1258,31,1227,508,436,140,,,66,,,39,377,17,109,43,,
Gipuzkoa,ZUMAIA,,81,4,7457,4958,37,4921,71,4850,2499,1906,100,,,490,,,,1820,,486,48,,
Gipuzkoa,ZUMARRAGA,,80,3,7938,5147,49,5098,74,5024,2791,1206,215,,,1868,,,,995,,554,186,,
