TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EA,EB-B,CDS,PH,PTE-UC,FAP,CSI,PDP,POSI,PSDV,UPR,EMK-MCE,PDP-PL,IND. ASPARRENA 87,IND. KUARTANGO 87,IND. IRUÑA OKA.87,IND. IRURAIZ-G. 87,IND. LAGUARDIA 87,IND. LAUDIO 87,IND. NAVARIDAS 87,IND. PEÑACERRADA 87,IND. RIBERA ALTA 87,IND. AÑANA 87,IND. DONEMILIAGA 87,IND. URKABUSTAIZ 87,IND. 1 VALDEGOVIA 87,IND. 2 VALDEGOVIA 87,IND. ZIERBENA 87,IND. AMOROTO 87,IND. BALMASEDA 87,IND. BERANGO 87,IND. BERRIATUA 87,IND. KARRANTZA 87,IND. DURANGO 87,IND. EREÑO 87,IND. ERMUA 87,IND. ETXEBARRI 87,IND. FORUA 87,IND. GARAI 87,IND. 1 GORDEXOLA 87,IND. 2 GORDEXOLA 87,IND. GORLIZ 87,IND. GIZABURUAGA 87,IND. ISPASTER 87,IND. MALLABIA 87,IND. MENDEXA 87,IND. ORTUELLA 87,IND. PORTUGALETE 87,IND. SOPUERTA 87,IND. TURTZIOZ 87,IND. ZALDIBAR 87,IND. ZALLA 87,IND. ZEBERIO 87,IND. ABALTZISKETA 87,IND. ADUNA 87,IND. AIZARNAZABAL 87,IND. ALBIZTUR 87,IND. ALTZO 87,IND. AMEZKETA 87,IND. ANOETA 87,IND. ANTZUOLA 87,IND. ARAMA 87,IND. ARRASATE 87,IND. BEIZAMA 87,IND. BERROBI 87,IND. DONOSTIA-SS. 87,IND. ELGETA 87,IND. ESKORIATZA 87,IND. GABIRIA 87,IND. GAINTZA 87,IND. HERNIALDE 87,IND. IRUERRIETA 87,IND. ITSASONDO 87,IND. LARRAUL 87,IND. LEGAZPI 87,IND. LEINTZ-GATZ. 87,IND. MUTILOA 87,IND. OLABERRIA 87,IND. URNIETA 87,IND. ZERAIN 87,IND. ARETXABALETA 87
Bizkaia,PORTUGALETE,,78,2,43358,27645,161,27484,215,27269,15713,4166,8779,3906,3235,1934,712,1435,59,558,1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,328,285,2,283,,283,43,165,18,,,,,80,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,SAMANIEGO,,52,2,260,201,6,195,1,194,59,104,48,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,656,272,4,268,12,256,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SANTURTZI,,82,2,38800,24442,228,24214,208,24006,14358,3923,7398,4719,2371,2792,555,787,46,262,1064,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,SEGURA,,70,3,1080,922,5,917,3,914,158,224,,245,62,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SESTAO,,84,2,28988,18055,180,17875,133,17742,10933,2420,7227,2795,1500,1171,388,712,,537,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SONDIKA,,904,4,3261,2373,41,2332,27,2305,888,1353,,354,148,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SOPELA,,85,4,4882,3435,31,3404,28,3376,1447,1191,423,935,332,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SOPUERTA,,86,2,1758,1480,7,1473,13,1460,278,259,,155,48,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,4078,3210,25,3185,34,3151,868,907,490,787,354,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SUKARRIETA,,76,4,233,193,1,192,2,190,40,73,,42,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,TOLOSA,,71,3,14546,9143,81,9062,89,8973,5403,1304,844,2319,1364,2546,,,,,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,441,382,7,375,2,373,59,71,,41,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,UBIDE,,88,3,141,110,3,107,65,42,31,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,UGAO-MIRABALLES,,65,3,3135,2365,17,2348,32,2316,770,791,360,572,,443,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,URDULIZ,,89,4,1821,1402,22,1380,6,1374,419,612,170,323,75,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,URDUÑA/ORDUÑA,,74,3,3386,2509,39,2470,25,2445,877,910,,477,258,616,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,URKABUSTAIZ,,54,2,719,534,10,524,13,511,185,177,37,130,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,URNIETA,,72,1,3072,2264,20,2244,10,2234,808,801,367,521,99,289,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,
Gipuzkoa,URRETXU,,77,3,4913,3741,23,3718,45,3673,1172,400,585,614,342,1580,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,USURBIL,,73,1,4094,2960,31,2929,49,2880,1134,376,438,1252,,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VALDEGOVÍA/GAUBEA,,55,2,784,531,8,523,1,522,253,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,9917,6425,71,6354,35,6319,3492,1510,1713,1335,820,456,151,126,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,VILLABONA,,75,3,3836,2851,25,2826,43,2783,985,304,193,941,799,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,291,248,6,242,7,235,43,143,,43,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VITORIA-GASTEIZ,,59,1,145106,96895,877,96018,973,95045,48211,8705,19213,10790,6299,31238,446,8300,183,437,8072,745,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,YÉCORA/IEKORA,,60,2,217,175,1,174,5,169,42,137,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZALDIBAR,,95,3,2408,1719,22,1697,25,1672,689,494,371,312,,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZALDIBIA,,78,3,1419,1048,13,1035,6,1029,371,,,526,163,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZALDUONDO,,61,2,106,88,4,84,9,75,18,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZALLA,,96,2,5344,3892,49,3843,23,3820,1452,1507,558,539,223,796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZAMBRANA,,62,2,303,270,8,262,,262,33,123,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZAMUDIO,,905,4,2634,1867,83,1784,41,1743,767,861,136,541,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZARATAMO,,97,3,1215,984,16,968,7,961,231,340,93,198,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZARAUTZ,,79,4,11940,8987,77,8910,78,8832,2953,1440,876,1604,1228,3071,,,,135,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEANURI,,24,3,1058,902,7,895,7,888,156,299,,186,,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEBERIO,,25,3,841,682,8,674,2,672,159,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZEGAMA,,25,3,1179,877,12,865,18,847,302,,,381,,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZERAIN,,26,3,193,137,28,109,3,106,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,
Gipuzkoa,ZESTOA,,27,4,2818,2205,22,2183,20,2163,613,543,60,730,140,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZIGOITIA,,18,2,609,479,9,470,9,461,130,164,28,86,35,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZIZURKIL,,28,3,1978,1474,19,1455,15,1440,504,290,202,480,120,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZUIA,,63,2,1032,839,17,822,9,813,193,449,,199,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMAIA,,81,4,5861,4388,57,4331,36,4295,1473,1139,625,883,354,1294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMARRAGA,,80,3,8895,6496,85,6411,90,6321,2399,1148,1560,809,790,1573,209,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
