TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,HB,EB-B,CDS,EKA,AR,LVE,PH,ARM-ADE,PTE-UC,FE-JONS,EK-PCPE,F.N.,UNA,CIU,BNG,LA,P.A.,CSD,EE...(E89),FPR,PNV...(E89),AV-MEC,BACTERIA,PED,EA...(E89),EPV,PST-PORE,PV,IDE,LB
Álava,LAGUARDIA,,31,2,1214,667,4,774,7,767,547,107,249,67,5,21,7,0,0,0,11,6,1,0,0,1,0,0,0,0,3,35,0,146,4,,1,79,3,3,0,3,3
Álava,LANCIEGO/LANTZIEGO,,32,2,528,339,2,337,7,330,189,82,53,24,5,11,0,0,7,0,3,0,2,0,0,0,1,0,0,0,2,7,1,115,1,,0,11,1,0,0,1,3
Bizkaia,LANESTOSA,,51,2,260,171,3,168,1,167,89,29,11,14,0,1,0,1,2,0,2,0,0,0,1,0,0,0,0,1,0,3,0,88,0,0,0,6,6,0,,0,2
Álava,LANTARÓN,,902,2,706,432,6,426,5,421,274,55,102,32,8,19,2,1,3,1,12,1,2,0,1,0,0,2,0,0,1,21,1,143,0,,0,8,0,2,0,0,4
Álava,LAPUEBLA DE LABARCA,,33,2,645,505,2,503,8,495,140,57,97,12,5,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,3,0,255,0,,0,56,0,0,0,1,1
Bizkaia,LARRABETZU,,52,4,1238,963,6,957,5,952,275,12,12,306,5,0,1,0,4,0,2,0,0,0,0,1,0,0,0,0,0,22,0,538,2,0,0,43,0,3,,0,1
Gipuzkoa,LARRAUL,,48,3,136,68,,68,,68,68,1,0,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,,0,15,0,0,,0,1
Gipuzkoa,LASARTE-ORIA,,902,1,13528,8071,66,8005,81,7924,5457,2739,229,1640,121,321,8,1,77,7,44,160,2,10,2,1,3,3,2,0,33,747,3,535,11,,5,1163,13,11,,3,30
Álava,LAUDIO/LLODIO,,36,3,16009,9440,108,9304,79,9225,6569,1615,822,2277,137,439,11,7,84,12,98,44,17,19,4,3,4,9,7,13,32,717,7,1871,19,,3,1146,16,18,0,4,57
Bizkaia,LAUKIZ,,53,4,765,557,3,554,6,548,208,10,26,78,5,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,19,0,280,1,0,0,113,0,0,,0,2
Gipuzkoa,LAZKAO,,49,3,3972,2515,13,2502,29,2473,1457,395,21,761,33,44,0,0,12,3,7,14,1,1,1,0,0,0,0,0,1,236,0,514,1,,0,410,13,1,,0,4
Gipuzkoa,LEABURU,,50,3,500,327,7,320,2,318,173,6,4,229,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,18,0,,0,47,0,0,,0,2
Gipuzkoa,LEGAZPI,,51,3,8071,5479,64,5415,76,5339,2592,781,133,1035,32,124,0,2,18,2,15,53,7,11,3,2,4,3,7,3,15,862,3,731,6,,7,1425,7,13,,2,28
Gipuzkoa,LEGORRETA,,52,3,1202,876,6,870,10,860,326,94,8,224,0,1,0,0,2,0,2,11,1,0,0,0,0,0,0,0,0,177,0,243,0,,0,90,0,2,,0,4
Álava,LEGUTIO,,58,2,998,585,11,574,4,570,413,83,30,141,14,9,0,3,6,0,4,0,2,1,0,0,0,0,0,0,1,21,0,150,0,,0,99,0,1,0,0,5
Gipuzkoa,LEINTZ-GATZAGA,,68,4,170,122,1,121,1,120,48,1,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,0,,0,34,0,0,,0,0
Bizkaia,LEIOA,,54,4,17234,9768,74,9694,97,9597,7466,1535,444,1640,251,265,3,7,88,15,160,75,10,10,9,5,9,6,8,12,26,1267,5,2792,11,7,2,802,25,25,,3,80
Bizkaia,LEKEITIO,,57,4,5966,4223,27,4196,10,4186,1743,67,73,1443,7,18,0,0,3,1,3,1,0,3,1,0,1,1,0,2,0,208,0,1293,0,0,1,1052,1,2,,0,5
Bizkaia,LEMOA,,55,3,2299,1869,14,1855,10,1845,430,77,42,324,10,8,0,0,3,1,10,4,0,2,0,1,0,0,0,1,0,40,0,835,1,0,0,484,1,0,,0,1
Bizkaia,LEMOIZ,,56,4,652,424,2,422,4,418,228,8,2,124,0,2,0,0,0,1,3,0,0,0,0,0,1,1,0,0,2,38,0,189,0,0,0,46,0,0,,0,1
Álava,LEZA,,34,2,184,118,3,16,1,15,66,28,13,7,1,2,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,0,18,0,,0,32,0,0,0,0,3
Bizkaia,LEZAMA,,81,4,1490,990,4,986,11,975,500,17,21,226,6,5,1,0,5,2,6,0,1,0,0,0,0,0,0,0,0,34,0,564,2,0,0,81,0,0,,0,4
Gipuzkoa,LEZO,,53,2,4055,2334,25,2309,21,2288,1721,353,33,941,25,33,0,1,9,2,7,6,0,8,0,0,0,2,0,1,7,199,1,193,1,,0,457,3,3,,0,3
Gipuzkoa,LIZARTZA,,54,3,562,461,,461,4,457,101,0,0,257,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,29,0,,0,163,0,0,,0,0
Bizkaia,LOIU,,903,4,1521,950,3,947,4,943,571,14,68,127,1,10,0,0,0,1,35,0,0,0,1,0,0,0,0,0,0,48,0,486,0,0,0,150,1,0,,0,1
Bizkaia,MALLABIA,,58,3,873,573,2,571,3,568,300,49,7,202,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,28,0,205,2,0,0,62,1,0,,0,10
Bizkaia,MARKINA-XEMEIN,,60,4,3978,2337,11,2326,8,2318,1641,75,52,702,14,30,0,1,8,2,2,2,0,1,5,0,0,3,0,0,3,78,2,1061,3,0,1,263,3,1,,1,5
Bizkaia,MARURI-JATABE,,61,4,398,269,2,267,1,266,129,6,6,28,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,0,135,0,0,0,66,0,0,,0,1
Bizkaia,MAÑARIA,,59,3,417,317,9,308,3,305,100,3,5,89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,165,0,0,0,38,1,0,,0,0
Gipuzkoa,MENDARO,,901,4,1230,757,9,748,8,740,473,104,4,157,3,8,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,30,0,233,0,,0,194,0,0,,0,3
Bizkaia,MENDATA,,62,4,318,240,,240,2,238,78,2,0,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,137,1,0,0,48,0,0,,0,0
Bizkaia,MENDEXA,,63,4,297,209,,209,,209,88,1,4,86,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,80,0,0,0,25,0,0,,0,0
Bizkaia,MEÑAKA,,64,4,350,257,1,256,2,254,93,3,6,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,91,0,0,0,84,0,0,,0,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,260,168,,168,5,163,92,70,27,4,0,3,0,0,2,1,10,1,0,0,0,0,0,0,0,0,0,8,0,33,0,,0,2,1,0,0,0,1
Bizkaia,MORGA,,66,4,295,205,,205,1,204,90,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,141,0,0,0,28,0,0,,0,0
Bizkaia,MUNDAKA,,68,4,1313,1033,3,1030,1,1029,280,7,24,251,0,3,0,0,0,1,7,0,0,0,2,0,0,0,0,0,0,47,0,465,0,0,0,220,0,0,,0,2
Bizkaia,MUNGIA,,69,4,8534,5247,21,5226,38,5188,3287,376,163,1045,20,47,0,0,17,1,47,12,1,4,3,1,1,2,1,2,11,357,0,2350,2,0,1,706,5,1,,0,12
Álava,MUNICIPIO CERA ARABA,,999,99,478,139,,139,,139,339,32,39,7,8,4,0,1,6,0,0,2,2,0,0,1,0,0,0,0,0,5,0,19,0,,0,6,0,1,2,1,3
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,2762,1053,79,974,4,970,1709,271,80,97,61,24,4,5,14,3,4,13,7,13,9,0,1,0,1,1,2,27,1,235,0,0,0,70,8,2,,3,14
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,2046,841,82,759,7,752,1205,200,88,86,45,15,3,1,5,0,3,9,4,6,0,0,0,3,0,0,2,44,0,121,1,,0,90,11,2,,3,10
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,429,289,3,286,5,281,140,0,0,102,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,123,0,0,0,48,0,0,,1,1
Bizkaia,MURUETA,,908,4,193,110,,110,,110,83,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,57,0,0,0,27,0,0,,0,0
Bizkaia,MUSKIZ,,71,2,4833,3011,17,2994,27,2967,1822,609,81,517,141,30,0,0,10,1,13,45,1,6,0,3,0,1,0,1,4,240,0,775,2,0,0,484,0,0,,0,3
Gipuzkoa,MUTILOA,,57,3,160,74,1,73,1,72,86,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,,0,20,0,0,,0,0
Gipuzkoa,MUTRIKU,,56,4,3601,2617,24,2593,32,2561,984,110,125,763,6,12,0,0,3,0,8,0,0,0,0,0,0,0,1,0,1,90,0,1158,2,,0,269,5,1,,1,6
Bizkaia,MUXIKA,,67,4,1239,893,9,884,1,883,346,8,2,352,0,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,15,0,286,0,0,0,210,0,1,,0,1
Bizkaia,NABARNIZ,,909,4,209,164,,164,,164,45,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,67,0,0,0,17,0,0,,1,0
Álava,NAVARIDAS,,41,2,187,121,,121,6,115,66,13,41,2,0,2,0,0,1,1,9,1,2,0,0,0,0,0,0,0,0,4,0,17,0,,0,18,2,0,0,1,1
Gipuzkoa,OIARTZUN,,63,2,6161,4017,30,3987,37,3950,2144,173,42,1815,17,8,2,1,15,2,9,10,0,7,4,2,1,2,0,1,1,290,5,453,2,,1,1058,8,5,,0,16
Álava,OKONDO,,42,3,614,422,7,415,2,413,192,11,56,92,0,1,0,0,1,1,2,0,0,0,0,0,2,1,0,0,0,9,0,174,0,,0,59,4,0,0,0,0
Gipuzkoa,OLABERRIA,,58,3,1036,608,2,606,10,596,428,128,20,121,3,13,1,1,12,1,6,5,0,0,1,0,4,0,1,0,6,52,0,98,3,,1,101,4,0,,3,11
Bizkaia,ONDARROA,,73,4,8537,5558,43,5515,26,5489,2979,139,250,2202,16,18,6,3,17,2,3,3,1,0,66,1,0,3,2,1,4,279,1,1815,3,0,0,643,3,2,,0,6
Gipuzkoa,ORDIZIA,,76,3,7400,4550,45,4505,33,4472,2850,480,200,1195,55,64,9,3,32,5,14,105,5,3,1,1,0,1,0,1,9,794,0,678,1,,0,774,14,2,,0,26
Gipuzkoa,ORENDAIN,,905,3,156,110,,110,2,108,46,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,,0,45,0,0,,0,0
Gipuzkoa,OREXA,,60,3,72,58,,58,,58,14,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,,0,3,0,0,,0,0
Gipuzkoa,ORIO,,61,4,3216,1977,12,1965,21,1944,1239,167,34,560,9,19,1,0,6,0,3,5,0,1,4,0,0,0,0,0,4,243,1,337,3,,1,525,6,5,,1,9
Gipuzkoa,ORMAIZTEGI,,62,3,958,726,5,721,6,715,232,10,7,199,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,106,0,196,1,,0,185,0,0,,0,2
Bizkaia,OROZKO,,75,3,1624,981,10,971,4,967,643,30,69,222,1,0,0,0,1,0,5,0,0,0,0,0,1,0,0,1,0,15,0,445,0,0,0,176,0,0,,0,1
Bizkaia,ORTUELLA,,83,2,6925,3989,45,3944,41,3903,2936,1112,85,686,192,49,1,2,21,2,27,283,1,5,1,2,2,0,1,4,11,352,0,617,4,0,1,411,4,6,,0,21
Bizkaia,OTXANDIO,,72,3,932,690,,690,3,687,242,11,16,226,2,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,73,0,287,0,0,0,65,0,0,,0,0
Álava,OYÓN-OION,,43,2,1756,1110,18,1092,6,1086,646,259,227,134,21,38,1,0,5,0,40,4,0,3,1,1,0,0,0,2,4,80,0,209,4,,1,43,0,2,0,1,4
Gipuzkoa,OÑATI,,59,4,8425,5313,14,5299,45,5254,3112,394,200,1431,15,45,0,1,20,1,11,15,4,5,0,0,2,2,3,0,2,431,3,1710,3,,5,931,4,1,,2,13
Gipuzkoa,PASAIA,,64,2,15113,8247,124,8123,72,8051,6866,1639,197,2491,78,169,8,7,75,2,50,80,3,27,8,7,1,13,2,2,23,948,0,656,11,,2,1477,11,11,,1,52
Álava,PEÑACERRADA-URIZAHARRA,,44,2,208,128,1,127,1,126,80,16,32,11,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,51,0,,0,1,0,0,0,0,0
Bizkaia,PLENTZIA,,77,4,2205,1460,21,1439,6,1433,745,62,48,289,5,12,0,0,4,0,30,1,0,0,1,0,0,1,2,0,1,128,0,622,3,0,0,213,3,1,,0,7
Bizkaia,PORTUGALETE,,78,2,44609,24447,182,24265,262,24003,20162,6824,1900,3320,916,1006,3,18,248,19,352,610,16,108,44,11,6,20,8,72,100,2816,17,3612,33,0,11,1549,48,151,,9,156
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,345,212,4,209,1,208,133,28,50,8,0,29,0,0,2,0,3,2,0,0,1,0,0,0,0,0,2,20,0,60,0,,0,1,2,0,0,0,0
Álava,SAMANIEGO,,52,2,246,144,1,143,,143,102,45,17,31,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,34,0,,0,2,0,0,0,0,2
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,654,272,4,268,6,262,382,16,32,51,2,12,1,1,1,1,2,0,0,0,0,5,2,0,0,1,0,17,0,72,2,,0,34,2,1,0,3,4
Bizkaia,SANTURTZI,,82,2,39612,21567,205,21362,223,21139,18045,5799,1198,4064,874,693,7,10,204,13,239,310,13,49,16,11,7,22,10,6,85,2046,13,3824,23,0,9,1412,36,46,,4,96
Gipuzkoa,SEGURA,,70,3,1075,815,7,808,2,806,260,4,2,268,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,37,0,155,0,,0,334,0,0,,0,0
Bizkaia,SESTAO,,84,2,29337,15124,138,14986,146,14840,14213,4825,880,2157,535,645,7,8,123,10,171,561,10,31,14,4,8,17,10,7,44,1393,15,2178,115,0,10,923,25,45,,3,66
Bizkaia,SONDIKA,,904,4,3241,2095,34,2048,,2048,1146,163,41,328,11,43,0,0,0,1,17,2,0,3,2,1,1,0,0,0,4,108,1,1049,4,0,0,235,3,0,,0,12
Bizkaia,SOPELA,,85,4,5265,3142,20,3122,36,3086,2123,336,54,884,28,45,1,0,17,1,39,13,1,9,1,1,2,0,0,3,6,332,1,957,3,0,1,329,6,5,,0,11
Bizkaia,SOPUERTA,,86,2,1726,1083,5,1078,10,1068,643,134,36,135,18,5,0,1,4,2,7,2,0,9,3,0,0,0,0,0,1,36,0,295,1,0,27,345,0,0,,0,7
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,4011,2826,28,2798,34,2764,1185,446,81,673,12,42,18,1,10,1,4,1,3,1,1,0,0,1,1,0,2,250,1,812,0,,1,394,1,0,,0,7
Bizkaia,SUKARRIETA,,76,4,238,164,3,161,,161,74,0,3,25,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,0,66,0,0,0,59,0,0,,0,0
Gipuzkoa,TOLOSA,,71,3,14651,8143,56,8087,97,7990,6508,761,543,2075,65,101,45,3,60,6,67,53,4,3,10,3,6,5,5,7,22,984,0,1076,12,,3,1989,28,9,,1,44
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,436,284,3,281,1,280,152,31,22,36,0,4,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,132,0,0,0,40,0,0,,0,0
Bizkaia,UBIDE,,88,3,142,123,,123,1,122,19,0,15,63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,36,0,0,0,3,0,0,,0,0
Bizkaia,UGAO-MIRABALLES,,65,3,3238,2105,15,2090,11,2079,1133,359,73,522,25,40,0,0,4,2,19,10,4,2,2,2,1,2,1,2,3,77,2,661,1,0,1,241,3,6,,2,12
Bizkaia,URDULIZ,,89,4,1869,1230,10,1220,5,1215,639,111,20,285,14,9,1,1,4,0,9,4,0,0,1,2,4,0,1,0,5,45,0,514,1,0,0,174,2,1,,0,7
Bizkaia,URDUÑA/ORDUÑA,,74,3,3399,2113,17,2096,18,2078,1286,201,161,417,22,62,4,2,7,5,14,4,2,6,3,1,3,4,1,0,5,108,4,734,3,0,2,279,17,2,,0,5
Álava,URKABUSTAIZ,,54,2,709,459,9,450,10,440,250,39,57,118,6,13,0,0,5,2,10,1,1,1,1,0,1,0,0,0,2,32,2,111,0,,0,35,0,0,0,0,2
Gipuzkoa,URNIETA,,72,1,3186,1825,13,1812,22,1790,1361,399,33,498,10,28,1,0,7,1,7,40,0,3,0,0,0,3,0,4,2,124,1,360,1,,0,258,2,3,,0,5
Gipuzkoa,URRETXU,,77,3,4926,3179,32,3147,40,3107,1747,607,71,579,62,60,0,1,10,3,8,120,0,0,0,0,0,0,1,0,8,282,0,355,3,,1,914,3,3,,2,14
Gipuzkoa,USURBIL,,73,1,4182,2514,29,2485,41,2444,1668,346,53,977,41,47,2,1,13,2,10,23,1,13,0,4,3,1,0,2,6,124,1,267,1,,3,488,3,5,,2,5
Álava,VALDEGOVÍA/GAUBEA,,55,2,786,434,3,433,8,425,352,60,116,57,1,15,0,0,2,0,7,0,1,1,1,0,0,1,0,0,7,23,1,99,0,,4,17,0,1,0,1,0
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10136,6028,43,5985,66,5919,4108,1496,145,1171,179,91,0,5,54,7,54,211,8,12,12,6,1,0,0,0,13,600,0,1421,8,0,0,387,4,9,,2,23
Gipuzkoa,VILLABONA,,75,3,3901,2564,28,2536,26,2510,1337,277,34,812,15,14,3,2,10,1,5,4,1,1,2,2,0,0,0,1,5,440,1,257,0,,1,601,3,4,,1,13
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,294,229,2,227,3,224,65,5,43,29,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,110,0,,0,33,0,0,0,0,0
Álava,VITORIA-GASTEIZ,,59,1,151679,88329,860,87469,1309,86160,63350,21892,11043,11038,1805,5171,79,68,1323,121,1967,709,77,340,164,55,85,59,53,84,389,9858,95,9604,210,,60,8259,266,221,0,50,787
Álava,YÉCORA/IEKORA,,60,2,216,150,,150,3,147,66,25,45,4,2,6,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,3,0,52,0,,1,0,0,0,0,0,0
Bizkaia,ZALDIBAR,,95,3,2453,1473,16,1457,21,1436,980,309,58,278,23,25,0,0,3,2,5,5,1,5,8,2,0,1,1,1,9,89,0,408,3,0,1,192,4,1,,0,2
Gipuzkoa,ZALDIBIA,,78,3,1338,879,3,876,4,872,459,45,23,461,3,6,0,0,2,0,2,3,0,1,0,0,0,1,0,0,0,98,0,45,1,,0,179,0,2,,0,0
Álava,ZALDUONDO,,61,2,111,87,1,86,2,84,24,11,3,24,0,3,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,12,0,19,0,,0,5,0,0,0,0,1
Bizkaia,ZALLA,,96,2,5667,3523,50,3473,42,3431,2144,320,73,536,23,51,0,4,28,2,24,9,4,7,3,0,4,1,3,1,8,234,3,1421,6,0,1,626,6,7,,2,24
Álava,ZAMBRANA,,62,2,299,185,10,175,1,174,114,11,50,13,1,2,0,0,2,0,3,1,0,0,0,0,0,0,0,1,2,14,0,65,1,,0,6,0,2,0,0,0
Bizkaia,ZAMUDIO,,905,4,2676,1707,15,1692,13,1679,969,144,29,388,9,23,2,4,9,0,20,6,2,5,0,1,1,0,0,3,2,84,0,815,2,0,1,120,0,2,,1,6
Bizkaia,ZARATAMO,,97,3,1244,881,10,871,4,867,363,114,8,202,17,11,1,0,5,1,4,2,0,0,0,0,0,0,0,1,0,27,0,313,2,0,0,155,2,0,,0,2
Gipuzkoa,ZARAUTZ,,79,4,12497,8060,62,7998,89,7909,4437,891,464,1556,37,81,5,1,39,6,70,90,3,12,4,2,3,3,1,3,12,967,6,1215,4,,2,2366,15,7,,0,44
Bizkaia,ZEANURI,,24,3,1052,744,5,739,2,737,308,5,16,175,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,260,0,0,0,268,0,0,,0,0
Bizkaia,ZEBERIO,,25,3,841,574,2,572,,572,267,6,0,130,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,372,0,0,0,43,0,0,,0,0
Gipuzkoa,ZEGAMA,,25,3,1204,768,8,760,2,758,436,11,6,298,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,22,0,44,0,,0,372,0,0,,0,1
Gipuzkoa,ZERAIN,,26,3,191,118,2,116,,116,73,0,0,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,,0,56,0,0,,0,0
Gipuzkoa,ZESTOA,,27,4,2777,1954,13,1941,17,1924,823,92,13,695,7,7,0,0,6,1,5,0,0,1,0,1,0,1,1,1,1,76,0,428,3,,0,581,0,2,,0,2
Álava,ZIGOITIA,,18,2,639,327,4,323,7,316,312,35,24,88,0,6,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,27,0,52,0,,0,76,0,0,0,0,2
Gipuzkoa,ZIZURKIL,,28,3,1991,1330,10,1320,31,1289,661,208,23,396,3,17,0,1,3,1,21,4,0,0,0,1,0,0,1,0,0,109,0,204,0,,0,299,3,1,,0,4
Álava,ZUIA,,63,2,1051,637,3,635,9,626,414,31,98,98,0,9,1,0,8,3,15,1,2,0,0,0,0,0,0,0,0,33,2,251,0,,0,71,1,0,0,0,2
Gipuzkoa,ZUMAIA,,81,4,5982,4017,23,3994,54,3940,1965,630,106,894,19,70,0,1,23,4,11,29,1,2,2,1,3,0,1,0,6,361,0,1058,3,,0,696,7,5,,0,7
Gipuzkoa,ZUMARRAGA,,80,3,9021,5597,67,5530,73,5457,3424,1408,164,742,171,135,5,6,31,5,22,179,0,15,3,2,2,1,1,1,9,639,2,736,8,,4,1114,6,13,,6,27
