TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EA,EB-B,CDS,PH,PTE-UC,FAP,CSI,PDP,PSDV,A.I.T.E.,PDP-PL
Álava,VITORIA-GASTEIZ,,59,1,145106,96460,1049,95411,1167,94244,48646,11848,21191,11468,8412,22387,,8114,,619,8743,855,607,,,
Álava,YÉCORA/IEKORA,,60,2,217,172,,172,,172,45,87,11,3,1,1,,15,,,28,,,,26,
Bizkaia,ZALDIBAR,,95,3,2408,1715,18,1697,20,1677,693,506,388,310,77,279,3,29,,5,80,,,,,
Gipuzkoa,ZALDIBIA,,78,3,1419,1043,2,1041,4,1037,376,46,36,504,135,295,1,,,6,14,,,,,
Álava,ZALDUONDO,,61,2,106,87,,87,,87,19,40,7,20,11,8,,1,,,0,,,,0,
Bizkaia,ZALLA,,96,2,5344,3878,49,3829,28,3801,1466,1533,464,592,286,814,7,37,,18,47,,3,,,
Álava,ZAMBRANA,,62,2,303,265,8,257,2,255,38,100,16,13,24,15,,3,,,82,,,,2,
Bizkaia,ZAMUDIO,,905,4,2634,1864,67,1797,16,1781,770,793,160,491,150,135,2,22,,1,27,,0,,,
Bizkaia,ZARATAMO,,97,3,1215,984,6,978,1,977,231,294,128,187,20,339,1,3,,1,4,,,,,
Gipuzkoa,ZARAUTZ,,79,4,11940,8974,67,8907,67,8840,2966,1231,910,1543,1062,3475,9,,,113,497,,,,,
Bizkaia,ZEANURI,,24,3,1058,903,7,896,5,891,155,309,3,193,5,362,0,2,,0,17,,,,,
Bizkaia,ZEBERIO,,25,3,841,673,,673,7,666,168,436,4,127,22,73,0,1,,1,2,,,,,
Gipuzkoa,ZEGAMA,,25,3,1179,873,4,869,2,867,306,32,4,330,32,464,0,,,0,5,,,,,
Gipuzkoa,ZERAIN,,26,3,193,136,,136,2,134,57,36,1,40,0,57,0,,,0,0,,,,,
Gipuzkoa,ZESTOA,,27,4,2818,2200,11,2189,19,2170,618,485,79,689,135,762,1,,,3,16,,,,,
Álava,ZIGOITIA,,18,2,609,480,26,454,5,449,129,132,32,92,32,135,,5,,,17,,,,4,
Gipuzkoa,ZIZURKIL,,28,3,1978,1467,15,1452,2,1450,511,259,223,443,131,365,3,,,5,21,,,,,
Álava,ZUIA,,63,2,1032,834,18,816,4,812,198,399,12,142,35,142,,8,,,57,,,,17,
Gipuzkoa,ZUMAIA,,81,4,5861,4376,45,4331,30,4301,1485,1064,694,905,394,1110,17,,,13,104,,,,,
Gipuzkoa,ZUMARRAGA,,80,3,8895,6487,84,6403,86,6317,2408,973,1600,822,842,1548,193,,,228,111,,,,,
