TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,CDS,PST,PCE(M-L),EMK-MCE,LKI-LCR,PCE-EPK,UCE,FN,CUC,AP-PDP-PDL-UCD,SE,LC
Gipuzkoa,USURBIL,,73,1,3972,3171,29,3129,13,3129,801,933,668,1061,212,44,14,11,0,0,43,3,1,3,132,,4
Álava,VALDEGOVÍA/GAUBEA,,55,2,826,626,36,583,7,583,200,167,113,40,20,25,3,0,,,6,9,4,1,193,2,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,9664,7507,105,7382,20,7382,2157,1841,2882,1086,686,59,33,7,,,449,5,5,15,314,,
Gipuzkoa,VILLABONA,,75,3,3610,2802,49,2743,10,2743,808,952,584,663,363,47,5,12,0,0,17,1,2,0,96,,1
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,262,230,3,227,,227,32,133,17,12,1,0,0,0,,,0,0,0,0,64,0,
Álava,VITORIA-GASTEIZ,,59,1,132974,109968,2638,106667,655,106639,23006,19984,41713,9807,8101,4481,619,93,,,1196,105,239,91,20118,92,
Álava,YÉCORA/IEKORA,,60,2,178,159,4,154,1,154,19,19,22,0,2,13,0,1,,,0,0,0,0,97,0,
Bizkaia,ZALDIBAR,,95,3,1993,1736,42,1672,22,1672,257,629,537,232,87,15,4,2,,,10,4,1,0,151,,
Gipuzkoa,ZALDIBIA,,78,3,1346,931,28,894,9,894,415,195,94,402,114,9,1,1,0,0,15,0,1,0,59,,3
Álava,ZALDUONDO,,61,2,111,98,8,87,3,87,13,21,18,18,12,1,4,0,,,2,0,1,1,9,0,
Bizkaia,ZALLA,,96,2,5084,4199,91,4099,9,4099,885,2046,857,605,197,27,9,1,,,69,1,6,2,279,,
Álava,ZAMBRANA,,62,2,281,225,14,208,3,208,56,47,49,21,14,5,2,1,,,1,0,0,0,66,2,
Bizkaia,ZARATAMO,,97,3,1246,1068,9,1053,6,1053,178,426,311,207,38,6,6,1,,,20,4,0,0,34,,
Gipuzkoa,ZARAUTZ,,79,4,10772,8780,145,8595,40,8595,1992,3724,1331,1400,1206,53,25,3,0,0,115,4,7,5,716,,6
Bizkaia,ZEANURI,,24,3,1119,882,4,877,1,877,237,577,12,190,36,2,0,0,,,0,0,0,0,60,,
Bizkaia,ZEBERIO,,25,3,841,277,6,271,,271,564,159,12,60,33,0,1,0,,,1,2,0,0,3,,
Gipuzkoa,ZEGAMA,,25,3,1213,865,7,854,4,854,348,390,55,305,65,4,0,0,0,0,1,0,1,0,33,,0
Gipuzkoa,ZERAIN,,26,3,209,143,3,138,2,138,66,73,1,53,8,0,0,0,0,0,0,0,0,0,3,,0
Gipuzkoa,ZESTOA,,27,4,2901,2240,38,2196,6,2196,661,1135,239,574,135,10,3,1,0,6,23,0,0,1,69,,0
Álava,ZIGOITIA,,18,2,560,423,16,404,3,404,137,183,80,53,28,5,2,2,,,0,0,1,0,50,0,
Gipuzkoa,ZIZURKIL,,28,3,1934,1510,20,1475,15,1475,424,498,413,382,96,18,6,0,0,0,7,0,0,1,52,,2
Álava,ZUIA,,63,2,1022,835,17,817,1,817,187,414,93,73,32,24,0,0,,,0,2,0,0,179,0,
Gipuzkoa,ZUMAIA,,81,4,5488,4363,85,4254,24,4254,1125,1767,971,814,328,75,11,8,0,0,70,1,9,5,192,,3
Gipuzkoa,ZUMARRAGA,,80,3,8451,6785,76,6688,21,6688,1666,1926,2254,828,638,151,28,5,0,0,484,2,5,7,357,,3
