TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EB-B,EKA,PH,PSE-EE/PSOE,BERDEAK-LV,PLAZANDREOK,ARALAR,PUM+J,UPYD,BILDU,H1!,PLIN,PSYV
Bizkaia,URDULIZ,,89,4,2867,1991,22,1969,30,1939,876,867,124,60,3,,170,29,,59,5,,619,,,3
Bizkaia,URDUÑA/ORDUÑA,,74,3,3393,2523,55,2468,49,2419,870,818,206,26,4,3,174,25,,128,4,,1023,,,8
Álava,URKABUSTAIZ,,54,2,961,722,22,700,16,684,239,275,53,12,,,28,14,,17,,,285,,,
Gipuzkoa,URNIETA,,72,1,4638,2886,56,2830,80,2750,1752,807,170,74,,,660,28,6,102,7,14,851,28,3,
Gipuzkoa,URRETXU,,77,3,5381,3591,35,3556,71,3485,1790,908,199,102,,,581,21,,183,22,,1123,346,,
Gipuzkoa,USURBIL,,73,1,4699,3181,35,3146,56,3090,1518,403,97,28,,,241,22,3,377,2,4,1574,336,3,
Álava,VALDEGOVÍA/GAUBEA,,55,2,918,693,16,677,19,658,225,265,222,6,,,47,5,,13,,,100,,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10184,6585,95,6490,141,6349,3599,2281,469,255,,,1978,63,,83,19,33,1136,,,32
Gipuzkoa,VILLABONA,,75,3,4462,2771,24,2747,76,2671,1691,590,144,46,,,251,21,,162,9,,1422,26,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,266,238,2,236,2,234,28,111,38,0,,,7,2,,0,,,76,,,
Álava,VITORIA-GASTEIZ,,59,1,182865,112598,2618,109980,3132,106848,70267,22113,31953,5414,,,20246,,,2974,1939,2747,19462,,,
Álava,YÉCORA/IEKORA,,60,2,223,181,3,178,5,173,42,48,101,1,,,11,3,,1,,,8,,,
Bizkaia,ZALDIBAR,,95,3,2371,1536,30,1506,36,1470,835,378,149,21,1,0,240,8,,46,5,,620,,,2
Gipuzkoa,ZALDIBIA,,78,3,1153,894,11,883,1,882,259,173,6,3,,,18,2,,112,0,,567,1,,
Álava,ZALDUONDO,,61,2,158,135,6,129,1,128,23,47,6,5,,,6,5,,5,,,54,,,
Bizkaia,ZALLA,,96,2,6576,5346,127,5219,104,5115,1230,2558,254,90,,,678,25,,753,10,8,637,,,102
Álava,ZAMBRANA,,62,2,326,259,12,247,2,245,67,67,93,4,,,26,3,,7,,,45,,,
Bizkaia,ZAMUDIO,,905,4,2615,1861,40,1821,37,1784,754,924,99,41,0,,142,10,,38,8,,520,,,2
Bizkaia,ZARATAMO,,97,3,1359,974,26,948,25,923,385,376,48,15,0,5,116,11,,20,1,,328,,,3
Gipuzkoa,ZARAUTZ,,79,4,17237,11428,171,11257,218,11039,5809,3012,942,202,,,1401,51,,822,20,,4162,427,,
Bizkaia,ZEANURI,,24,3,1027,861,6,855,4,851,166,425,13,3,0,0,6,0,,30,1,,373,,,0
Bizkaia,ZEBERIO,,25,3,879,695,3,692,7,685,184,342,7,0,0,2,12,4,,18,0,,300,,,0
Gipuzkoa,ZEGAMA,,25,3,1175,921,7,914,12,902,254,168,2,5,,,9,0,,83,1,,360,274,,
Gipuzkoa,ZERAIN,,26,3,216,177,2,175,,175,39,72,0,0,,,0,0,,7,0,,88,8,,
Gipuzkoa,ZESTOA,,27,4,2823,1947,16,1931,14,1917,876,603,15,7,,,49,4,,129,4,,1021,85,,
Bizkaia,ZIERBENA,,913,2,1211,994,16,978,18,960,217,544,33,25,,,85,11,,22,1,1,237,,,1
Álava,ZIGOITIA,,18,2,1393,953,29,924,38,886,440,237,122,10,,,94,26,,47,,,350,,,
Bizkaia,ZIORTZA - BOLIBAR,,915,4,355,298,,298,3,295,57,151,2,0,0,,2,0,,12,0,,128,,,0
Gipuzkoa,ZIZURKIL,,28,3,2167,1349,14,1335,22,1313,818,325,65,12,,,128,9,,44,4,,712,14,,
Álava,ZUIA,,63,2,1779,1261,48,1213,29,1184,518,395,195,18,,,109,37,,72,,,358,,,
Gipuzkoa,ZUMAIA,,81,4,7301,4785,52,4733,56,4677,2516,1460,188,39,,,578,24,,333,8,,1941,106,,
Gipuzkoa,ZUMARRAGA,,80,3,8085,5327,66,5261,100,5161,2758,1080,396,146,,,1809,38,,242,19,,1298,133,,
