TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PH,PCTE / ELAK,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,EB-AZ,O.E.,EH BILDU,VOX,P-LIB,LxE-EaL,PODEMOS-AHAL DUGU/EZKER ANITZA-IU,PP+Cs,L.F.F.,UCDE,EQUO BERDEAK-VERDES,RECORTES CERO-LV-M
Gipuzkoa,ORDIZIA,,76,3,6996,3912,21,3891,35,3856,3084,1268,,,327,4,2,9,,1747,24,1,0,325,113,,0,36,0
Gipuzkoa,ORENDAIN,,905,3,163,121,,121,3,118,42,33,,,0,0,0,0,,84,0,0,0,1,0,,0,0,0
Gipuzkoa,OREXA,,60,3,89,74,,74,,74,15,4,,,0,0,0,0,,70,0,0,0,0,0,,0,0,0
Gipuzkoa,ORIO,,61,4,4460,2583,11,2572,18,2554,1877,1097,,,129,4,1,5,,1134,22,1,0,115,32,,0,12,2
Gipuzkoa,ORMAIZTEGI,,62,3,931,581,1,580,5,575,350,264,,,13,6,0,0,,262,2,0,3,18,4,,0,3,0
Bizkaia,OROZKO,,75,3,2074,1251,15,1236,7,1229,823,657,0,0,32,3,1,7,,410,7,,2,71,32,0,,6,1
Bizkaia,ORTUELLA,,83,2,6925,3580,50,3530,34,3496,3345,1278,0,5,632,17,3,3,,825,37,,4,568,94,1,,23,6
Bizkaia,OTXANDIO,,72,3,971,687,8,679,4,675,284,263,0,0,22,3,0,3,,352,0,,0,18,11,0,,2,1
Álava,OYÓN-OION,,43,2,2357,1111,16,1095,16,1079,1246,305,,,193,5,1,8,1,247,57,,1,98,156,0,,5,2
Gipuzkoa,OÑATI,,59,4,8846,5682,20,5662,28,5634,3164,2115,,,217,7,1,13,,2962,10,0,2,186,78,,0,39,4
Gipuzkoa,PASAIA,,64,2,12324,5932,56,5876,65,5811,6392,1811,,,859,43,2,15,,2127,80,7,5,592,217,,2,42,9
Álava,PEÑACERRADA-URIZAHARRA,,44,2,224,132,3,129,1,128,92,56,,,14,1,0,0,0,42,1,,0,2,8,0,,3,1
Bizkaia,PLENTZIA,,77,4,3389,2143,18,2125,27,2098,1246,1030,0,4,141,12,3,3,,622,31,,1,124,87,3,,37,0
Bizkaia,PORTUGALETE,,78,2,37679,18258,156,18102,174,17928,19421,6380,9,32,4314,111,18,28,,3156,317,,16,2115,1232,4,,174,22
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,1011,477,8,469,4,465,534,168,,,59,1,1,1,1,57,35,,0,46,87,1,,8,0
Álava,SAMANIEGO,,52,2,262,170,3,167,2,165,92,64,,,31,2,0,0,0,60,0,,0,5,3,0,,0,0
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,595,328,5,323,1,322,267,127,,,12,2,0,0,0,136,6,,2,27,8,0,,2,0
Bizkaia,SANTURTZI,,82,2,37444,18098,145,17953,176,17777,19346,6806,17,24,3304,105,22,33,,4034,314,,6,2012,942,10,,123,25
Gipuzkoa,SEGURA,,70,3,1088,720,,720,4,716,368,284,,,10,2,0,0,,389,1,0,0,21,1,,0,8,0
Bizkaia,SESTAO,,84,2,21651,10314,106,10208,91,10117,11337,3749,6,12,2110,72,13,27,,2080,169,,9,1274,506,3,,63,24
Bizkaia,SONDIKA,,904,4,3561,2177,27,2150,34,2116,1384,1131,2,4,186,18,0,3,,489,17,,1,144,107,0,,13,1
Bizkaia,SOPELA,,85,4,10825,6020,51,5969,80,5889,4805,2605,2,6,471,42,6,17,,1841,65,,5,533,171,7,,107,11
Bizkaia,SOPUERTA,,86,2,2035,1109,24,1085,16,1069,926,517,0,2,69,8,3,1,,311,13,,0,101,26,0,,17,1
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,2904,1631,9,1622,17,1605,1273,559,,,213,1,0,4,,657,14,1,0,82,59,,0,15,0
Bizkaia,SUKARRIETA,,76,4,285,183,2,181,3,178,102,112,0,0,8,0,0,0,,49,1,,0,6,1,0,,1,0
Gipuzkoa,TOLOSA,,71,3,15068,8631,45,8586,83,8503,6437,3473,,,576,29,4,18,,3604,50,1,2,449,197,,1,97,2
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,437,316,4,312,2,310,121,212,0,0,23,1,0,0,,45,6,,0,11,9,0,,2,1
Bizkaia,UBIDE,,88,3,134,92,1,91,1,90,42,22,0,0,3,2,0,0,,57,0,,0,5,0,0,,0,1
Bizkaia,UGAO-MIRABALLES,,65,3,3276,1910,17,1893,14,1879,1366,869,0,1,149,10,2,10,,638,19,,1,114,46,1,,19,0
Bizkaia,URDULIZ,,89,4,3715,2132,16,2116,20,2096,1583,970,3,1,142,15,0,41,,620,22,,11,162,65,1,,36,7
Bizkaia,URDUÑA/ORDUÑA,,74,3,3253,1995,10,1985,14,1971,1258,896,2,5,142,5,0,4,,698,32,,2,103,72,0,,9,1
Álava,URKABUSTAIZ,,54,2,1008,555,5,550,4,546,453,183,,,25,2,0,2,2,279,9,,1,20,14,0,,8,1
Gipuzkoa,URNIETA,,72,1,4792,2269,13,2256,40,2216,2523,859,,,283,16,4,8,,750,20,1,1,164,84,,1,21,4
Gipuzkoa,URRETXU,,77,3,5290,3151,32,3119,33,3086,2139,1308,,,410,10,0,12,,1033,17,1,1,199,69,,1,20,5
Gipuzkoa,USURBIL,,73,1,4722,2738,12,2726,15,2711,1984,659,,,184,8,0,11,,1592,15,1,0,161,54,,0,25,1
Álava,VALDEGOVÍA/GAUBEA,,55,2,835,469,5,464,12,452,366,198,,,45,1,0,3,1,105,18,,0,20,55,0,,6,0
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,9949,5044,73,4971,55,4916,4905,1943,1,3,1050,31,4,10,,1070,69,,0,524,164,5,,39,3
Gipuzkoa,VILLABONA,,75,3,4318,2353,11,2342,15,2327,1965,844,,,183,9,2,4,,1101,19,0,0,93,55,,0,16,1
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,232,193,4,189,2,187,39,92,,,4,0,0,0,0,67,4,,0,4,15,0,,1,0
Álava,VITORIA-GASTEIZ,,59,1,189751,91662,922,90740,813,89927,98089,26436,,,16017,575,239,385,32,20007,3822,,140,7894,11850,37,,2276,217
Álava,YÉCORA/IEKORA,,60,2,211,142,3,139,2,137,69,75,,,6,1,0,0,0,17,9,,0,2,25,0,,1,1
Bizkaia,ZALDIBAR,,95,3,2303,1258,17,1241,9,1232,1045,436,0,0,175,5,1,3,,465,4,,0,97,39,0,,6,1
Gipuzkoa,ZALDIBIA,,78,3,1147,754,1,753,10,743,393,159,,,19,2,0,1,,537,0,0,0,20,4,,0,1,0
Álava,ZALDUONDO,,61,2,162,120,1,119,,119,42,34,,,4,1,2,0,0,66,1,,0,8,0,0,,3,0
Bizkaia,ZALLA,,96,2,6497,4007,83,3924,54,3870,2490,1967,2,2,368,34,5,14,,950,57,,2,311,105,0,,45,8
Álava,ZAMBRANA,,62,2,325,157,2,155,2,153,168,54,,,19,1,0,1,0,28,15,,1,14,15,0,,5,0
Bizkaia,ZAMUDIO,,905,4,2487,1540,19,1521,10,1511,947,804,0,1,110,8,2,1,,476,8,,1,60,29,1,,9,1
Bizkaia,ZARATAMO,,97,3,1314,681,6,675,3,672,633,309,0,4,53,5,0,0,,209,12,,0,48,24,1,,6,1
Gipuzkoa,ZARAUTZ,,79,4,18174,11040,46,10994,102,10892,7134,4873,,,935,32,4,25,,3790,110,2,4,595,350,,0,166,6
Bizkaia,ZEANURI,,24,3,993,711,3,708,6,702,282,358,0,0,11,2,0,1,,295,4,,0,18,8,0,,5,0
Bizkaia,ZEBERIO,,25,3,875,604,3,601,7,594,271,298,0,0,8,0,0,0,,262,2,,0,13,6,0,,4,1
Gipuzkoa,ZEGAMA,,25,3,1097,712,3,709,5,704,385,301,,,13,1,0,2,,363,0,0,0,20,1,,0,3,0
Gipuzkoa,ZERAIN,,26,3,209,168,8,160,1,159,41,71,,,1,0,0,0,,85,0,0,0,0,0,,0,2,0
Gipuzkoa,ZESTOA,,27,4,2759,1598,7,1591,14,1577,1161,614,,,41,2,1,2,,844,2,0,0,60,4,,0,7,0
Bizkaia,ZIERBENA,,913,2,1239,784,10,774,14,760,455,407,1,1,40,2,0,1,,222,9,,0,61,12,0,,4,0
Álava,ZIGOITIA,,18,2,1416,767,4,763,5,758,649,252,,,60,5,0,0,0,303,23,,0,57,40,0,,18,0
Bizkaia,ZIORTZA - BOLIBAR,,915,4,335,222,2,220,1,219,113,95,0,0,1,0,0,0,,117,0,,0,4,2,0,,0,0
Gipuzkoa,ZIZURKIL,,28,3,2238,1208,3,1205,12,1193,1030,383,,,121,3,0,5,,596,6,0,0,45,27,,0,6,1
Álava,ZUIA,,63,2,1863,1120,6,1114,19,1095,743,406,,,98,5,1,8,0,391,38,,0,54,63,0,,30,1
Gipuzkoa,ZUMAIA,,81,4,7700,4593,21,4572,33,4539,3107,1690,,,424,5,6,11,,2049,25,2,1,214,62,,8,37,5
Gipuzkoa,ZUMARRAGA,,80,3,7675,4139,37,4102,36,4066,3536,1369,,,950,12,2,10,,1104,46,2,5,353,174,,0,33,6
