TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PP,EB-B,EKA,PH,PSE-EE/PSOE,EH,EAJ-PNV / EA,PKD,TD,ASKATASUNA
Bizkaia,ZEANURI,,24,3,1005,901,2,899,3,896,104,47,16,0,0,10,107,715,0,1,0
Bizkaia,ZEBERIO,,25,3,844,720,,720,,720,124,18,10,0,0,15,181,496,0,0,0
Gipuzkoa,ZEGAMA,,25,3,1104,971,2,969,3,966,133,31,14,0,0,9,254,655,,,3
Gipuzkoa,ZERAIN,,26,3,209,181,,181,,181,28,1,3,0,0,0,58,119,,,0
Gipuzkoa,ZESTOA,,27,4,2636,2231,9,2222,14,2208,405,68,48,0,2,80,611,1399,,,0
Bizkaia,ZIERBENA,,913,2,1038,870,2,868,9,859,168,80,33,0,1,90,96,558,1,0,0
Álava,ZIGOITIA,,18,2,1092,907,1,906,12,894,185,164,47,,2,104,132,445,,,0
Gipuzkoa,ZIZURKIL,,28,3,2369,1836,4,1832,19,1813,533,224,81,0,7,231,479,790,,,1
Álava,ZUIA,,63,2,1452,1228,2,1226,10,1216,224,291,52,,6,102,109,655,,,1
Gipuzkoa,ZUMAIA,,81,4,6864,5527,14,5513,27,5486,1337,559,224,1,8,808,820,3063,,,3
Gipuzkoa,ZUMARRAGA,,80,3,8678,7027,37,6990,49,6941,1651,1345,431,5,24,1614,720,2798,,,4
