TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,EE,FE-JONS,PCE-EPK,UCD,AP,P. PROVERISTA,ESB,PASD,PSP,FDI,DCV-EKA,IND.12,IND.14,IND.17,FUT,EAE / ANV,D.I.V.,TRAB.GUIPUZCOA,G.U.,A.E.T.
Álava,PIPAÓN,,45,2,43,38,1,37,,37,5,2,1,,1,1,23,0,0,3,0,0,0,5,0,1,0,,,,,,
Bizkaia,PLENTZIA,,77,4,1990,1510,5,1502,3,1502,480,920,101,75,,13,181,91,,47,3,24,4,14,,,,4,24,,,,1
Bizkaia,PORTUGALETE,,78,2,35803,26200,562,25571,67,25571,9603,4588,10602,1581,,2293,3831,1257,,248,155,375,108,160,,,,122,138,,,,113
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,384,305,,305,,305,79,19,46,,1,7,171,9,1,5,11,17,2,6,2,6,2,,,,,,
Álava,SALCEDO,,48,2,328,259,16,243,,243,69,30,20,,0,1,145,9,0,3,5,2,1,24,0,1,2,,,,,,
Álava,SAMANIEGO,,52,2,165,142,1,129,,129,23,20,77,,2,6,17,0,0,2,1,0,0,2,2,0,0,,,,,,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,640,500,42,456,2,456,140,128,63,,1,3,171,19,2,8,12,5,3,24,2,10,5,,,,,,
Bizkaia,SANTURTZI,,82,2,32219,24001,890,23067,44,23067,8218,4528,9154,1228,,2059,3228,933,,297,236,331,117,175,,,,122,176,,,,483
Gipuzkoa,SEGURA,,70,3,929,703,15,685,3,685,226,326,15,178,,7,,,,45,,4,0,29,,,,4,2,19,0,56,
Bizkaia,SESTAO,,84,2,27137,21318,641,20565,112,20565,5819,3531,8500,1604,,2005,2386,1078,,271,141,253,237,121,,,,146,149,,,,143
Bizkaia,SOPELA,,85,4,3036,2241,34,2205,2,2205,795,1073,330,171,,88,197,68,,74,32,25,5,17,,,,41,77,,,,7
Bizkaia,SOPUERTA,,86,2,1505,1158,13,1143,2,1143,347,638,181,38,,60,97,65,,33,0,8,2,10,,,,5,4,,,,2
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3937,2919,47,2849,23,2849,1018,1085,759,158,,56,,,,86,,34,17,146,,,,37,27,101,16,327,
Bizkaia,SUKARRIETA,,76,4,187,138,,138,,138,49,104,5,6,,1,9,7,,4,0,2,0,0,,,,0,0,,,,0
Gipuzkoa,TOLOSA,,71,3,12437,9195,72,9091,32,9091,3242,3132,1560,1024,,211,,,,796,,70,26,523,,,,59,25,516,170,979,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,412,342,27,315,,315,70,46,57,8,,11,88,65,,13,8,1,3,5,,,,4,2,,,,4
Bizkaia,UBIDE,,88,3,132,99,,99,,99,33,55,4,7,,1,3,24,,4,0,0,0,0,,,,1,0,,,,0
Bizkaia,UGAO-MIRABALLES,,65,3,2697,1882,34,1844,4,1844,815,663,594,73,,89,171,77,,49,23,37,4,24,,,,17,10,,,,13
Bizkaia,URDULIZ,,89,4,1577,1163,4,1153,6,1153,414,706,127,60,,40,90,43,,33,11,19,4,1,,,,9,8,,,,2
Bizkaia,URDUÑA/ORDUÑA,,74,3,3116,2519,83,2420,16,2420,597,873,324,91,,44,439,415,,71,30,46,11,39,,,,13,16,,,,8
Álava,URKABUSTAIZ,,54,2,614,455,26,427,2,427,159,139,33,,1,4,135,34,0,41,5,3,3,23,0,4,2,,,,,,
Gipuzkoa,URNIETA,,72,1,7419,5726,110,5573,43,5573,1693,1002,2713,410,,201,,,,251,,74,28,233,,,,113,22,256,76,194,
Gipuzkoa,URRETXU,,77,3,4194,3461,36,3413,12,3413,733,1138,1231,231,,287,,,,94,,15,11,128,,,,46,8,54,33,137,
Gipuzkoa,USURBIL,,73,1,3580,2620,33,2580,7,2580,960,760,672,264,,76,,,,482,,16,16,79,,,,10,3,73,8,121,
Álava,VALDEGOVÍA/GAUBEA,,55,2,820,673,14,654,5,654,147,88,61,,3,4,367,41,0,14,25,5,5,37,1,1,2,,,,,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,8568,6876,95,6775,6,6775,1692,1737,2454,655,,742,568,238,,79,46,56,14,29,,,,28,97,,,,32
Gipuzkoa,VILLABONA,,75,3,2666,2247,48,2192,7,2192,419,787,379,354,,31,,,,249,,4,10,72,,,,21,4,64,82,135,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,255,231,2,229,,230,24,97,24,,0,1,55,15,2,5,7,1,2,11,0,8,2,,,,,,
Álava,VITORIA-GASTEIZ,,59,1,106554,89928,1776,88628,153,88244,16626,12686,27559,,126,3151,26234,5542,131,1898,2263,1310,622,2369,2026,1990,337,,,,,,
Álava,YÉCORA/IEKORA,,60,2,204,189,1,188,,188,15,7,20,,1,1,139,4,0,1,6,2,1,5,0,1,0,,,,,,
Bizkaia,ZALDIBAR,,95,3,1906,1208,21,1187,,1187,698,529,209,34,,23,223,40,,45,30,22,0,7,,,,22,2,,,,1
Gipuzkoa,ZALDIBIA,,78,3,1252,539,19,516,4,516,713,117,55,92,,18,,,,60,,6,0,61,,,,27,3,3,3,71,
Álava,ZALDUONDO,,61,2,108,100,12,88,,88,8,10,17,,0,12,25,3,1,9,1,1,1,6,0,1,1,,,,,,
Bizkaia,ZALLA,,96,2,4178,3276,39,3236,1,3236,902,1793,532,54,,96,287,145,,188,17,31,4,30,,,,11,37,,,,11
Álava,ZAMBRANA,,62,2,266,235,2,233,,233,31,12,56,,0,2,107,29,1,3,10,2,0,6,1,3,1,,,,,,
Bizkaia,ZARATAMO,,97,3,1102,892,22,870,,870,210,435,165,58,,25,85,13,,26,7,20,5,13,,,,9,9,,,,0
Gipuzkoa,ZARAUTZ,,79,4,8787,7107,99,6978,30,6978,1680,3134,1278,795,,156,,,,303,,41,5,236,,,,111,19,139,21,740,
Bizkaia,ZEANURI,,24,3,1053,723,12,708,3,708,330,525,9,6,,3,24,96,,38,0,1,1,3,,,,2,0,,,,0
Bizkaia,ZEBERIO,,25,3,923,573,20,549,4,549,350,373,19,30,,12,39,32,,22,2,2,6,4,,,,0,7,,,,1
Gipuzkoa,ZEGAMA,,25,3,1114,750,12,738,,738,364,369,17,155,,25,,,,66,,3,1,31,,,,1,3,32,5,30,
Gipuzkoa,ZERAIN,,26,3,205,136,1,134,1,134,69,61,0,20,,0,,,,37,,0,0,4,,,,1,1,8,1,1,
Gipuzkoa,ZESTOA,,27,4,2516,1939,15,1921,3,1921,577,1087,182,189,,93,,,,103,,11,2,58,,,,26,5,88,0,77,
Álava,ZIGOITIA,,18,2,481,379,22,354,3,354,102,167,26,,2,6,83,7,1,10,10,2,0,23,3,13,1,,,,,,
Gipuzkoa,ZIZURKIL,,28,3,1562,1189,17,1167,5,1167,373,505,279,73,,19,,,,82,,5,10,36,,,,15,2,41,27,73,
Álava,ZUIA,,63,2,953,774,75,697,2,697,179,373,28,,2,8,185,23,0,25,21,2,0,21,6,2,1,,,,,,
Gipuzkoa,ZUMAIA,,81,4,4508,3420,46,3364,10,3364,1088,1591,918,177,,45,,,,83,,9,6,144,,,,42,0,89,5,255,
Gipuzkoa,ZUMARRAGA,,80,3,7442,6174,80,6073,21,6073,1268,1670,2437,327,,646,,,,150,,54,11,187,,,,40,11,170,39,331,
