TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,HB,U.AL.,EB-B,CDS,PST,PH,ARM-ADE,PSE-EE/PSOE,EA-EUE,POR-LIA,BERDEAK-LV,LE,PLN-LNA,CNPS,P.ITRCG.
Bizkaia,OROZKO,,75,3,1665,1107,16,1091,7,1084,558,565,153,201,,5,2,2,0,4,59,84,0,4,4,1,0,0
Bizkaia,ORTUELLA,,83,2,7039,5176,26,5150,46,5104,1863,1084,374,546,,730,26,20,0,6,1948,293,3,46,19,2,3,4
Bizkaia,OTXANDIO,,72,3,916,690,6,684,6,678,226,315,44,210,,13,1,1,0,3,42,48,0,1,0,0,0,0
Álava,OYÓN-OION,,43,2,1844,1339,5,1334,6,1328,505,235,428,110,41,82,10,,,1,365,35,1,13,6,1,0,
Gipuzkoa,OÑATI,,59,4,8587,5720,37,5683,95,5588,2867,1971,373,1381,,86,10,,,3,596,1124,2,34,7,1,0,
Gipuzkoa,PASAIA,,64,2,15336,9399,85,9314,195,9119,5937,1067,749,2382,,580,46,,,45,2581,1455,6,127,68,9,4,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,203,163,,163,2,161,40,48,44,9,21,2,0,,,2,33,1,0,0,1,0,0,
Bizkaia,PLENTZIA,,77,4,2176,1626,11,1615,14,1601,550,795,167,262,,41,15,3,5,2,86,201,1,14,7,1,1,0
Bizkaia,PORTUGALETE,,78,2,45388,33052,222,32830,411,32419,12336,6493,4866,2731,,3840,337,174,20,61,11993,1304,17,358,162,26,17,20
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,340,261,,261,3,258,79,76,73,8,26,11,7,,,0,53,2,0,0,1,0,1,
Álava,SAMANIEGO,,52,2,220,163,6,157,1,156,57,42,22,17,4,7,0,,,0,59,3,0,2,0,0,0,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,585,297,6,291,,291,288,107,57,36,34,16,4,,,1,18,10,0,3,3,2,0,
Bizkaia,SANTURTZI,,82,2,40553,28781,288,28493,299,28194,11772,5960,3554,3485,,3090,222,206,18,74,9979,1109,26,271,131,27,9,33
Gipuzkoa,SEGURA,,70,3,1021,822,10,812,17,795,199,192,5,254,,3,0,,,2,8,324,0,2,4,1,0,
Bizkaia,SESTAO,,84,2,29444,20481,238,20243,218,20025,8963,3394,2630,1888,,2825,171,120,14,39,7921,689,19,185,93,13,4,20
Bizkaia,SONDIKA,,904,4,2912,2286,18,2268,31,2237,626,1166,185,287,,55,9,1,1,3,325,183,0,12,9,0,0,1
Bizkaia,SOPELA,,85,4,6416,4477,41,4436,68,4368,1939,1646,342,953,,268,19,9,0,5,679,355,4,60,25,1,2,0
Bizkaia,SOPUERTA,,86,2,1769,1275,11,1264,10,1254,494,380,127,119,,75,2,4,0,1,289,246,0,6,2,0,1,2
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3931,2840,26,2814,55,2759,1091,801,260,633,,61,5,,,2,645,319,0,14,15,3,1,
Bizkaia,SUKARRIETA,,76,4,247,190,2,188,2,186,57,99,10,27,,3,0,0,0,0,6,38,0,2,0,0,1,0
Gipuzkoa,TOLOSA,,71,3,14946,9340,59,9281,277,9004,5606,1695,1119,2118,,292,24,,,18,1419,2178,3,98,31,7,2,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,437,351,9,342,2,340,86,176,56,24,,5,5,0,0,1,50,21,0,2,0,0,0,0
Bizkaia,UBIDE,,88,3,139,132,2,130,1,129,7,47,16,56,,5,0,0,0,0,1,3,0,1,0,0,0,0
Bizkaia,UGAO-MIRABALLES,,65,3,3307,2393,23,2370,14,2356,914,845,213,525,,66,13,1,1,6,511,143,0,18,10,1,0,3
Bizkaia,URDULIZ,,89,4,2089,1566,9,1557,14,1543,523,728,107,324,,59,3,3,1,2,191,111,0,5,7,1,0,1
Bizkaia,URDUÑA/ORDUÑA,,74,3,3319,2465,44,2421,18,2403,854,940,348,460,,93,18,4,2,11,321,176,1,18,7,2,1,1
Álava,URKABUSTAIZ,,54,2,693,499,12,487,7,480,194,126,83,112,23,32,3,,,1,60,32,0,3,5,0,0,
Gipuzkoa,URNIETA,,72,1,3408,2246,20,2226,43,2183,1162,649,107,447,,83,11,,,7,618,219,5,25,9,1,2,
Gipuzkoa,URRETXU,,77,3,4903,3633,25,3608,64,3544,1270,510,194,600,,191,9,,,5,973,995,2,42,20,2,1,
Gipuzkoa,USURBIL,,73,1,4302,2972,9,2963,53,2910,1330,441,139,1113,,102,7,,,1,592,466,3,29,12,4,1,
Álava,VALDEGOVÍA/GAUBEA,,55,2,746,533,8,525,5,520,213,149,91,47,121,13,4,,,0,83,7,0,2,1,2,0,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10629,7771,46,7725,70,7655,2858,1993,601,964,,848,33,31,2,16,2801,269,2,55,35,1,3,1
Gipuzkoa,VILLABONA,,75,3,4207,2850,13,2837,76,2761,1357,352,149,884,,50,9,,,5,435,846,0,23,6,0,2,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,291,256,,256,1,255,35,117,37,38,26,5,1,,,0,13,17,0,0,1,0,0,
Álava,VITORIA-GASTEIZ,,59,1,165683,118044,757,117287,1831,115456,47639,15856,23657,9448,14200,9058,1549,,,299,32997,5687,89,1458,879,170,109,
Álava,YÉCORA/IEKORA,,60,2,209,175,,175,5,170,34,73,37,2,25,1,0,,,2,28,0,1,0,1,0,0,
Bizkaia,ZALDIBAR,,95,3,2480,1641,18,1623,15,1608,839,455,217,269,,91,17,6,0,5,403,122,1,11,10,1,0,0
Gipuzkoa,ZALDIBIA,,78,3,1322,939,9,930,8,922,383,96,28,497,,16,3,,,0,87,186,1,3,4,1,0,
Álava,ZALDUONDO,,61,2,105,74,1,73,2,71,31,23,5,10,5,6,0,,,0,13,8,0,0,1,0,0,
Bizkaia,ZALLA,,96,2,5774,4548,49,4499,67,4432,1226,2227,307,427,,139,14,10,0,6,877,366,3,36,14,2,1,3
Álava,ZAMBRANA,,62,2,284,226,,226,3,223,58,105,29,7,33,15,0,,,1,29,2,0,1,1,0,0,
Bizkaia,ZAMUDIO,,905,4,2590,1953,11,1942,19,1923,637,951,111,393,,38,5,5,0,1,300,84,0,24,11,0,0,0
Bizkaia,ZARATAMO,,97,3,1323,1038,5,1033,8,1025,285,321,55,218,,29,0,2,0,1,231,158,2,5,2,1,0,0
Gipuzkoa,ZARAUTZ,,79,4,13802,9675,51,9624,264,9360,4127,1683,1039,1626,,248,20,,,9,1544,3033,2,88,59,8,1,
Bizkaia,ZEANURI,,24,3,1012,770,2,768,4,764,242,356,58,131,,4,0,0,0,0,7,204,0,3,1,0,0,0
Bizkaia,ZEBERIO,,25,3,843,618,3,615,5,610,225,396,18,155,,2,0,0,0,0,16,22,0,1,0,0,0,0
Gipuzkoa,ZEGAMA,,25,3,1120,802,10,792,3,789,318,96,25,324,,2,0,,,1,18,322,0,1,0,0,0,
Gipuzkoa,ZERAIN,,26,3,188,132,,132,,132,56,50,3,40,,0,0,,,0,3,35,0,1,0,0,0,
Gipuzkoa,ZESTOA,,27,4,2773,1996,8,1988,32,1956,777,519,34,653,,19,1,,,0,147,568,0,11,4,0,0,
Bizkaia,ZIERBENA,,913,2,814,665,2,663,4,659,149,380,32,103,,24,0,2,1,0,85,26,2,1,3,0,0,0
Álava,ZIGOITIA,,18,2,656,448,4,444,12,432,208,103,40,102,54,28,0,,,3,34,53,0,10,3,2,0,
Gipuzkoa,ZIZURKIL,,28,3,2078,1451,15,1436,36,1400,627,231,83,418,,37,1,,,3,352,254,0,14,6,1,0,
Álava,ZUIA,,63,2,1077,803,6,797,12,785,274,282,177,125,67,14,3,,,1,49,51,1,9,4,2,0,
Gipuzkoa,ZUMAIA,,81,4,6380,4380,40,4340,85,4255,2000,1189,264,915,,110,16,,,3,961,746,2,27,19,2,1,
Gipuzkoa,ZUMARRAGA,,80,3,9004,6397,56,6341,101,6240,2607,907,433,716,,485,29,,,10,2219,1352,4,52,27,6,0,
