TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,EKA,PH,EAE / ANV,PSE-EE/PSOE,BERDEAK-LV,PLAZANDREOK,PKD,ARALAR,ATTKA/PACMA,UCL,PUM+J,INNDE,EB / ARALAR,CDL,URE-EEB,EB / ARALAR / ZUTIK,EB / ZUTIK,IND. ALEGRIA-DUL. 07,IND. AÑANA 07,IND. ARMIÑON 07,IND. ARRAIA-MAEZ. 07,IND. 1 ASPARRENA 07,IND. 2 ASPARRENA 07,IND. ELCIEGO 07,IND. 1 IRUÑA OKA 07,IND. 2 IRUÑA OKA 07,IND. 3 IRUÑA OKA 07,IND. LABASTIDA 07,IND. 2 LAGRAN 07,IND. LANTARON 07,IND. 1 LEZA 07,IND. 2 LEZA 07,IND. RIBERA ALTA 07,IND. ZAMBRANA 07,IND. ZIGOITIA 07,IND. ZUIA 07,IND. VALDEGOVIA 07,IND. BALMASEDA 07,IND. 1 KARRANTZA 07,IND. 2 KARRANTZA 07,IND. SOPUERTA 07,IND. TURTZIOZ 07,IND. 1 ABANTO-Z. 07,IND. 2 ABANTO-Z. 07,IND. ALONSOTEGI 07,IND. ETXEBARRI 07,IND. MUSKIZ 07,IND. PLENTZIA 07,IND. SESTAO 07,IND. ZIERBENA 07,IND. ARTEA 07,IND. ELORRIO 07,IND. GARAI 07,IND. IGORRE 07,IND. OTXANDIO 07,IND. ZALDIBAR 07,IND. AMOROTO 07,IND. BERRIATUA 07,IND. EREÑO 07,IND. ERRIGOITI 07,IND. GIZABURUAGA 07,IND. IBARRANGELU 07,IND. ISPASTER 07,IND. MURUETA 07,IND. MUXIKA 07,IND. AZKOITIA 07,IND. BEIZAMA 07,IND. DEBA 07,IND. ERREZIL 07,IND. 1 EZKIO-ITS. 07,IND. 2 EZKIO-ITS. 07,IND. GABIRIA 07,IND. MUTILOA 07,IND. 1 ORMAIZTEGI 07,IND. 2 ORMAIZTEGI 07,IND. SEGURA 07,IND. ZEGAMA 07,IND. ZERAIN 07,IND. ELGETA 07,IND. ESKORIATZA 07,IND. LEINTZ-GATZ. 07,IND. MUTRIKU 07,IND. HONDARRIBIA 07,IND. IRUN 07,IND. LASARTE-ORIA 07,IND. OIARTZUN 07,IND. URNIETA 07,IND. ABALTZISKETA 07,IND. ALBIZTUR 07,IND. ALKIZA 07,IND. ALTZAGA 07,IND. ALTZO 07,IND. 1 AMEZKETA 07,IND. 2 AMEZKETA 07,IND. 1 ARAMA 07,IND. 2 ARAMA 07,IND. ASTEASU 07,IND. ATAUN 07,IND. BALIARRAIN 07,IND. 1 BELAUNTZA 07,IND. 2 BELAUNTZA 07,IND. 1 BERROBI 07,IND. 2 BERROBI 07,IND. GAINTZA 07,IND. 1 GAZTELU 07,IND. 2 GAZTELU 07,IND. HERNIALDE 07,IND. IDIAZABAL 07,IND. LARRAUL 07,IND. LEABURU 07,IND. OLABERRIA 07,IND. ORENDAIN 07,IND. PEÑACERRADA 07,IND. AGURAIN 07,IND. GORLIZ 07,IND. ABADIÑO 07,IND. 1 LAGRAN 07
Álava,LAGUARDIA,,31,2,1288,1043,30,1013,17,996,245,360,445,90,,,,38,54,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LANCIEGO/LANTZIEGO,,32,2,559,429,19,410,10,400,130,192,145,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LANESTOSA,,51,2,280,210,1,209,6,203,70,140,4,,,,,,30,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LANTARÓN,,902,2,858,555,19,536,6,530,303,223,161,,27,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LAPUEBLA DE LABARCA,,33,2,721,593,12,581,12,569,128,314,135,72,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LARRABETZU,,52,4,1467,1200,12,1188,3,1185,267,496,14,,,,,463,11,,,,,,,,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LARRAUL,,48,3,157,89,4,85,2,83,68,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,
Gipuzkoa,LASARTE-ORIA,,902,1,14593,9030,72,8958,124,8834,5563,918,736,506,,,,1524,3570,,,,,,,,,729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LAUDIO/LLODIO,,36,3,15706,9803,110,9693,173,9520,5903,3462,1200,356,,,,2344,1682,,,,,,,,,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LAUKIZ,,53,4,802,623,4,619,8,611,179,322,75,65,,,,110,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LAZKAO,,49,3,4174,2448,768,1680,185,1495,1726,895,100,,,,,,326,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LEABURU,,50,3,325,253,132,121,3,118,72,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,
Gipuzkoa,LEGAZPI,,51,3,7337,4699,72,4627,55,4572,2638,1006,290,878,,,,1085,586,,,,,,,,,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LEGORRETA,,52,3,1184,857,8,849,13,836,327,333,20,74,,,,381,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LEGUTIO,,58,2,1295,816,177,639,7,632,479,214,42,234,31,,,,79,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,206,140,4,136,14,122,66,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LEIOA,,54,4,23526,13800,1204,12596,273,12323,9726,5321,2074,618,,,,,3127,,,,,,,,,1130,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LEKEITIO,,57,4,6318,4337,1560,2777,49,2728,1981,1674,52,826,,,,,52,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LEMOA,,55,3,2458,1702,407,1295,27,1268,756,711,82,219,,,,,149,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LEMOIZ,,56,4,830,617,25,592,22,570,213,289,12,,,,,253,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LEZA,,34,2,186,150,18,132,4,128,36,86,15,48,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,54,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LEZAMA,,81,4,1931,1283,284,999,20,979,648,655,52,80,,,,,85,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LEZO,,53,2,4923,2852,30,2822,42,2780,2071,607,103,103,,,,1434,346,,,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LIZARTZA,,54,3,500,355,186,169,142,27,145,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LOIU,,903,4,1697,1233,130,1103,17,1086,464,742,144,74,,,,,69,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MALLABIA,,58,3,1017,712,11,701,2,699,305,271,23,,,,,339,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MARKINA-XEMEIN,,60,4,3870,2275,20,2255,22,2233,1595,1255,28,,,,,613,38,,,,,,,,,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MARURI-JATABE,,61,4,708,539,11,528,18,510,169,267,32,53,,,,131,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MAÑARIA,,59,3,441,312,111,201,10,191,129,177,5,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,MENDARO,,901,4,1393,872,173,699,27,672,521,376,20,192,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MENDATA,,62,4,331,274,11,263,2,261,57,150,5,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MENDEXA,,63,4,350,269,150,119,10,109,81,105,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MEÑAKA,,64,4,577,515,3,512,3,509,62,172,0,194,,,,143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,254,200,4,196,5,191,54,69,40,,,,,,70,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MORGA,,66,4,357,260,57,203,7,196,97,193,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUNDAKA,,68,4,1643,1196,211,985,21,964,447,582,10,336,,,,,21,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUNGIA,,69,4,12093,7537,75,7462,118,7344,4556,3890,648,485,,,,1155,726,,,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,350,250,95,155,,155,100,154,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MURUETA,,908,4,247,218,,218,1,217,29,52,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUSKIZ,,71,2,5975,4178,614,3564,87,3477,1797,1437,145,885,,,,,817,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,MUTILOA,,57,3,178,125,3,122,4,118,53,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,MUTRIKU,,56,4,4094,2660,842,1818,45,1773,1434,897,77,209,,,,,80,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUXIKA,,67,4,1230,939,6,933,6,927,291,427,7,,,,,236,6,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,NABARNIZ,,909,4,205,164,96,68,5,63,41,242,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,NAVARIDAS,,41,2,169,136,8,128,8,120,33,68,41,9,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,OIARTZUN,,63,2,8016,5340,50,5290,65,5225,2676,,107,,,,,2663,101,,,,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,OKONDO,,42,3,893,773,101,672,11,661,120,274,15,365,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,OLABERRIA,,58,3,775,595,1,594,4,590,180,131,15,,,,,159,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,,,,,,
Bizkaia,ONDARROA,,73,4,7571,4833,2195,2638,81,2557,2738,1720,191,347,,,,,105,,,,,,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ORDIZIA,,76,3,7149,4412,1118,3294,77,3217,2737,898,266,493,,,,,795,,,,,,,,,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ORENDAIN,,905,3,145,129,3,126,3,123,16,,1,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,
Gipuzkoa,OREXA,,60,3,91,80,,80,12,68,11,,0,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ORIO,,61,4,3881,2529,25,2504,33,2471,1352,857,60,202,,,,689,177,,,,,,,,,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ORMAIZTEGI,,62,3,1039,788,7,781,15,766,251,,3,,,,,229,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,OROZKO,,75,3,1903,1363,230,1133,25,1108,540,787,91,131,,,,,30,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ORTUELLA,,83,2,7352,4818,349,4469,60,4409,2534,1853,169,577,,,,,1557,,,,,,,,,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,OTXANDIO,,72,3,1016,807,4,803,9,794,209,265,11,,9,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,OYÓN-OION,,43,2,2355,1561,166,1395,13,1382,794,696,362,,,,,,278,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,OÑATI,,59,4,9003,5462,1304,4158,84,4074,3541,1867,216,659,,,,,291,,,,,,,,,,,,1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,PASAIA,,64,2,13198,6958,67,6891,181,6710,6240,931,643,587,,,,2302,1616,,,,,,,,,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,232,188,3,185,1,184,44,50,13,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,
Bizkaia,PLENTZIA,,77,4,3442,2312,247,2065,39,2026,1130,789,146,135,,,,,79,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,PORTUGALETE,,78,2,42099,24932,1687,23245,457,22788,17167,7464,3675,576,,,,,8756,,,,,,,,,2317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,869,600,13,587,18,569,269,186,156,,,,,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,SAMANIEGO,,52,2,245,190,22,168,9,159,55,103,8,,,,,,46,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,648,343,81,262,8,254,305,156,53,,35,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SANTURTZI,,82,2,40193,23913,2093,21820,371,21449,16280,9898,2624,327,1582,,,,7018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,SEGURA,,70,3,1066,775,297,478,28,450,291,,5,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SESTAO,,84,2,25704,14337,1174,13163,261,12902,11367,4481,1495,307,,,,,4783,,,,,,,,,1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SONDIKA,,904,4,3652,2509,247,2262,44,2218,1143,1403,226,183,,,,,273,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SOPELA,,85,4,9752,6063,93,5970,138,5832,3689,1509,393,439,,,,1315,814,341,,,,,,,,1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SOPUERTA,,86,2,2174,1599,82,1517,13,1504,575,248,15,579,,,,,47,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3468,2261,8,2253,20,2233,1207,567,172,347,,,,598,455,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SUKARRIETA,,76,4,318,249,58,191,7,184,69,120,6,55,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,TOLOSA,,71,3,14555,8422,2036,6386,168,6218,6133,3203,577,988,,,,,746,,,,,,,,,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
