TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,CDS,EKA,PST,EMK-MCE,LKI-LCR,PCE-EPK,AP-PDP-UL,A.I.LL.,LC,IND. ARAMAIO 83,IND. ARTZINIEGA 83,IND. ELVILLAR 83,IND. LABASTIDA 83,IND. LAGRAN 83,IND. LAPUEBLA 83,IND. LAUDIO 83,IND. OION 83,IND. AGURAIN 83,IND. SAMANIEGO 83,IND. ZALDUONDO 83,IND. AMOREBIETA 83,IND. AMOROTO 83,IND. ARANTZAZU 83,IND. MUNITIBAR 83,IND. AREATZA 83,IND. ARRANKUDIAGA 83,IND. AULESTI 83,IND. BAKIO 83,IND. BALMASEDA 83,IND. BARAKALDO 83,IND. BASAURI 83,IND. BERANGO 83,IND. BERMEO 83,IND. BERRIZ 83,IND. BILBAO 83,IND. 1 KARRANTZA 83,IND. 2 KARRANTZA 83,IND. DERIO 83,IND. DURANGO 83,IND. ETXEBARRIA 83,IND. EREÑO 83,IND. ERMUA 83,IND. ETXEBARRI 83,IND. FRUIZ 83,IND. GALDAMES 83,IND. GARAI 83,IND. GATIKA 83,IND. GAUT.ARTEAGA 83,IND. GORDEXOLA 83,IND. GORLIZ 83,IND. 1 GERNIKA 83,IND. 2 GERNIKA 83,IND. GIZABURUAGA 83,IND. IZURZTA 83,IND. LEIOA 83,IND. MALLABIA 83,IND. MARKINA 83,IND. MARURI 83,IND. MENDEXA 83,IND. MEÑAKA 83,IND. MORGA 83,IND. 1 ORTUELLA 83,IND. 2 ORTUELLA 83,IND. PORTUGALETE 83,IND. 1 SESTAO 83,IND. 2 SESTAO 83,IND. SOPUERTA 83,IND. TURTZIOZ 83,IND. ZALDIBAR 83,IND. ZALLA 83,IND. ZARATAMO 83,IND. ABALTZISKETA 83,IND. ADUNA 83,IND. AIZARNAZABAL 83,IND. ALBIZTUR 83,IND. ALTZO 83,IND. AMEZKETA 83,IND. ANDOAIN 83,IND. 1 ANOETA 83,IND. 2 ANOETA 83,IND. ANTZUOLA 83,IND. ARAMA 83,IND. ASTEASU 83,IND. BELAUNTZA 83,IND. BERASTEGI 83,IND. BERGARA 83,IND. BERROBI 83,IND. ZERAIN 83,IND. EIBAR 83,IND. ELDUAIN 83,IND. ELGETA 83,IND. ELGOIBAR 83,IND. ESKORIATZA 83,IND. EZKIO-ITSASO 83,IND. GABIRIA 83,IND. GAINTZA 83,IND. HERNIALDE 83,IND. IRUN 83,IND. LARRAUL 83,IND. LEINTZ-GATZ. 83,IND. ARRASATE 83,IND. OLABERRIA 83,IND. OÑATI 83,IND. ERREZIL 83,IND. SEGURA 83,IND. USURBIL 83,IND. MUTILOA 83,IND. BEIZAMA 83
Bizkaia,MARURI-JATABE,,61,4,387,245,9,236,,236,142,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MAÑARIA,,59,3,432,334,3,322,9,322,98,215,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MENDATA,,62,4,339,184,10,169,5,169,155,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MENDEXA,,63,4,276,129,3,125,1,125,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MEÑAKA,,64,4,372,249,,249,,249,123,174,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,286,243,3,237,3,237,43,143,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MORGA,,66,4,320,234,1,232,1,232,86,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUNDAKA,,68,4,1237,1033,29,998,6,998,204,760,,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUNGIA,,69,4,7936,5078,46,4969,66,4969,2858,3463,528,605,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,426,325,6,317,2,317,101,191,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUSKIZ,,71,2,4643,3158,73,3061,24,3061,1485,1392,750,315,332,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,MUTILOA,,57,3,190,43,4,39,,39,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,
Gipuzkoa,MUTRIKU,,56,4,3838,2890,22,2848,20,2848,948,1726,471,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUXIKA,,67,4,1299,965,4,957,4,957,334,644,,270,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,NAVARIDAS,,41,2,184,145,38,94,13,94,39,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,OIARTZUN,,63,2,5487,3836,16,3806,16,3804,1651,1930,250,1308,223,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,OKONDO,,42,3,555,456,7,445,2,447,99,248,,82,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,OLABERRIA,,58,3,1006,759,25,722,12,722,247,199,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,,,,,
Bizkaia,ONDARROA,,73,4,8895,5363,124,5087,152,5087,3532,2892,,1530,359,,,,,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ORDIZIA,,76,3,7205,4674,44,4546,84,4546,2531,1859,621,988,871,,,,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,OREXA,,60,3,79,53,11,42,,42,26,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ORIO,,61,4,3051,2178,33,2133,12,2133,873,1008,304,427,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ORMAIZTEGI,,62,3,934,753,,748,5,743,181,439,,144,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,OROZKO,,75,3,1639,1023,57,930,36,930,616,680,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ORTUELLA,,83,2,6601,4748,147,4580,21,4580,1853,810,2181,427,,,,,,,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,OTXANDIO,,72,3,965,714,17,691,6,691,251,322,,190,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,OYÓN-OION,,43,2,1772,1334,13,1311,9,1312,438,396,199,135,,,,,,,,372,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,OÑATI,,59,4,8259,5582,69,5487,26,5487,2677,3331,343,1013,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,,,,,
Gipuzkoa,PASAIA,,64,2,14903,9302,138,8374,41,8376,5601,2557,2408,2261,1005,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,187,126,12,103,11,103,61,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,PLENTZIA,,77,4,2194,1521,33,1443,45,1443,673,1016,,194,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,PORTUGALETE,,78,2,41117,26942,360,26481,101,26481,14175,5314,12792,2489,1844,,,,,,1391,2155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,354,309,1,306,2,306,45,123,99,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,SAMANIEGO,,52,2,208,183,8,171,4,193,25,84,66,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,667,249,3,243,3,243,418,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SANTURTZI,,82,2,37911,23545,303,23179,63,23179,14366,6235,9075,3403,1764,,,,,,1027,1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,SEGURA,,70,3,1059,815,6,800,9,800,244,532,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,,,
Bizkaia,SESTAO,,84,2,29118,18923,147,18731,45,18731,10195,3071,10073,1739,993,,,,,,1070,1417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SONDIKA,,904,4,2986,2111,102,1973,36,1973,875,1448,,314,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SOPELA,,85,4,4296,2896,30,2851,15,2851,1400,1404,502,722,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SOPUERTA,,86,2,1755,1502,8,1492,2,1492,253,585,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,4237,3010,52,2934,24,2934,1227,1383,628,607,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SUKARRIETA,,76,4,209,136,20,106,10,106,73,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,TOLOSA,,71,3,14522,8254,160,7969,125,7969,6268,3539,1136,1618,1046,,459,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,449,383,7,375,1,375,66,172,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,UBIDE,,88,3,130,122,1,120,1,120,8,41,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,UGAO-MIRABALLES,,65,3,3087,2194,26,2147,21,2147,893,1014,594,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,URDULIZ,,89,4,1788,1278,8,1262,8,1262,510,686,202,289,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,URDUÑA/ORDUÑA,,74,3,3399,1932,161,1704,67,1704,1467,1336,,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,URKABUSTAIZ,,54,2,714,383,19,353,11,353,331,301,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,URNIETA,,72,1,8151,5304,76,5198,37,5198,2847,1782,2225,763,250,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,URRETXU,,77,3,4752,3444,34,3408,16,3403,1308,1680,677,463,317,,,,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,USURBIL,,73,1,3994,2680,33,2622,27,2622,1314,1067,,1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,,
Álava,VALDEGOVÍA/GAUBEA,,55,2,843,574,24,543,7,543,269,204,151,,,,,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,9804,6827,85,6698,44,6738,2977,2000,2596,888,726,,,,,,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,VILLABONA,,75,3,3667,2385,22,2350,13,2350,1282,804,336,500,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,279,247,3,244,,244,32,181,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VITORIA-GASTEIZ,,59,1,135666,89427,1127,87921,379,87930,46239,31250,27963,7576,5119,2067,,,,,1132,12823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,YÉCORA/IEKORA,,60,2,213,168,7,158,3,170,45,79,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZALDIBAR,,95,3,2330,1622,16,1595,11,1595,708,713,445,146,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZALDIBIA,,78,3,1356,714,36,623,55,623,642,,,443,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZALDUONDO,,61,2,113,102,6,95,1,102,11,43,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZALLA,,96,2,5166,3746,40,3692,14,3692,1420,2215,589,447,,,,,,,37,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZAMBRANA,,62,2,285,239,9,229,1,229,46,109,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZAMUDIO,,905,4,2414,1688,48,1611,29,1611,726,1152,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZARATAMO,,97,3,1277,1022,26,989,7,989,255,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZARAUTZ,,79,4,10924,7683,163,7357,163,7356,3241,4069,977,1046,1136,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEANURI,,24,3,1102,875,15,848,12,848,227,635,,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEBERIO,,25,3,883,548,36,486,26,486,335,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZEGAMA,,25,3,1201,606,38,446,122,446,595,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZERAIN,,26,3,211,100,7,92,1,92,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZESTOA,,27,4,2922,1905,26,1876,3,1876,1017,1068,149,466,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZIGOITIA,,18,2,569,340,15,315,10,315,229,219,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZIZURKIL,,28,3,1964,1306,33,1268,5,1268,658,571,251,367,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZUIA,,63,2,1044,690,25,631,34,631,354,536,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMAIA,,81,4,5614,3778,59,3681,38,3681,1836,1854,759,707,290,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMARRAGA,,80,3,8606,5933,115,5337,11,5773,2673,2476,1536,587,411,,,,,,692,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
