TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,HB,U.AL.,EA,EB-B,CDS,EKA,EHB,PH,PSE-EE/PSOE,CNPS,ICV-EHE/GORORDO,PIE,PLAZANDREOK,HERRI-HATS,AMA,IND. ARRAIA-MAEZ. 95,IND. BARRUNDIA 95,IND. 1 KANPEZU 95,IND. 2 KANPEZU 95,IND. IRUÑA OKA 95,IND. LANTARON 95,IND. AÑANA 95,IND. ALONSOTEGI 95,IND. AMOROTO 95,IND. ARANTZAZU 95,IND. ARCENTALES 95,IND. BALMASEDA 95,IND. BARAKALDO 95,IND. BERRIATUA 95,IND. BERRIZ 95,IND. KARRANTZA 95,IND. ELORRIO 95,IND. 1 EREÑO 95,IND. 2 EREÑO 95,IND. ETXEBARRI 95,IND. GALDAKAO 95,IND. GARAI 95,IND. GORLIZ 95,IND. GIZABURUAGA 95,IND. IZURTZA 95,IND. LEMOIZ 95,IND. MURUETA 95,IND. ONDARROA 95,IND. SOPUERTA 95,IND. ZALDIBAR 95,IND. ABALTZISKETA 95,IND. ADUNA 95,IND. ALBIZTUR 95,IND. ALKIZA 95,IND. ALTZAGA 95,IND. ALTZO 95,IND. 1 AMEZKETA 95,IND. 2 AMEZKETA 95,IND. ANTZUOLA 95,IND. ARAMA 95,IND. ATAUN 95,IND. BALIARRAIN 95,IND. BELAUNTZA 95,IND. BERROBI 95,IND. DEBA 95,IND. ELDUAIN 95,IND. ERREZIL 95,IND. ESKORIATZA 95,IND. EZKIO-ITSASO 95,IND. GABIRIA 95,IND. GAINTZA 95,IND. GAZTELU 95,IND. HERNIALDE 95,IND. IKAZTEGIETA 95,IND. LARRAUL 95,IND. LEINTZ-GATZ. 95,IND. LIZARTZA 95,IND. MENDARO 95,IND. MUTILOA 95,IND. OLABERRIA 95,IND. ORENDAIN 95,IND. OREXA 95,IND. VILLABONA 95,IND. ZALDIBIA 95,IND. ZERAIN 95
Álava,PEÑACERRADA-URIZAHARRA,,44,2,222,184,12,205,,205,38,96,,49,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,PLENTZIA,,77,4,2540,1844,38,1806,38,1768,696,1018,146,255,,293,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,PORTUGALETE,,78,2,46571,28919,214,28705,518,28187,17652,7066,4915,2352,,1260,4755,,,,,7839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,360,301,,301,3,298,59,134,88,,7,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,SAMANIEGO,,52,2,241,200,3,197,4,193,41,94,,33,3,,22,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,599,293,2,291,3,288,306,151,55,45,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SANTURTZI,,82,2,41437,25100,192,24908,393,24515,16337,6700,3572,2962,,1040,3465,,,,,6776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,SEGURA,,70,3,1014,824,12,812,6,806,190,210,,262,,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SESTAO,,84,2,29795,17923,273,17650,349,17301,11872,3325,2482,1509,,627,4190,,,,,5168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SONDIKA,,904,4,3096,2266,55,2211,76,2135,830,1296,158,287,,223,,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SOPELA,,85,4,7137,4336,53,4283,86,4197,2801,1726,371,874,,339,430,,,,,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SOPUERTA,,86,2,1897,1553,15,1538,26,1512,344,330,,109,,361,77,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3820,2583,53,2530,81,2449,1237,982,,615,,409,,,,,,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SUKARRIETA,,76,4,273,210,1,209,3,206,63,135,,32,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,TOLOSA,,71,3,15097,9231,60,9171,131,9040,5866,1794,927,2113,,2793,375,,162,224,,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,443,387,15,372,10,362,56,166,,,,180,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,UBIDE,,88,3,134,121,1,121,1,120,13,50,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,UGAO-MIRABALLES,,65,3,3393,2241,27,2214,27,2187,1152,983,152,487,,204,,,,,,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,URDULIZ,,89,4,2240,1608,23,1585,35,1550,632,740,124,335,,156,64,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,URDUÑA/ORDUÑA,,74,3,3354,2432,38,2394,51,2343,922,904,311,527,,429,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,URKABUSTAIZ,,54,2,719,503,8,495,5,490,216,230,80,111,16,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,URNIETA,,72,1,3901,2539,29,2510,72,2438,1362,1293,94,451,,182,146,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,URRETXU,,77,3,5147,3541,55,3486,74,3412,1606,511,,607,,1449,208,,,,,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,USURBIL,,73,1,4330,3040,37,3003,69,2934,1290,698,129,1316,,542,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VALDEGOVÍA/GAUBEA,,55,2,833,646,6,640,2,638,187,285,75,49,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10902,7121,86,7035,147,6888,3781,2016,518,833,,187,966,,,,,2368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,VILLABONA,,75,3,4293,2919,16,2893,50,2843,1374,399,,790,,362,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,306,258,6,252,10,242,48,127,,52,13,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VITORIA-GASTEIZ,,59,1,173556,107321,850,106471,1704,104767,66235,29978,19240,7448,18726,4951,8856,,,,,15568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,YÉCORA/IEKORA,,60,2,214,185,3,172,2,170,29,135,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZALDIBAR,,95,3,2450,1705,38,1667,28,1639,745,536,,284,,159,99,,,,,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZALDIBIA,,78,3,1314,1004,19,985,11,974,310,,,581,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,
Álava,ZALDUONDO,,61,2,111,94,3,88,6,82,17,73,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZALLA,,96,2,6049,4741,110,4631,77,4554,1308,2393,298,335,,517,153,,,,,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZAMBRANA,,62,2,292,255,2,253,2,251,37,149,36,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZAMUDIO,,905,4,2591,1891,34,1857,56,1801,700,967,114,469,,71,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZARATAMO,,97,3,1310,1050,24,1026,20,1006,260,287,28,166,,409,32,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZARAUTZ,,79,4,14952,9824,97,9727,232,9495,5128,1484,1036,1615,,4144,322,,,,,894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEANURI,,24,3,992,827,8,819,11,808,165,382,,116,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEBERIO,,25,3,800,632,8,624,5,619,168,412,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZEGAMA,,25,3,1149,869,8,861,7,854,280,181,,363,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZERAIN,,26,3,184,132,8,100,7,93,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
Gipuzkoa,ZESTOA,,27,4,2769,2043,15,2028,25,2003,726,684,,681,,579,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZIERBENA,,913,2,945,790,4,786,5,781,155,504,26,121,,27,17,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZIGOITIA,,18,2,831,566,5,561,14,547,265,200,26,146,64,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZIZURKIL,,28,3,2138,1369,19,1350,44,1306,769,364,,447,,274,,,,,,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZUIA,,63,2,1192,923,14,909,18,891,269,367,221,151,108,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMAIA,,81,4,6530,4182,69,4113,111,4002,2348,1591,,913,,725,163,,,,,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMARRAGA,,80,3,8866,5950,75,5875,95,5780,2916,993,335,708,,1321,584,,,,,1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
