TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PCTE / ELAK,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,Cs,EB-AZ,EH BILDU,VOX,PODEMOS-IU-EQUO BERD,RECORTES CERO-GV,SOLIDARIA
Bizkaia,SUKARRIETA,,76,4,284,226,2,224,1,223,58,141,5,0,10,0,0,2,,41,2,22,0,0
Gipuzkoa,TOLOSA,,71,3,15036,11090,65,11025,59,10966,3946,4074,292,7,1350,59,7,155,13,3292,85,1616,16,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,432,357,1,356,,356,75,214,22,0,27,0,1,5,,35,7,45,0,0
Bizkaia,UBIDE,,88,3,133,99,1,98,2,96,34,23,1,1,4,1,0,0,,54,0,10,1,1
Bizkaia,UGAO-MIRABALLES,,65,3,3304,2541,17,2524,15,2509,763,967,91,1,374,16,1,37,,578,21,356,5,62
Bizkaia,URDULIZ,,89,4,3465,2746,14,2732,10,2722,719,1154,97,2,309,34,1,70,,473,29,489,3,61
Bizkaia,URDUÑA/ORDUÑA,,74,3,3273,2480,20,2460,14,2446,793,1001,110,2,326,10,6,40,,565,50,327,6,3
Álava,URKABUSTAIZ,,54,2,1013,729,3,726,2,724,284,205,29,2,79,7,0,9,,260,13,118,2,
Gipuzkoa,URNIETA,,72,1,4752,3445,33,3412,24,3388,1307,1001,142,2,670,32,6,99,5,711,50,664,6,
Gipuzkoa,URRETXU,,77,3,5254,4083,24,4059,22,4037,1171,1436,127,0,795,19,3,94,4,894,21,642,2,
Gipuzkoa,USURBIL,,73,1,4698,3530,15,3515,29,3486,1168,819,84,7,411,26,0,55,11,1545,24,502,2,
Álava,VALDEGOVÍA/GAUBEA,,55,2,840,608,6,602,10,592,232,194,93,1,100,5,0,15,,98,13,73,0,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,9946,7574,75,7499,46,7453,2372,2215,289,7,2095,56,12,175,,836,132,1619,15,2
Gipuzkoa,VILLABONA,,75,3,4346,3158,24,3134,19,3115,1188,945,103,5,432,10,5,71,4,1042,37,454,7,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,243,202,3,199,,199,41,84,17,0,12,3,0,6,,56,8,13,0,
Álava,VITORIA-GASTEIZ,,59,1,189043,133121,1353,131768,792,130976,55922,26498,20235,164,31954,1473,268,5860,,15596,4439,24073,416,
Álava,YÉCORA/IEKORA,,60,2,201,174,8,166,1,165,27,52,47,1,19,1,0,11,,10,7,17,0,
Bizkaia,ZALDIBAR,,95,3,2326,1691,11,1680,11,1669,635,473,92,0,344,10,2,47,,395,16,288,2,0
Gipuzkoa,ZALDIBIA,,78,3,1145,882,3,879,4,875,263,187,9,1,43,4,0,7,4,546,1,73,0,
Álava,ZALDUONDO,,61,2,152,129,,129,2,127,23,38,1,0,10,2,0,1,,50,2,22,1,
Bizkaia,ZALLA,,96,2,6512,5247,62,5185,36,5149,1265,2439,170,5,895,31,6,96,,598,73,828,6,2
Álava,ZAMBRANA,,62,2,315,236,7,229,2,227,79,50,36,0,32,4,0,19,,20,15,48,3,
Bizkaia,ZAMUDIO,,905,4,2490,1911,20,1891,16,1875,579,856,57,2,231,17,2,23,,398,27,259,3,0
Bizkaia,ZARATAMO,,97,3,1316,979,3,976,4,972,337,343,31,2,151,19,0,21,,209,14,181,0,1
Gipuzkoa,ZARAUTZ,,79,4,18142,14055,84,13971,75,13896,4087,5463,520,12,1871,77,13,264,17,3446,173,2031,9,
Bizkaia,ZEANURI,,24,3,999,813,2,811,2,809,186,418,8,0,19,3,0,5,,281,3,71,1,0
Bizkaia,ZEBERIO,,25,3,860,694,,694,3,691,166,339,4,0,24,6,0,4,,240,1,72,1,0
Gipuzkoa,ZEGAMA,,25,3,1116,835,5,830,2,828,281,346,1,1,51,5,0,2,0,356,1,65,0,
Gipuzkoa,ZERAIN,,26,3,204,182,23,159,3,156,22,72,0,0,6,0,0,0,0,72,0,6,0,
Gipuzkoa,ZESTOA,,27,4,2758,1980,22,1958,19,1939,778,724,10,0,136,9,1,9,2,809,5,234,0,
Bizkaia,ZIERBENA,,913,2,1224,977,10,967,6,961,247,452,24,1,104,9,1,18,,167,14,170,1,0
Álava,ZIGOITIA,,18,2,1408,998,5,993,6,987,410,262,85,2,141,6,2,20,,274,25,170,0,
Bizkaia,ZIORTZA - BOLIBAR,,915,4,347,259,,259,4,255,88,98,4,0,7,0,0,1,,135,0,10,0,0
Gipuzkoa,ZIZURKIL,,28,3,2258,1579,5,1574,9,1565,679,407,50,2,281,7,1,24,2,567,9,214,1,
Álava,ZUIA,,63,2,1830,1363,10,1353,4,1349,467,420,115,2,181,10,1,35,,334,44,205,2,
Gipuzkoa,ZUMAIA,,81,4,7655,5629,28,5601,22,5579,2026,1858,128,3,840,27,6,66,8,1826,33,781,3,
Gipuzkoa,ZUMARRAGA,,80,3,7709,5629,41,5588,28,5560,2080,1417,236,4,1665,37,4,123,6,897,78,1086,7,
