TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,PH,FE-JONS,EK-PCPE,P.A.,E.U.,PREPAL,DN,ATTKA/PACMA,MSR,UPYD,Cs,I.FEM,SAIn,IU-UPEC,EB-AZ,EH BILDU,EAJ-PNV ... (E14),FAC,EPDD,IMPULSOSOCIAL,RECORTES CERO,EQUO-PUM+J,VOX,P-LIB,PARTIDO X,D. E. R.,IPEX-PREX-CREX,M.C.R.,RRUE,PODEMOS-AHAL DUGU,ALTER,PT,LEM,PIRATAS,ACNV-BAR-PRAO-...,MOVIMIENTO RED,CILUS
Álava,VITORIA-GASTEIZ,,59,1,186347,80800,1516,79284,1310,77974,105547,13176,13617,110,43,162,14,73,27,42,886,40,4116,1054,141,43,5331,797,13545,11150,120,99,68,422,2654,762,57,444,267,38,18,43,7590,41,94,46,207,29,516,92
Álava,YÉCORA/IEKORA,,60,2,212,118,2,116,1,115,94,7,49,0,0,0,0,0,0,0,0,0,5,1,0,0,4,3,7,33,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0
Bizkaia,ZALDIBAR,,95,3,2368,1017,7,1010,16,994,1351,141,81,5,0,0,0,1,1,1,11,1,17,2,2,0,49,6,363,248,0,0,1,2,7,1,0,1,0,0,0,0,46,0,1,0,0,0,4,2
Gipuzkoa,ZALDIBIA,,78,3,1168,682,7,675,3,672,486,17,5,0,0,0,0,0,0,0,1,0,1,0,0,0,11,3,508,108,0,0,0,0,2,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0
Álava,ZALDUONDO,,61,2,153,95,2,93,3,90,58,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,42,0,0,0,0,3,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0
Bizkaia,ZALLA,,96,2,6711,3371,97,3274,44,3230,3340,353,130,1,2,3,0,1,0,2,33,0,73,10,3,0,167,39,562,1600,2,3,2,10,26,9,2,6,6,0,0,0,161,3,3,1,3,1,10,3
Álava,ZAMBRANA,,62,2,330,135,1,134,8,126,195,8,42,0,0,1,0,0,0,0,1,0,8,0,1,0,5,4,15,22,0,0,0,1,0,0,0,1,0,0,0,0,15,0,0,0,0,0,1,1
Bizkaia,ZAMUDIO,,905,4,2595,1389,21,1368,18,1350,1206,101,54,0,0,2,0,0,0,0,10,0,19,4,0,0,46,9,385,659,1,0,1,2,3,2,0,2,1,0,0,1,40,0,2,0,2,0,4,0
Bizkaia,ZARATAMO,,97,3,1330,621,13,608,15,593,709,74,26,1,1,1,0,1,0,1,8,0,10,3,0,0,29,4,198,195,0,0,1,2,2,0,0,1,0,0,0,0,31,1,0,0,1,0,1,1
Gipuzkoa,ZARAUTZ,,79,4,17728,7816,49,7767,131,7636,9912,715,510,2,2,13,0,2,1,0,45,2,176,55,5,0,273,71,2415,2660,2,17,8,8,81,21,1,21,14,1,0,1,470,2,3,0,11,1,26,1
Bizkaia,ZEANURI,,24,3,1013,634,7,627,5,622,379,5,8,0,0,0,0,0,0,0,3,0,2,0,0,0,6,1,267,318,0,1,0,0,0,0,0,2,0,0,0,1,8,0,0,0,0,0,0,0
Bizkaia,ZEBERIO,,25,3,889,513,10,503,3,500,376,9,7,2,0,0,0,0,0,0,3,0,0,1,0,0,8,0,210,239,0,1,0,1,2,0,2,1,0,0,0,0,12,0,0,0,1,0,1,0
Gipuzkoa,ZEGAMA,,25,3,1158,512,7,505,4,501,646,13,3,1,0,1,0,0,0,0,2,0,4,0,0,0,7,0,277,182,0,2,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0
Gipuzkoa,ZERAIN,,26,3,208,121,,121,3,118,87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,62,51,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gipuzkoa,ZESTOA,,27,4,2813,1343,17,1326,20,1306,1470,27,12,0,0,0,1,0,0,0,4,0,7,5,1,0,30,9,747,427,0,1,2,1,4,2,0,2,0,0,0,0,19,0,1,0,0,1,3,0
Bizkaia,ZIERBENA,,913,2,1259,608,13,595,10,585,651,30,21,0,0,0,0,0,0,0,1,0,6,0,1,0,27,6,139,319,0,0,0,2,3,0,1,0,2,0,0,0,25,0,1,0,1,0,0,0
Álava,ZIGOITIA,,18,2,1387,579,8,571,9,562,808,57,35,0,0,0,0,0,0,1,9,0,6,7,0,0,32,8,205,145,0,0,0,1,16,1,0,3,0,0,0,0,30,1,2,0,1,0,2,0
Bizkaia,ZIORTZA - BOLIBAR,,915,4,366,184,,184,1,183,182,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,101,73,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gipuzkoa,ZIZURKIL,,28,3,2291,942,10,932,18,914,1349,96,41,1,0,1,0,1,0,0,9,0,16,1,1,0,48,2,440,206,1,2,0,0,2,0,0,2,1,0,0,0,40,0,1,0,1,0,1,0
Álava,ZUIA,,63,2,1806,851,14,837,20,817,955,67,78,1,0,3,0,0,0,1,11,0,23,7,2,1,21,5,249,237,1,2,0,3,28,10,0,3,5,0,0,0,49,0,1,0,0,0,9,0
Gipuzkoa,ZUMAIA,,81,4,7433,3279,26,3253,43,3210,4154,361,97,3,2,2,0,1,2,0,17,0,45,8,3,0,119,18,1240,1066,0,3,0,2,27,6,3,8,4,0,0,0,152,1,8,1,5,0,6,0
Gipuzkoa,ZUMARRAGA,,80,3,8011,3418,40,3378,68,3310,4593,909,224,1,0,6,0,8,4,3,25,2,73,9,3,0,200,22,699,768,3,3,5,13,30,4,2,9,5,2,2,2,246,1,1,0,5,1,18,2
