TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,CDS,EKA,PH,FE-JONS,POSI,IRE,PSE-EE/PSOE,FEA,DN,PKD,FE,MSR,ARALAR-ZUTIK
Gipuzkoa,OREXA,,60,3,72,65,55,10,,10,7,7,0,1,0,0,0,0,0,,0,0,0,0,,0,0,2
Gipuzkoa,ORIO,,61,4,3714,2769,363,2406,32,2374,945,1334,116,308,104,1,0,1,0,,0,322,0,0,,0,2,186
Gipuzkoa,ORMAIZTEGI,,62,3,1011,802,152,650,3,647,209,380,38,101,24,1,0,1,0,,0,49,0,0,,0,0,53
Bizkaia,OROZKO,,75,3,1873,1468,109,1359,6,1353,405,959,136,72,53,0,0,3,0,0,0,78,,0,2,0,0,50
Bizkaia,ORTUELLA,,83,2,7332,5642,231,5411,62,5349,1690,1754,508,358,581,6,1,14,1,17,0,1999,,0,32,1,2,75
Bizkaia,OTXANDIO,,72,3,899,754,154,600,6,594,145,377,59,45,32,0,0,0,0,2,0,27,,0,3,0,0,49
Álava,OYÓN-OION,,43,2,2189,1680,88,1592,9,1583,509,294,576,39,96,5,2,9,0,,2,545,,3,,0,2,10
Gipuzkoa,OÑATI,,59,4,8918,6822,967,5855,46,5809,2096,2921,433,786,351,3,1,4,0,,3,588,0,0,,1,1,717
Gipuzkoa,PASAIA,,64,2,13202,8831,1417,7414,111,7303,4371,1990,1116,750,828,7,2,40,2,,11,2231,3,6,,0,2,315
Álava,PEÑACERRADA-URIZAHARRA,,44,2,230,189,6,183,2,181,41,58,55,11,9,0,0,0,1,,0,39,,0,,0,1,7
Bizkaia,PLENTZIA,,77,4,3174,2599,169,2430,22,2408,575,1458,279,164,141,4,1,9,0,1,0,263,,1,6,0,0,81
Bizkaia,PORTUGALETE,,78,2,43898,33550,1253,32297,426,31871,10348,8768,6198,748,3408,31,3,112,3,110,23,12001,,25,109,8,11,313
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,769,616,13,603,14,589,153,131,202,17,27,0,0,1,2,,0,205,,1,,0,0,3
Álava,SAMANIEGO,,52,2,255,199,6,193,2,191,56,95,23,3,15,0,0,0,0,,0,45,,0,,0,0,10
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,607,419,49,370,4,366,188,221,52,17,18,1,0,4,0,,0,35,,0,,0,0,18
Bizkaia,SANTURTZI,,82,2,40411,30272,1706,28566,377,28189,10139,8214,4699,765,2884,29,3,79,7,74,16,11057,,13,109,6,16,218
Gipuzkoa,SEGURA,,70,3,1007,807,212,595,13,582,200,222,18,255,17,0,0,0,0,,0,21,0,0,,1,0,48
Bizkaia,SESTAO,,84,2,26822,19421,910,18511,218,18293,7401,4838,3181,367,2179,36,2,67,3,73,10,7262,,14,60,1,5,195
Bizkaia,SONDIKA,,904,4,3535,2946,164,2782,38,2744,589,1629,328,117,147,4,0,9,0,6,2,444,,2,6,0,0,50
Bizkaia,SOPELA,,85,4,8899,6796,672,6124,77,6047,2103,2961,628,300,755,7,3,14,0,7,0,1150,,0,18,1,2,201
Bizkaia,SOPUERTA,,86,2,1960,1515,79,1436,15,1421,445,648,151,246,100,0,0,1,0,3,1,244,,0,0,0,1,26
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3498,2531,409,2122,25,2097,967,772,376,210,105,0,4,4,0,,2,491,0,1,,0,0,132
Bizkaia,SUKARRIETA,,76,4,319,263,41,222,8,214,56,137,12,31,7,0,0,0,0,1,1,16,,0,0,0,0,9
Gipuzkoa,TOLOSA,,71,3,14734,10454,1533,8921,123,8798,4280,3439,997,1318,762,7,35,20,1,,14,1413,0,4,,3,3,782
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,469,381,15,366,1,365,88,209,51,49,10,0,0,0,0,0,0,44,,0,0,0,1,1
Bizkaia,UBIDE,,88,3,136,114,40,74,1,73,22,53,8,6,2,0,0,0,0,0,0,0,,0,0,0,0,4
Bizkaia,UGAO-MIRABALLES,,65,3,3445,2671,337,2334,12,2322,774,1124,258,127,207,1,0,8,2,8,0,519,,1,10,0,0,57
Bizkaia,URDULIZ,,89,4,2628,2087,207,1880,16,1864,541,1055,166,165,130,2,0,6,0,4,1,303,,1,6,1,0,24
Bizkaia,URDUÑA/ORDUÑA,,74,3,3340,2614,253,2361,32,2329,726,1197,355,136,166,3,3,6,1,7,3,374,,3,6,1,4,64
Álava,URKABUSTAIZ,,54,2,758,583,95,488,3,485,175,234,92,28,28,1,0,0,0,,3,82,,0,,1,0,16
Gipuzkoa,URNIETA,,72,1,4539,3192,329,2863,57,2806,1347,789,380,203,333,4,0,8,0,,3,933,0,0,,1,0,152
Gipuzkoa,URRETXU,,77,3,5550,4383,502,3881,26,3855,1167,1086,412,745,329,4,1,5,1,,6,1034,0,13,,2,2,215
Gipuzkoa,USURBIL,,73,1,4598,3260,740,2520,31,2489,1338,836,198,462,153,3,0,9,2,,5,523,0,3,,0,1,294
Álava,VALDEGOVÍA/GAUBEA,,55,2,929,706,41,665,12,653,223,250,217,22,29,0,0,2,0,,0,114,,0,,0,5,14
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10871,8372,447,7925,84,7841,2499,2565,839,191,856,5,2,22,0,13,5,3216,,5,20,4,4,94
Gipuzkoa,VILLABONA,,75,3,4644,3242,623,2619,32,2587,1402,957,288,374,235,4,1,15,0,,5,483,0,1,,0,0,224
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,274,225,20,205,,205,49,116,51,13,2,0,0,2,0,,0,19,,0,,0,0,2
Álava,VITORIA-GASTEIZ,,59,1,183639,142689,5129,137560,2094,135466,40950,30028,38970,4647,11474,302,49,850,58,,216,46348,,83,,38,77,2326
Álava,YÉCORA/IEKORA,,60,2,230,204,1,203,4,199,26,59,98,1,5,0,0,1,0,,0,35,,0,,0,0,0
Bizkaia,ZALDIBAR,,95,3,2399,1747,183,1564,20,1544,652,595,280,75,126,4,0,2,1,8,0,399,,2,3,0,0,49
Gipuzkoa,ZALDIBIA,,78,3,1218,918,394,524,4,520,300,185,32,80,19,0,0,0,0,,0,33,0,1,,0,0,170
Álava,ZALDUONDO,,61,2,135,113,7,106,4,102,22,53,12,3,12,0,0,0,0,,3,15,,0,,0,0,4
Bizkaia,ZALLA,,96,2,6652,5540,242,5298,49,5249,1112,3200,397,240,291,2,0,6,1,11,2,992,,3,14,0,2,88
Álava,ZAMBRANA,,62,2,319,258,2,256,2,254,61,98,88,6,7,4,0,0,0,,0,48,,0,,1,0,2
Bizkaia,ZAMUDIO,,905,4,2695,2102,237,1865,19,1846,593,1061,227,63,104,0,0,4,0,1,0,353,,0,4,0,0,29
Bizkaia,ZARATAMO,,97,3,1358,1069,120,949,10,939,289,392,86,109,63,1,0,5,0,3,1,238,,2,6,0,2,31
Gipuzkoa,ZARAUTZ,,79,4,17328,13337,1294,12043,200,11843,3991,3950,1309,2644,793,9,2,19,1,,12,2176,2,8,,2,4,912
Bizkaia,ZEANURI,,24,3,1002,833,88,745,3,742,169,509,22,123,19,0,0,2,0,0,0,20,,0,1,0,1,45
Bizkaia,ZEBERIO,,25,3,870,681,141,540,5,535,189,426,16,26,22,0,0,0,0,0,0,23,,0,0,0,0,22
Gipuzkoa,ZEGAMA,,25,3,1101,863,199,664,6,658,238,214,16,364,13,0,0,0,0,,0,11,0,0,,0,0,40
Gipuzkoa,ZERAIN,,26,3,212,176,56,120,,120,36,80,0,26,4,0,0,0,0,,0,0,0,0,,0,0,10
Gipuzkoa,ZESTOA,,27,4,2619,1962,472,1490,12,1478,657,781,46,351,53,1,0,2,1,,0,103,0,0,,0,0,140
Bizkaia,ZIERBENA,,913,2,1102,852,75,777,7,770,250,492,69,39,43,0,0,0,1,2,0,112,,0,1,0,0,11
Álava,ZIGOITIA,,18,2,1113,865,110,755,12,743,248,294,118,99,64,0,0,3,0,,0,141,,0,,0,0,24
Gipuzkoa,ZIZURKIL,,28,3,2282,1592,328,1264,33,1231,690,430,149,145,79,2,2,8,0,,1,312,0,1,,0,0,102
Álava,ZUIA,,63,2,1684,1379,100,1279,17,1262,305,596,274,73,59,4,0,4,1,,1,212,,0,,0,0,38
Gipuzkoa,ZUMAIA,,81,4,7038,5253,653,4600,44,4556,1785,1866,344,581,320,3,3,7,0,,2,1086,0,2,,0,2,340
Gipuzkoa,ZUMARRAGA,,80,3,8496,6468,548,5920,56,5864,2028,1403,847,748,548,2,2,16,3,,7,2058,0,9,,2,5,214
