TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,UCE,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,UPYD,EQUO,IU-UPEC,AMAIUR,EB-AZ
Gipuzkoa,VILLABONA,,75,3,4447,2823,25,2798,32,2766,1624,564,258,2,383,15,3,26,14,80,1421,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,266,212,,212,2,210,54,90,42,0,9,0,0,5,1,3,60,
Álava,VITORIA-GASTEIZ,,59,1,183471,127839,2038,125801,1422,124379,55632,20038,36926,240,32201,929,659,4056,2950,5544,20836,
Álava,YÉCORA/IEKORA,,60,2,223,181,3,178,1,177,42,47,94,0,10,0,0,6,0,10,10,
Bizkaia,ZALDIBAR,,95,3,2367,1593,16,1577,20,1557,774,360,252,0,335,8,5,17,11,49,513,7
Gipuzkoa,ZALDIBIA,,78,3,1146,885,1,884,6,878,261,148,29,0,42,3,2,0,1,12,641,
Álava,ZALDUONDO,,61,2,155,122,,122,2,120,33,47,6,0,13,0,4,0,1,3,46,
Bizkaia,ZALLA,,96,2,6609,5007,107,4900,54,4846,1602,2321,505,3,895,24,12,47,32,130,867,10
Álava,ZAMBRANA,,62,2,333,236,4,232,5,227,97,50,93,0,42,0,0,5,2,12,23,
Bizkaia,ZAMUDIO,,905,4,2604,1903,34,1869,14,1855,701,844,178,0,251,5,4,9,13,55,490,6
Bizkaia,ZARATAMO,,97,3,1359,936,21,915,9,906,423,349,90,2,166,6,0,3,2,26,257,5
Gipuzkoa,ZARAUTZ,,79,4,17229,12010,83,11927,143,11784,5219,3607,1227,10,1904,56,25,94,117,269,4475,
Bizkaia,ZEANURI,,24,3,1027,845,4,841,3,838,182,406,23,0,16,1,1,1,4,8,376,2
Bizkaia,ZEBERIO,,25,3,882,652,8,644,2,642,230,329,11,0,19,1,0,0,3,5,274,0
Gipuzkoa,ZEGAMA,,25,3,1174,814,11,803,4,799,360,287,4,0,21,4,1,1,2,8,471,
Gipuzkoa,ZERAIN,,26,3,214,172,,172,,172,42,69,1,0,1,1,0,2,1,0,97,
Gipuzkoa,ZESTOA,,27,4,2809,1929,11,1918,25,1893,880,555,43,0,113,10,1,6,10,20,1135,
Bizkaia,ZIERBENA,,913,2,1231,936,14,922,10,912,295,484,59,1,100,8,1,3,4,20,230,2
Álava,ZIGOITIA,,18,2,1395,952,9,943,7,936,443,233,166,0,140,7,3,6,32,20,329,
Bizkaia,ZIORTZA - BOLIBAR,,915,4,362,273,2,271,2,269,89,114,4,0,4,0,0,0,0,0,147,0
Gipuzkoa,ZIZURKIL,,28,3,2204,1400,21,1379,11,1368,804,268,126,2,198,8,3,9,7,19,728,
Álava,ZUIA,,63,2,1803,1290,6,1284,18,1266,513,393,246,2,168,7,5,22,46,27,350,
Gipuzkoa,ZUMAIA,,81,4,7346,4957,32,4925,35,4890,2389,1525,300,7,869,17,9,22,33,127,1981,
Gipuzkoa,ZUMARRAGA,,80,3,8104,5497,43,5454,52,5402,2607,1052,703,7,1838,26,8,61,55,240,1412,
