TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PCTE / ELAK,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,Cs,EB-AZ,EH BILDU,VOX,RECORTES CERO-GV,SOLIDARIA,MAS PAIS-CAND. ECOLOGISTA,PODEMOS-AHAL DUGU/EZKER ANITZA-IU
Gipuzkoa,SEGURA,,70,3,1084,798,3,795,7,788,286,331,1,1,25,5,0,1,1,369,1,2,,,51
Bizkaia,SESTAO,,84,2,21783,14368,97,14271,79,14192,7415,3693,960,11,4281,120,11,163,,1458,319,30,3,202,2941
Bizkaia,SONDIKA,,904,4,3547,2563,22,2541,18,2523,984,1229,180,3,303,17,0,23,,376,27,0,1,32,332
Bizkaia,SOPELA,,85,4,10716,7707,28,7679,51,7628,3009,3118,335,8,864,60,7,74,,1543,110,12,2,138,1357
Bizkaia,SOPUERTA,,86,2,2024,1371,13,1358,5,1353,653,548,47,0,152,10,1,11,,262,27,3,0,10,282
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,2921,1983,13,1970,16,1954,938,555,125,1,362,5,3,25,0,626,29,4,,,219
Bizkaia,SUKARRIETA,,76,4,288,211,,211,1,210,77,128,4,0,15,0,0,0,,47,4,0,0,1,11
Gipuzkoa,TOLOSA,,71,3,15062,10442,35,10407,47,10360,4620,3891,334,3,1196,30,8,51,20,3415,93,16,,,1303
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,437,335,3,332,,332,102,186,22,0,54,1,0,1,,35,3,0,0,0,30
Bizkaia,UBIDE,,88,3,134,95,,95,,95,39,22,1,1,5,2,0,0,,59,0,0,0,0,5
Bizkaia,UGAO-MIRABALLES,,65,3,3287,2341,15,2326,8,2318,946,932,100,3,307,8,3,11,,564,25,3,0,18,344
Bizkaia,URDULIZ,,89,4,3540,2561,6,2555,7,2548,979,1097,109,0,261,18,0,32,,522,37,2,1,49,420
Bizkaia,URDUÑA/ORDUÑA,,74,3,3275,2308,13,2295,11,2284,967,940,128,0,267,5,2,15,,583,56,2,2,24,260
Álava,URKABUSTAIZ,,54,2,998,701,1,700,4,696,297,187,27,0,68,3,0,5,,276,21,2,,,107
Gipuzkoa,URNIETA,,72,1,4762,3175,22,3153,21,3132,1587,956,170,3,599,28,4,39,4,702,68,7,,,552
Gipuzkoa,URRETXU,,77,3,5269,3845,15,3830,9,3821,1424,1391,132,2,724,13,4,33,1,948,40,4,,,529
Gipuzkoa,USURBIL,,73,1,4707,3272,12,3260,14,3246,1435,736,98,5,360,13,1,20,13,1591,24,3,,,382
Álava,VALDEGOVÍA/GAUBEA,,55,2,839,557,5,552,11,541,282,204,74,0,74,1,1,6,,101,23,0,,,57
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,9922,6849,56,6793,44,6749,3073,2082,296,7,1856,47,2,63,,860,146,11,0,89,1290
Gipuzkoa,VILLABONA,,75,3,4312,2848,3,2845,8,2837,1464,861,101,2,387,5,1,17,2,1087,48,6,,,320
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,235,196,2,194,,194,39,81,19,0,13,1,0,1,,59,4,0,,,16
Álava,VITORIA-GASTEIZ,,59,1,189600,128849,939,127910,688,127222,60751,27056,21259,159,30503,929,258,2071,,17823,5096,328,,,21740
Álava,YÉCORA/IEKORA,,60,2,204,159,8,151,,151,45,41,47,1,19,1,0,5,,14,8,0,,,15
Bizkaia,ZALDIBAR,,95,3,2324,1568,13,1555,13,1542,756,456,113,0,292,2,0,17,,390,11,0,0,22,239
Gipuzkoa,ZALDIBIA,,78,3,1143,819,3,816,1,815,324,186,9,0,49,1,0,1,1,515,0,0,,,53
Álava,ZALDUONDO,,61,2,155,116,,116,1,115,39,30,1,0,3,1,0,1,,61,1,0,,,17
Bizkaia,ZALLA,,96,2,6519,4862,46,4816,33,4783,1657,2332,192,2,749,31,2,28,,593,81,2,2,27,742
Álava,ZAMBRANA,,62,2,318,221,2,219,2,217,97,41,41,0,39,2,0,8,,20,18,1,,,47
Bizkaia,ZAMUDIO,,905,4,2496,1778,12,1766,12,1754,718,818,60,0,218,8,1,8,,401,21,0,1,20,198
Bizkaia,ZARATAMO,,97,3,1315,886,4,882,6,876,429,315,40,1,134,6,0,2,,215,16,0,0,12,135
Gipuzkoa,ZARAUTZ,,79,4,18151,13106,52,13054,58,12996,5045,5319,606,5,1586,55,11,61,9,3544,175,6,,,1619
Bizkaia,ZEANURI,,24,3,1000,761,9,752,1,751,239,370,10,0,13,3,0,3,,289,2,0,0,2,59
Bizkaia,ZEBERIO,,25,3,874,667,5,662,2,660,207,325,3,0,18,3,0,4,,231,3,0,0,0,73
Gipuzkoa,ZEGAMA,,25,3,1110,791,3,788,4,784,319,341,1,0,36,5,0,2,1,333,2,0,,,63
Gipuzkoa,ZERAIN,,26,3,207,172,1,171,4,167,35,81,0,0,2,0,0,0,1,76,0,0,,,7
Gipuzkoa,ZESTOA,,27,4,2761,1866,5,1861,10,1851,895,667,20,0,98,5,1,3,0,859,7,0,,,191
Bizkaia,ZIERBENA,,913,2,1236,899,9,890,8,882,337,437,28,0,85,3,0,5,,168,13,1,0,2,140
Álava,ZIGOITIA,,18,2,1399,953,6,947,1,946,446,250,92,0,125,4,0,9,,291,32,1,,,142
Bizkaia,ZIORTZA - BOLIBAR,,915,4,339,245,2,243,,243,94,102,5,0,5,0,0,0,,125,0,0,0,0,6
Gipuzkoa,ZIZURKIL,,28,3,2254,1442,1,1441,6,1435,812,381,46,0,224,1,2,11,2,569,11,0,,,188
Álava,ZUIA,,63,2,1852,1316,13,1303,6,1297,536,431,124,2,148,8,2,13,,346,52,4,,,167
Gipuzkoa,ZUMAIA,,81,4,7690,5382,19,5363,31,5332,2308,1754,114,6,772,24,4,22,5,1916,56,5,,,654
Gipuzkoa,ZUMARRAGA,,80,3,7705,5276,32,5244,21,5223,2429,1391,250,2,1513,25,6,62,5,966,100,8,,,895
