TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,PP,HB,EE,U.AL.,EA,EB-B,CDS,EKA,EHB,UVE,J.V.
Bizkaia,ZALLA,,96,2,5855,4090,46,4044,46,3998,1765,2154,602,101,440,185,,494,16,3,3,,,
Álava,ZAMBRANA,,62,2,297,242,,242,,242,55,148,4,11,8,11,58,2,0,,,,,
Bizkaia,ZAMUDIO,,905,4,2665,1946,10,1936,27,1909,719,1125,199,34,437,62,,32,5,,0,15,,
Bizkaia,ZARATAMO,,97,3,1317,1026,13,1013,4,1009,291,373,102,7,206,14,,298,5,,1,3,,
Gipuzkoa,ZARAUTZ,,79,4,13085,8654,64,8590,44,8546,4431,1581,857,533,1472,754,,3314,35,,,,,
Bizkaia,ZEANURI,,24,3,1050,860,6,854,3,851,190,347,2,25,156,3,,313,2,,1,2,,
Bizkaia,ZEBERIO,,25,3,833,704,8,696,1,695,129,473,6,4,187,9,,16,0,,0,0,,
Gipuzkoa,ZEGAMA,,25,3,1158,906,11,895,6,889,252,116,2,3,365,28,,375,0,,,,,
Gipuzkoa,ZERAIN,,26,3,196,122,,122,,122,74,35,0,0,38,1,,48,0,,,,,
Gipuzkoa,ZESTOA,,27,4,2816,2081,9,2072,15,2057,735,604,72,13,719,28,,619,2,,,,,
Álava,ZIGOITIA,,18,2,680,446,4,442,2,440,234,125,12,10,108,22,54,105,4,,,,,
Gipuzkoa,ZIZURKIL,,28,3,2059,1377,6,1371,14,1357,682,322,219,9,432,99,,276,0,,,,,
Álava,ZUIA,,63,2,1058,800,15,785,11,774,258,302,16,85,151,17,132,66,5,,,,,
Gipuzkoa,ZUMAIA,,81,4,6157,4070,22,4048,20,4028,2087,1373,673,83,851,247,,790,11,,,,,
Gipuzkoa,ZUMARRAGA,,80,3,9145,5912,58,5854,66,5788,3233,916,1666,66,680,581,,1718,161,,,,,
