TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,PP,HB,EE,U.AL.,EA,EB-B,CDS,EHB,PST,AR,LKI-EMK,DS,LVE,PH,ARM-ADE,PCE(M-L),EK-PCPE
Bizkaia,NABARNIZ,,909,4,213,176,2,174,,174,37,79,0,0,83,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
Álava,NAVARIDAS,,41,2,184,136,2,131,3,131,48,30,9,40,6,7,13,19,2,2,0,1,0,1,0,0,0,1,,
Gipuzkoa,OIARTZUN,,63,2,6387,4331,24,4307,25,4282,2056,710,245,36,1937,287,1,1022,11,3,11,1,0,1,1,10,0,6,,
Álava,OKONDO,,42,3,622,459,5,453,1,453,163,200,20,67,105,8,3,45,1,1,1,0,1,1,0,0,0,0,,
Gipuzkoa,OLABERRIA,,58,3,1035,677,1,676,7,669,358,134,150,17,143,65,0,142,3,3,5,0,1,1,0,4,0,1,,
Bizkaia,ONDARROA,,73,4,8619,6004,34,5970,25,5945,2615,2173,178,297,2352,291,0,618,6,1,9,1,0,2,3,4,3,6,1,0
Gipuzkoa,ORDIZIA,,76,3,7441,4967,28,4939,45,4894,2474,908,771,257,1323,798,0,715,56,13,6,4,2,1,4,25,3,8,,
Gipuzkoa,ORENDAIN,,905,3,150,112,,112,,112,38,12,1,0,50,0,0,49,0,0,0,0,0,0,0,0,0,0,,
Gipuzkoa,OREXA,,60,3,68,60,,60,,60,8,11,0,0,47,0,0,2,0,0,0,0,0,0,0,0,0,0,,
Gipuzkoa,ORIO,,61,4,3272,2174,1,2173,18,2155,1098,514,211,47,604,212,0,541,7,2,3,2,0,0,0,11,1,0,,
Gipuzkoa,ORMAIZTEGI,,62,3,947,748,5,743,9,734,199,245,20,5,195,115,0,149,0,0,1,0,0,0,0,2,1,1,,
Bizkaia,OROZKO,,75,3,1652,1120,12,1108,8,1100,532,610,36,78,213,24,1,129,0,0,3,1,2,0,0,2,0,1,0,0
Bizkaia,ORTUELLA,,83,2,6973,4087,32,4055,21,4034,2886,952,1312,127,609,331,0,328,252,6,24,30,6,0,21,19,1,9,3,4
Bizkaia,OTXANDIO,,72,3,932,756,3,753,2,751,176,353,14,18,246,68,0,45,1,4,0,0,0,0,0,1,0,1,0,0
Álava,OYÓN-OION,,43,2,1788,1048,5,1043,6,1037,740,252,242,224,123,65,45,38,12,6,5,1,0,0,1,2,3,18,,
Gipuzkoa,OÑATI,,59,4,8526,5880,20,5860,39,5821,2646,2264,461,188,1509,433,0,882,20,8,20,6,1,2,3,14,3,7,,
Gipuzkoa,PASAIA,,64,2,15312,8384,63,8321,66,8255,6928,1168,1890,307,2532,767,5,1310,88,23,36,36,3,3,16,31,8,32,,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,213,135,5,130,,130,78,48,17,19,11,5,18,6,1,0,1,3,1,0,0,0,0,0,,
Bizkaia,PLENTZIA,,77,4,2229,1553,10,1543,8,1535,676,826,67,64,258,109,0,181,3,1,12,1,0,2,1,4,1,2,0,3
Bizkaia,PORTUGALETE,,78,2,45147,25604,161,25443,195,25248,19543,5932,8127,2150,3247,2423,6,1288,942,234,114,156,20,7,221,182,23,103,19,54
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,332,219,,218,1,218,113,103,21,28,7,15,10,3,1,24,0,3,0,0,0,2,1,0,,
Álava,SAMANIEGO,,52,2,242,146,1,144,1,144,96,60,42,4,21,7,0,6,1,0,0,1,0,0,1,1,0,0,,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,652,289,3,282,4,282,363,118,14,27,50,11,33,14,1,3,4,0,1,2,0,3,0,1,,
Bizkaia,SANTURTZI,,82,2,39964,22356,138,22218,139,22079,17608,5553,6290,1445,3918,1852,9,1178,966,132,100,151,12,18,141,130,25,97,23,39
Gipuzkoa,SEGURA,,70,3,1070,862,3,859,9,850,208,209,7,1,280,37,0,315,0,0,0,0,0,0,0,1,0,0,,
Bizkaia,SESTAO,,84,2,29386,15425,126,15299,98,15201,13961,3351,5500,1105,2121,1173,7,785,561,125,46,92,6,14,150,70,12,48,10,25
Bizkaia,SONDIKA,,904,4,3194,2225,11,2214,11,2203,969,1244,239,72,308,91,1,210,5,5,5,2,1,1,7,6,0,4,1,1
Bizkaia,SOPELA,,85,4,5724,3582,15,3567,14,3553,2142,1352,412,94,951,351,0,300,25,7,13,4,0,2,15,18,1,4,1,3
Bizkaia,SOPUERTA,,86,2,1770,1273,6,1267,10,1257,497,447,187,64,131,44,1,344,22,4,3,1,1,0,1,1,0,0,0,6
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3948,2814,17,2797,16,2781,1134,956,482,88,682,217,1,301,20,12,4,2,2,3,2,5,0,4,,
Bizkaia,SUKARRIETA,,76,4,247,189,,189,2,187,58,81,8,7,31,5,0,51,1,0,0,0,0,1,0,1,0,0,1,0
Gipuzkoa,TOLOSA,,71,3,14720,8915,34,8881,72,8809,5805,1966,984,708,2237,824,0,1898,56,24,30,7,4,2,6,31,9,23,,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,445,331,5,326,2,324,114,185,31,27,30,6,1,42,0,0,1,0,0,0,0,0,1,0,0,0
Bizkaia,UBIDE,,88,3,145,128,,128,1,127,17,40,0,16,62,4,0,4,0,0,1,0,0,0,0,0,0,0,0,0
Bizkaia,UGAO-MIRABALLES,,65,3,3266,2157,3,2154,12,2142,1109,789,383,109,529,80,1,208,15,2,6,10,0,1,3,1,2,3,0,0
Bizkaia,URDULIZ,,89,4,1919,1354,3,1351,4,1347,565,634,137,48,315,57,0,119,7,3,4,1,1,1,11,4,0,3,0,2
Bizkaia,URDUÑA/ORDUÑA,,74,3,3356,2232,14,2218,11,2207,1124,911,227,194,445,151,3,224,5,11,0,5,4,0,8,3,4,11,0,1
Álava,URKABUSTAIZ,,54,2,716,476,10,466,4,462,240,147,36,41,117,30,20,46,7,2,1,1,0,0,2,4,0,8,,
Gipuzkoa,URNIETA,,72,1,3277,2003,10,1993,21,1972,1274,583,483,30,497,92,0,237,10,8,3,7,0,2,5,12,0,3,,
Gipuzkoa,URRETXU,,77,3,4909,3492,8,3484,28,3456,1417,541,803,55,648,301,0,980,64,13,8,5,3,0,6,15,7,7,,
Gipuzkoa,USURBIL,,73,1,4235,2759,13,2746,25,2721,1476,489,436,50,1070,129,1,502,14,6,9,2,1,1,2,8,1,0,,
Álava,VALDEGOVÍA/GAUBEA,,55,2,789,468,5,417,6,457,321,177,40,65,57,19,53,23,0,10,1,3,0,1,1,1,2,4,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10373,6272,38,6234,45,6189,4101,1874,1774,211,1054,536,1,319,252,19,21,24,2,12,20,30,8,20,1,11
Gipuzkoa,VILLABONA,,75,3,3969,2669,3,2666,36,2630,1300,423,358,49,873,354,0,528,8,2,8,11,1,4,4,3,0,4,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,289,229,2,226,1,226,60,116,7,15,31,1,25,28,1,0,2,0,0,0,0,0,0,0,,
Álava,VITORIA-GASTEIZ,,59,1,157785,92663,599,91933,773,91293,65122,17210,21632,10172,10327,6689,12345,6322,1232,2019,413,361,151,79,710,541,99,991,,
Álava,YÉCORA/IEKORA,,60,2,212,144,,144,,144,68,80,12,21,5,2,22,0,0,0,0,0,0,0,1,0,0,1,,
Bizkaia,ZALDIBAR,,95,3,2462,1488,9,1479,9,1470,974,453,343,92,291,82,1,149,20,6,2,3,1,0,9,7,4,6,0,1
Gipuzkoa,ZALDIBIA,,78,3,1320,911,2,909,4,905,409,73,67,18,465,92,0,178,3,1,1,1,0,0,0,4,0,2,,
Álava,ZALDUONDO,,61,2,110,80,2,75,3,75,30,29,6,5,15,10,4,3,1,0,0,2,0,0,0,0,0,0,,
Bizkaia,ZALLA,,96,2,5796,3922,37,3885,17,3868,1874,1961,491,105,551,198,0,465,17,5,26,5,0,4,5,18,2,11,0,4
Álava,ZAMBRANA,,62,2,303,198,,198,2,196,105,78,16,21,12,18,45,4,1,0,0,0,0,1,0,0,0,0,,
Bizkaia,ZAMUDIO,,905,4,2663,1827,9,1818,14,1804,836,967,191,27,407,79,0,101,4,1,7,0,0,2,7,6,2,2,0,1
Bizkaia,ZARATAMO,,97,3,1310,946,5,941,5,936,364,361,130,9,240,35,0,146,8,0,1,1,1,0,0,2,0,2,0,0
Gipuzkoa,ZARAUTZ,,79,4,12928,8710,52,8658,83,8575,4218,1787,1090,567,1620,911,0,2475,28,10,27,11,2,1,5,26,5,10,,
Bizkaia,ZEANURI,,24,3,1040,858,4,854,4,850,182,360,1,34,182,5,0,267,0,0,0,0,0,0,0,0,0,1,0,0
Bizkaia,ZEBERIO,,25,3,837,649,9,640,,640,188,419,13,6,146,20,0,35,0,0,0,0,0,0,0,0,0,1,0,0
Gipuzkoa,ZEGAMA,,25,3,1158,784,3,781,7,774,374,72,14,14,319,24,0,323,0,1,2,0,0,1,1,2,0,1,,
Gipuzkoa,ZERAIN,,26,3,196,123,,123,,123,73,41,0,0,40,2,0,37,0,0,0,1,0,0,0,0,0,2,,
Gipuzkoa,ZESTOA,,27,4,2794,2032,8,2024,16,2008,762,551,117,20,701,63,0,537,1,0,7,0,0,1,0,9,0,1,,
Álava,ZIGOITIA,,18,2,684,430,3,427,5,422,254,136,27,18,104,29,23,67,2,2,5,0,0,2,0,3,2,2,,
Gipuzkoa,ZIZURKIL,,28,3,2030,1369,19,1350,13,1337,661,314,264,17,406,78,0,238,1,3,2,4,1,0,0,4,2,3,,
Álava,ZUIA,,63,2,1049,730,6,724,6,718,319,322,28,84,120,27,40,76,2,4,5,1,1,0,2,1,1,4,,
Gipuzkoa,ZUMAIA,,81,4,6098,4198,10,4188,21,4167,1900,1332,733,113,927,312,0,652,35,21,14,4,2,2,2,6,5,7,,
Gipuzkoa,ZUMARRAGA,,80,3,9061,5907,30,5877,67,5810,3154,998,1740,136,797,569,2,1298,168,24,16,18,1,3,7,19,3,11,,
